name	term	lev	seq	value
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111102608	0.0930404922240697
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111103370	0.436626194660071
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111119786	-0.0935041931273825
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111122291	-0.376961417351543
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111128726	-0.106596757716678
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111128771	-0.261119738706119
"modified amino acid binding"	GO:0001786;GO:0072341	2	LOC111113239	0.644250359278899
"steroid dehydrogenase activity"	GO:0016229	3	LOC111106365	0.404961238797423
"steroid dehydrogenase activity"	GO:0016229	3	LOC111107628	-0.0671646310323997
"steroid dehydrogenase activity"	GO:0016229	3	LOC111108694	0.0790818345753417
"steroid dehydrogenase activity"	GO:0016229	3	LOC111120051	-0.0187985282210318
"steroid dehydrogenase activity"	GO:0016229	3	LOC111120066	0.328354842392108
"steroid dehydrogenase activity"	GO:0016229	3	LOC111120933	-0.0232663508705388
"steroid dehydrogenase activity"	GO:0016229	3	LOC111125051	-0.0723920010267295
"steroid dehydrogenase activity"	GO:0016229	3	LOC111125200	-0.0515108521258174
"steroid dehydrogenase activity"	GO:0016229	3	LOC111130679	0.314176603262765
"steroid dehydrogenase activity"	GO:0016229	3	LOC111136775	-0.0193873653386289
"steroid dehydrogenase activity"	GO:0016229	3	LOC111137166	0
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111099327	-0.0849457050192094
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111103614	-0.01134010240699
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111105850	0.18866141594503
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111106068	0.155052987434451
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111111324	0.328191539258184
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111118263	-0.0590780208054074
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111119627	-0.00537529905828629
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111123342	-0.0217077724417463
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111125074	-0.220519937727529
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111125194	-0.0966705168289446
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111125596	-0.314828083738086
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111128254	0
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111128874	0
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111130301	-0.564456320005783
"nucleoside monophosphate kinase activity"	GO:0050145	5	LOC111135526	0.191492534671493
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111099062	0.282125162610068
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111099101	0.0152754336194226
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111099199	-0.393722941956827
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111099228	0.0664726293170542
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111099736	-0.0193873653386289
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100034	-0.0815803881129054
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100065	-0.196607337805951
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100092	-0.02159036271673
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100350	-0.359323725024219
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100637	-0.269488515077897
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100792	-0.0816642833974159
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111100896	-0.161080798295639
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111101023	-0.0604759677485678
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111102411	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111102852	0.0967282182981661
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103202	-0.157311201919813
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103310	-0.000798100345082459
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103347	-0.961672280745648
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103400	0.136892575286975
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103646	0.196712404314228
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103799	0.239278144949043
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103817	-0.133851880257331
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103921	0.235668664325958
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111103985	-0.214246400577432
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111104302	-0.587051378630921
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111104335	-0.768209728983168
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111104707	-0.0335827138628514
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111105116	-0.318097471743122
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111105245	-0.0441201956001017
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111105379	-0.179129711339902
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111105594	0.353911389941526
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106168	-0.10955923681045
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106170	-0.170178709820958
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106171	0.0111580478721996
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106539	-0.246492638487794
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106619	0.366064157844599
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106754	0.162965333421884
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106755	-0.44878023937542
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106859	-0.389296481087534
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106896	-0.0335827138628514
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106949	-0.225202420174374
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111106951	-0.350079905564573
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107048	-0.893392774649151
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107096	-0.238757456955696
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107113	0.317331395248227
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107163	-0.0948769673186222
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107200	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107301	-0.0325207613344229
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107340	0.597758575613569
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107341	0.219389959624264
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107387	0.0169421034536208
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107437	-0.241278474463924
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107462	0.220267578281361
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107760	-0.446285931396914
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107795	-0.262715964892551
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107834	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107852	0.101551645748526
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111107995	-0.145659882136642
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108080	0.694255691072244
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108145	0.111588087392393
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108199	0.381746120815638
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108207	-0.828502919837816
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108226	-0.264363901690776
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108281	-0.846256653981414
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108363	-0.0143334165796598
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108407	-0.0453290207301704
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108441	-0.0943868587966018
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108498	-0.537241851179669
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108528	-0.048072869641259
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108651	0.355870469365253
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108715	-0.0231139088392615
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108722	-0.0180908148950412
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111108748	0.0308483428394646
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109013	0.0408694696517716
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109155	-0.0960786326793825
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109271	-0.0188584938373525
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109500	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109524	-0.0919603013950682
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109634	0.000705656265097534
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109755	-0.296261993244758
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109831	-0.0193873653386289
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111109993	-0.156249972924227
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111110200	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	2	LOC111110226	0.0547215994840542
