name	term	lev	seq	value
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111099623	-0.351499356681749
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111101460	-0.153826320074849
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111104253	0.0905700558564388
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111110195	0.311960063700295
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111110532	-0.0767407371887135
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111115204	-0.652424431511497
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111115725	0.139792196449374
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111118635	-0.539949882443858
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111118652	0.0155861476394706
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111119553	0.0664234208566389
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111120126	0
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111123132	-0.108549224836138
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111123826	-0.0111508756016786
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111123900	0.231099916034394
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111124271	0.51643081569296
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111124329	-0.21337992048793
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111125113	-0.295335842362372
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111125541	-0.542196883444582
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111125665	-1.19285326938835
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111125723	-0.000209839426028598
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111125966	-0.222831766036904
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111126003	-0.116738222983442
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111127924	0
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111128435	0.0733968603331559
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111128617	0.280832230701169
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111129859	-0.0924421307727343
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111130020	0.250177792843071
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111130105	0.776509166456586
"catalytic activity, acting on a tRNA"	GO:0140101	2	LOC111130118	-0.403458780421564
