name	term	lev	seq	value
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111132217	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111132616	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111134226	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111134386	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111134674	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111135901	0
"monoamine transmembrane transporter activity"	GO:0008504;GO:0015378;GO:0015373;GO:0015377;GO:0015296	3	LOC111135953	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111106568	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111107912	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111109618	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111110658	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111115125	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111116065	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111118324	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111119686	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111134810	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111135147	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111136290	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111137062	0
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111137596	1
"transaminase activity"	GO:0008483;GO:0016769	4	LOC111138184	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111118357	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111123588	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111127959	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111128154	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111128458	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111130843	0
"protein prenyltransferase activity"	GO:0008318	3	LOC111137241	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111099170	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111104394	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111128932	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111130665	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111131452	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111131688	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111138194	0
"retinoid binding"	GO:0005501;GO:0019840	4	LOC111138195	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111100895	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111102253	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111106308	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111108453	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111108628	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111112100	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111114040	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111117239	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111117302	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111117766	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111120533	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111120535	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111122736	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111123258	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111123259	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111123315	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111124185	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111125203	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111125876	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111127177	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111127457	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111128402	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111129263	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111132885	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111136116	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111137985	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111117300	0
"sodium channel activity"	GO:0015280;GO:0005272	5	LOC111138332	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111119760	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111119789	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111122750	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111123201	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111124043	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111125187	0
"tryptophan 2,3-dioxygenase activity"	GO:0004833	3	LOC111125818	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111119341	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111119940	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111121267	1
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111124991	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111129286	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111130875	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111131729	0
"peptide N-acetyltransferase activity"	GO:0034212	7	LOC111136050	0
"frizzled binding"	GO:0005109	4	LOC111100180	0
"frizzled binding"	GO:0005109	4	LOC111106516	0
"frizzled binding"	GO:0005109	4	LOC111106587	0
"frizzled binding"	GO:0005109	4	LOC111108394	0
"frizzled binding"	GO:0005109	4	LOC111109611	0
"frizzled binding"	GO:0005109	4	LOC111110219	0
"frizzled binding"	GO:0005109	4	LOC111115598	0
"frizzled binding"	GO:0005109	4	LOC111121327	0
"frizzled binding"	GO:0005109	4	LOC111126345	0
"frizzled binding"	GO:0005109	4	LOC111126651	0
"frizzled binding"	GO:0005109	4	LOC111126881	0
"frizzled binding"	GO:0005109	4	LOC111127135	0
"frizzled binding"	GO:0005109	4	LOC111132156	0
"frizzled binding"	GO:0005109	4	LOC111132932	0
"frizzled binding"	GO:0005109	4	LOC111133687	0
"frizzled binding"	GO:0005109	4	LOC111134023	0
"frizzled binding"	GO:0005109	4	LOC111135626	0
"frizzled binding"	GO:0005109	4	LOC111136584	0
"frizzled binding"	GO:0005109	4	LOC111137758	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111105890	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111106405	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111106406	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111107478	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111108410	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111119739	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111122100	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111126166	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111131795	0
"ammonia-lyase activity"	GO:0016841;GO:0003941	2	LOC111136419	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111100138	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111101721	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111104653	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111108399	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111111853	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111112083	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111114896	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111116734	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111117655	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111118167	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111124775	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111124776	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111127319	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111127320	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111133063	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111133173	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111133498	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111133537	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111133628	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111134029	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111134032	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111135422	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111135423	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111136107	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111137892	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111138400	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111105718	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111107140	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111108254	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111108267	0
"proton transmembrane transporter activity"	GO:0015252;GO:0015078	2	LOC111109264	0
