"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
60 0.794894483165297 5 6 "GO:0000012" "single strand break repair" 0.95470154218137
53 0.68749612517642 7 18 "GO:0000027" "ribosomal large subunit assembly" 0.94453357568112
-375 0.0347723236841653 2 10 "GO:0000028" "ribosomal small subunit assembly" 0.42393343659667
27 0.758944882682415 2 42 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.95193342142275
5 0.97775236417775 5 12 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006611;GO:0031503" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.990391453494441
216 0.34538114209923 3 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.780443922972201
566 0.024269718300802 3 5 "GO:0000070;GO:0000819;GO:0098813" "mitotic sister chromatid segregation" 0.367281736952137
-81 0.746369319259802 2 5 "GO:0000076" "DNA replication checkpoint" 0.95193342142275
-8 0.967205180607474 4 9 "GO:0000077" "DNA damage checkpoint" 0.988989081071606
-80 0.506670383660455 3 22 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of protein kinase activity" 0.864768248803935
299 0.192173530366203 4 6 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.712095555931823
287 0.253458685317654 2 5 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.728292678064651
207 0.409401603712999 4 5 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.829089623061825
-9 0.883842813732382 4 82 "GO:0000122;GO:0006357;GO:0045892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of transcription by RNA polymerase II" 0.959675496280958
577 0.0215417497202962 3 5 "GO:0000165" "MAPK cascade" 0.367281736952137
125 0.390659278830065 7 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.813574828389218
-50 0.827688947373595 3 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.95470154218137
-18 0.932730114004516 2 7 "GO:0000245" "spliceosomal complex assembly" 0.98023025869919
-126 0.4784762722182 2 10 "GO:0000266;GO:0048285" "organelle fission" 0.864768248803935
191 0.0730254920617944 3 28 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.544927674524186
245 0.131896104198376 3 12 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.613449676031192
-229 0.115593089817668 6 15 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.613449676031192
-93 0.711569657419416 7 5 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.94453357568112
-506 0.0272682414624554 2 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.386868175748586
172 0.494230261790585 9 5 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.864768248803935
115 0.427770739072544 3 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.84438224147363
27 0.82373332895624 2 22 "GO:0000387" "spliceosomal snRNP assembly" 0.95470154218137
-134 0.0358247050572077 5 80 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.42393343659667
74 0.569047818541943 2 19 "GO:0000413;GO:0018208" "protein peptidyl-prolyl isomerization" 0.890854171096697
352 0.0194368386096491 4 14 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.367281736952137
-139 0.459632346707542 3 9 "GO:0000460" "maturation of 5.8S rRNA" 0.864768248803935
