"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1665 0.0993121640603072 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.678479724219649
171 0.728765249563537 3 21 "GO:0000030" "mannosyltransferase activity" 0.938883697430396
773 0.0289050735994763 4 41 "GO:0000049" "tRNA binding" 0.610200123449124
-239 0.765022747313977 6 8 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "acyl-CoA binding" 0.949458820860362
667 0.376179517608429 4 9 "GO:0000146" "microfilament motor activity" 0.779352690725935
-102 0.793098769037915 2 34 "GO:0000149" "SNARE binding" 0.955508073277761
173 0.113527066197105 2 452 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 0.692786648524292
563 0.290831077165448 5 18 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.725597985826873
-818 0.374959237967081 2 6 "GO:0000217" "DNA secondary structure binding" 0.779352690725935
-805 0.346134481129223 5 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.778776032640454
184 0.533815143848351 2 59 "GO:0000287" "magnesium ion binding" 0.877906322412115
-766 0.283811593951417 5 10 "GO:0000339" "RNA cap binding" 0.725597985826873
-1003 0.276603959243051 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.725597985826873
-181 0.85809742764108 2 5 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.992148336499689
108 0.31847799848629 6 466 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.734789107618695
187 0.133936448142269 2 341 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.700443910012074
369 0.291519075877028 3 42 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.725597985826873
287 0.61197809098589 3 16 "GO:0001099;GO:0001098;GO:0043175;GO:0070063;GO:0000993" "basal transcription machinery binding" 0.905940954757154
-625 0.536240916451301 2 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.877906322412115
394 0.621803114210909 5 8 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.905940954757154
1032 0.052798195591884 5 18 "GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.628947347516339
24 0.932160167967294 3 64 "GO:0001653" "peptide receptor activity" 0.993274967972559
48 0.902606139224322 4 33 "GO:0001664" "G protein-coupled receptor binding" 0.993274967972559
-83 0.928303724322325 4 6 "GO:0001671" "ATPase activator activity" 0.993274967972559
398 0.641012033721146 2 7 "GO:0001786;GO:0072341" "modified amino acid binding" 0.905940954757154
-589 0.193149327553093 2 25 "GO:0002020" "protease binding" 0.725597985826873
-717 0.369265670877938 2 8 "GO:0002161" "aminoacyl-tRNA editing activity" 0.779352690725935
19 0.824543057044377 4 727 "GO:0003677" "DNA binding" 0.973457187748044
97 0.819641350011729 2 28 "GO:0003682" "chromatin binding" 0.970917438101142
-621 0.271957627435971 2 16 "GO:0003684" "damaged DNA binding" 0.725597985826873
-545 0.523302683099539 7 7 "GO:0003688" "DNA replication origin binding" 0.877906322412115
-40 0.94724913326931 2 14 "GO:0003697" "single-stranded DNA binding" 0.993274967972559
90 0.718156599855587 2 83 "GO:0003700" "DNA-binding transcription factor activity" 0.929739839537834
