"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 1
0 1 4 28 "GO:0000030" "mannosyltransferase activity" 1
0 1 4 45 "GO:0000049" "tRNA binding" 1
0 1 2 8 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 1
0 1 3 10 "GO:0000146" "microfilament motor activity" 1
0 1 2 42 "GO:0000149" "SNARE binding" 1
0 0.131356110374568 5 21 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exonuclease activity" 1
0 1 2 7 "GO:0000217" "DNA secondary structure binding" 1
0 1 2 8 "GO:0000254" "C-4 methylsterol oxidase activity" 1
0 1 2 64 "GO:0000287" "magnesium ion binding" 1
0 0.064827019070933 5 10 "GO:0000339" "RNA cap binding" 1
0 0.0394092016012633 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 1 6 5 "GO:0000400" "four-way junction DNA binding" 1
0 1 4 6 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 1
0 0.120310803524005 3 622 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "sequence-specific DNA binding" 1
0 0.329289481642803 2 434 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 1 2 68 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 3 16 "GO:0001099;GO:0001098;GO:0043175;GO:0070063;GO:0000993" "basal RNA polymerase II transcription machinery binding" 1
0 1 3 15 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 6 5 "GO:0001607" "neuromedin U receptor activity" 1
0 1 3 11 "GO:0001614;GO:0016502" "nucleotide receptor activity" 1
0 1 6 22 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 1
0 1 3 101 "GO:0001653" "peptide receptor activity" 1
0 1 2 39 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 4 7 "GO:0001671" "ATPase activator activity" 1
0 1 2 6 "GO:0001730" "2'-5'-oligoadenylate synthetase activity" 1
0 1 3 8 "GO:0001733;GO:0050694" "galactose 3-O-sulfotransferase activity" 1
0 1 2 8 "GO:0001786;GO:0072341" "modified amino acid binding" 1
0 1 2 50 "GO:0002020" "protease binding" 1
0 1 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 0.220229258432131 2 999 "GO:0003677" "DNA binding" 1
0 0.182299173739259 2 30 "GO:0003682" "chromatin binding" 1
0 1 2 18 "GO:0003684" "damaged DNA binding" 1
0 0.0458268073806741 7 7 "GO:0003688" "DNA replication origin binding" 1
0 1 4 18 "GO:0003697" "single-stranded DNA binding" 1
0 1 2 122 "GO:0003700" "DNA-binding transcription factor activity" 1
0 1 2 102 "GO:0003712" "transcription coregulator activity" 1
0 1 2 28 "GO:0003713" "transcription coactivator activity" 1
0 1 2 43 "GO:0003714" "transcription corepressor activity" 1
0 0.00157078810790165 2 495 "GO:0003723" "RNA binding" 0.208391222314952
0 0.0772860472078614 3 12 "GO:0003725" "double-stranded RNA binding" 1
0 1 5 6 "GO:0003727" "single-stranded RNA binding" 1
0 0.136882318999243 5 97 "GO:0003729" "mRNA binding" 1
0 1 2 12 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 98 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 17 "GO:0003743" "translation initiation factor activity" 1
0 0.125506109434241 5 20 "GO:0003746" "translation elongation factor activity" 1
0 1 3 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 2 9 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.396014833294037 2 75 "GO:0003774" "motor activity" 1
0 0.240575830894156 2 41 "GO:0003777" "microtubule motor activity" 1
0 0.0589493453089362 2 59 "GO:0003779" "actin binding" 1
0 1 3 8 "GO:0003785" "actin monomer binding" 1
0 1 3 9 "GO:0003796;GO:0061783" "lysozyme activity" 1
0 1 5 7 "GO:0003839" "gamma-glutamylcyclotransferase activity" 1
0 1 3 5 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase activity" 1
0 1 4 10 "GO:0003884" "D-amino-acid oxidase activity" 1
0 1 4 6 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 1
0 1 3 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 1
0 0.00101623482665713 2 238 "GO:0003924" "GTPase activity" 0.202230730504769
0 1 2 6 "GO:0003939" "L-iditol 2-dehydrogenase activity" 1
0 1 2 24 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 1 3 5 "GO:0003954" "NADH dehydrogenase activity" 1
0 1 2 6 "GO:0003968" "RNA-directed 5'-3' RNA polymerase activity" 1
0 0.0522021293803577 6 8 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 1
0 1 4 7 "GO:0003989" "acetyl-CoA carboxylase activity" 1
0 0.0895813625317614 2 14 "GO:0003993" "acid phosphatase activity" 1
0 1 5 7 "GO:0003994" "aconitate hydratase activity" 1
0 1 3 6 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 1 3 5 "GO:0004016" "adenylate cyclase activity" 1
0 1 3 10 "GO:0004017" "adenylate kinase activity" 1
0 1 2 10 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 1
0 1 3 7 "GO:0004032;GO:0008106;GO:0004033" "alcohol dehydrogenase (NADP+) activity" 1
0 1 2 5 "GO:0004034" "aldose 1-epimerase activity" 1
0 1 2 8 "GO:0004035" "alkaline phosphatase activity" 1
0 1 5 9 "GO:0004061" "arylformamidase activity" 1
0 1 2 5 "GO:0004065" "arylsulfatase activity" 1
0 1 2 35 "GO:0004089" "carbonate dehydratase activity" 1
0 1 2 9 "GO:0004090" "carbonyl reductase (NADPH) activity" 1
0 1 2 8 "GO:0004095;GO:0016406;GO:0016416" "carnitine O-acyltransferase activity" 1
0 1 2 21 "GO:0004100" "chitin synthase activity" 1
0 1 7 18 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 1
0 1 2 6 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 1
0 1 4 5 "GO:0004143" "diacylglycerol kinase activity" 1
0 0.0274533956224046 4 542 "GO:0004175;GO:0008233" "peptidase activity" 1
0 0.00232590088018521 2 11 "GO:0004176" "ATP-dependent peptidase activity" 0.231427137578428
0 1 2 9 "GO:0004177" "aminopeptidase activity" 1
0 1 2 27 "GO:0004180" "carboxypeptidase activity" 1
0 1 2 13 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 0.529638519909235 2 112 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 1
0 1 3 26 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 1
0 0.168350462327428 2 212 "GO:0004222;GO:0008237" "metallopeptidase activity" 1
0 1 2 106 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 1 2 11 "GO:0004312" "fatty acid synthase activity" 1
0 1 7 5 "GO:0004343" "glucosamine 6-phosphate N-acetyltransferase activity" 1
0 1 2 5 "GO:0004348" "glucosylceramidase activity" 1
0 1 5 8 "GO:0004356;GO:0016211;GO:0016880" "acid-ammonia (or amide) ligase activity" 1
0 1 3 38 "GO:0004364" "glutathione transferase activity" 1
0 1 6 7 "GO:0004379;GO:0019107" "glycylpeptide N-tetradecanoyltransferase activity" 1
0 1 7 6 "GO:0004382;GO:0017110" "nucleoside-diphosphatase activity" 1
0 1 3 8 "GO:0004383" "guanylate cyclase activity" 1
0 1 2 19 "GO:0004386" "helicase activity" 1
0 0.0772860472078614 3 12 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 1
0 1 3 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 1
0 1 2 6 "GO:0004439;GO:0034595;GO:0106019;GO:0052866;GO:0034593" "phosphatidylinositol phosphate phosphatase activity" 1
0 1 3 6 "GO:0004467;GO:0015645" "fatty acid ligase activity" 1
0 1 2 104 "GO:0004497" "monooxygenase activity" 1
0 1 2 8 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 1
0 1 4 17 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 1
0 1 3 6 "GO:0004508;GO:0008395" "steroid hydroxylase activity" 1
0 0.336229503800632 3 61 "GO:0004518" "nuclease activity" 1
0 1 2 30 "GO:0004519" "endonuclease activity" 1
0 1 3 17 "GO:0004520" "endodeoxyribonuclease activity" 1
0 1 4 10 "GO:0004521" "endoribonuclease activity" 1
0 1 3 14 "GO:0004531;GO:0016889;GO:0016894" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters" 1
0 1 2 23 "GO:0004536" "deoxyribonuclease activity" 1
0 0.20398384865116 2 34 "GO:0004540" "ribonuclease activity" 1
0 1 2 7 "GO:0004550" "nucleoside diphosphate kinase activity" 1
