"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111120752",3,1,0,0,1,0,0,0,0,1,0,0,1,1,0
"LOC111109452",0,1,0,0,7,0,1,0,1,2,15,0,0,3,0
"LOC111102393",36,53,12,1,56,20,9,10,24,17,36,14,3,26,41
"LOC111117743",521,1,1,22,0,0,0,0,4,1,0,39,0,0,0
"LOC111109809",3,5,2,0,3,1,3,1,2,4,1,4,1,0,2
"LOC111135172",1,1,11,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111121058",231,121,15,15,86,35,34,17,63,49,58,32,188,77,6
"LOC111138070",7,0,0,1,0,0,0,6,17,0,4,3,0,1,1
"LOC111108878",0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
"LOC111103224",0,0,0,1,4,0,2,0,0,1,1,0,1,0,0
"LOC111131060",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"LOC111131074",1,0,0,0,1,4,0,0,0,0,0,0,1,0,0
"LOC111131094",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LOC111099747",3,4,0,0,2,3,2,1,1,6,0,0,0,1,0
"LOC111129066",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"LOC111114430",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111129120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111113958",0,0,0,0,8,0,0,0,0,1,1,0,0,0,0
"LOC111103230",12,1,0,0,2,1,0,1,2,3,0,0,0,8,0
"LOC111101640",2,1,0,0,2,0,0,0,0,2,0,1,0,0,0
"LOC111103163",2,0,1,0,1,0,5,1,1,0,0,1,0,0,0
"LOC111103177",0,0,0,0,2,0,2,0,0,0,1,0,0,1,0
"LOC111129274",4,2,0,0,6,0,1,0,0,1,0,1,0,1,0
"LOC111134573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111134552",0,0,1,0,1,0,0,0,0,0,0,0,0,10,0
"LOC111134566",0,0,1,0,0,0,1,0,1,1,0,0,1,19,0
"LOC111109754",0,0,1,0,5,0,0,0,0,0,1,0,0,0,0
"LOC111109745",3,0,1,0,1,3,0,0,0,3,0,1,0,3,0
"LOC111099207",2,1,0,1,2,0,0,0,3,0,1,0,0,0,0
"LOC111103463",0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
"LOC111100789",1,0,0,0,0,0,1,0,0,1,2,0,0,0,0
"LOC111100985",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"LOC111103245",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"LOC111129522",0,0,0,0,17,0,0,0,1,0,1,0,0,0,0
"LOC111119645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111103288",29,43,4,10,44,16,11,1,29,22,16,4,39,9,1
"LOC111129738",15,3,1,0,2,1,1,0,8,3,3,1,0,1,0
"LOC111129748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111134153",7,4,0,0,4,4,1,0,4,1,1,2,0,4,0
"LOC111129861",4,0,0,0,1,1,0,0,0,1,0,0,0,4,0
"LOC111129878",5,1,0,0,1,0,0,0,1,0,0,0,0,4,0
"LOC111104541",1,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"LOC111126076",2,3,0,0,5,0,0,0,1,1,0,0,0,0,0
"LOC111130149",0,4,0,0,3,0,0,0,0,3,0,1,0,0,0
"LOC111118727",4,2,0,0,4,0,2,0,3,2,0,2,0,3,0
"LOC111115980",1,2,0,0,0,2,0,0,0,0,6,0,0,14,0
"LOC111106561",2,5,1,0,3,0,4,1,5,1,3,0,0,1,0
"LOC111119716",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"LOC111101176",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"LOC111101185",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"LOC111104454",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"LOC111102578",0,5,1,0,1,0,2,0,6,1,4,0,0,2,0
"LOC111127270",2,1,0,0,1,0,0,0,1,0,6,5,0,19,1
"LOC111114641",17,1,0,1,4,0,0,0,0,0,3,2,0,0,0
"LOC111118476",4,2,2,0,0,1,0,1,3,0,3,0,0,3,1
"LOC111124109",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111104690",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"LOC111124729",3,0,0,0,18,0,2,0,3,1,3,0,1,4,0
