"","x"
"1","COX1"
"2","COX2"
"3","COX3"
"4","CYTB"
"5","LOC111099029"
"6","LOC111099030"
"7","LOC111099031"
"8","LOC111099032"
"9","LOC111099033"
"10","LOC111099034"
"11","LOC111099035"
"12","LOC111099036"
"13","LOC111099037"
"14","LOC111099038"
"15","LOC111099039"
"16","LOC111099040"
"17","LOC111099041"
"18","LOC111099042"
"19","LOC111099043"
"20","LOC111099044"
"21","LOC111099045"
"22","LOC111099046"
"23","LOC111099047"
"24","LOC111099048"
"25","LOC111099049"
"26","LOC111099050"
"27","LOC111099051"
"28","LOC111099052"
"29","LOC111099053"
"30","LOC111099054"
"31","LOC111099055"
"32","LOC111099056"
"33","LOC111099057"
"34","LOC111099058"
"35","LOC111099059"
"36","LOC111099060"
"37","LOC111099061"
"38","LOC111099062"
"39","LOC111099063"
"40","LOC111099064"
"41","LOC111099065"
"42","LOC111099066"
"43","LOC111099067"
"44","LOC111099068"
"45","LOC111099069"
"46","LOC111099070"
"47","LOC111099071"
"48","LOC111099072"
"49","LOC111099073"
"50","LOC111099074"
"51","LOC111099075"
"52","LOC111099076"
"53","LOC111099077"
"54","LOC111099078"
"55","LOC111099079"
"56","LOC111099080"
"57","LOC111099081"
"58","LOC111099082"
"59","LOC111099083"
"60","LOC111099084"
"61","LOC111099085"
"62","LOC111099086"
"63","LOC111099087"
"64","LOC111099088"
"65","LOC111099089"
"66","LOC111099090"
"67","LOC111099091"
"68","LOC111099092"
"69","LOC111099093"
"70","LOC111099094"
"71","LOC111099095"
"72","LOC111099096"
"73","LOC111099097"
"74","LOC111099098"
"75","LOC111099099"
"76","LOC111099100"
"77","LOC111099101"
"78","LOC111099102"
"79","LOC111099103"
"80","LOC111099104"
"81","LOC111099105"
"82","LOC111099106"
"83","LOC111099107"
"84","LOC111099108"
"85","LOC111099109"
"86","LOC111099110"
"87","LOC111099111"
"88","LOC111099112"
"89","LOC111099113"
"90","LOC111099114"
"91","LOC111099115"
"92","LOC111099116"
"93","LOC111099117"
