"gene_name" "GO_id"
"1" "LOC111106242" "GO:0005737; GO:0006693; GO:0032440; GO:0047522"
"2" "LOC111108431" "GO:0005737; GO:0006693; GO:0032440; GO:0047522"
"3" "LOC111118924" "GO:0004315; GO:0006633; GO:0008757; GO:0016491; GO:0031177"
"4" "LOC111121098" "GO:0005739; GO:0006869; GO:0008289; GO:0016747"
"5" "LOC111121098" "GO:0005739; GO:0006869; GO:0008289; GO:0016747"
"6" "LOC111121707" "GO:0004315; GO:0006633; GO:0008757; GO:0016491; GO:0031177"
"7" "LOC111135236" "GO:0004144; GO:0005789; GO:0019432"
"8" "LOC111135236" "GO:0004144; GO:0005789; GO:0019432"
"9" "lysoz3" "GO:0003796; GO:0005576; GO:0008152; GO:0031640; GO:0050829"
"10" "lysoz1" "GO:0003796; GO:0005576; GO:0008152; GO:0031640; GO:0050829; GO:0050830"
"11" "lysoz2" "GO:0003796; GO:0005576; GO:0008152; GO:0042742; GO:0051838"
"12" "LOC111103866" "GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008568; GO:0016853; GO:0016887; GO:0051013; GO:0051301"
"13" "LOC111106452" "GO:0006807; GO:0016787"
"14" "LOC111108184" "GO:0004466; GO:0005759; GO:0042758; GO:0050660"
"15" "LOC111110780" "GO:0000289; GO:0000932; GO:0003676; GO:0004535; GO:0005634; GO:0006397; GO:0010606; GO:0031251; GO:0046872"
"16" "LOC111112783" "GO:0000773; GO:0004608; GO:0005789; GO:0006656; GO:0031966; GO:0032259; GO:0080101"
"17" "LOC111113114" "GO:0000139; GO:0005524; GO:0005576; GO:0005741; GO:0005765; GO:0016887; GO:0031901; GO:0032585; GO:0033162; GO:0140359"
"18" "LOC111118527" "GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982"
"19" "LOC111118714" "GO:0000166; GO:0005737; GO:0009117; GO:0009204; GO:0046872; GO:0047429"
"20" "LOC111118714" "GO:0000166; GO:0005737; GO:0009117; GO:0009204; GO:0046872; GO:0047429"
"21" "LOC111118672" "GO:0000166; GO:0005737; GO:0009117; GO:0009204; GO:0046872; GO:0047429"
