"","x"
"LOC111107726",10.2015417712662
"LOC111102380",9.09523777083123
"LOC111115301",9.02759687216303
"LOC111111687",8.65905694654271
"LOC111116746",8.4391631860239
"LOC111121846",8.32094408842496
"LOC111120665",8.23515479196612
"LOC111101479",8.16285267735735
"LOC111133198",8.14609578408343
"LOC111110494",8.1339701977756
"LOC111105139",7.43876385900762
"LOC111109581",7.42701080726217
"LOC111114820",7.30455059714696
"LOC111121723",7.18364855067493
"LOC111126335",6.86407987201147
"LOC111123955",6.60470164958365
"LOC111122560",6.57012055723889
"LOC111108604",6.54538617285248
"LOC111114521",6.53848195612027
"LOC111113536",6.46015663198913
"LOC111127409",6.37740733599114
"LOC111110547",6.28416451614053
"LOC111119752",6.24813789296976
"LOC111103394",6.23011614652714
"LOC111136151",6.16936427669875
"LOC111106515",6.15656398763217
"LOC111107999",6.05372348435752
"LOC111119149",6.02692465347518
"LOC111105528",6.01734437817952
"LOC111125118",5.96543381117296
"LOC111103610",5.9381166437025
"LOC111110582",5.92413392001057
"LOC111100515",5.83715989845047
"LOC111123358",5.82845140518784
"LOC111124899",5.81241121100307
"LOC111127110",5.78511518475619
"LOC111137332",5.76652007407345
"LOC111120248",5.73755537012351
"LOC111102716",5.71787681566397
"LOC111135942",5.67324278988278
"LOC111135526",5.63944925719076
"LOC111105102",5.63065953300259
"LOC111117862",5.62472044582476
"LOC111133218",5.59394461903054
"LOC111119813",5.5576789832737
"LOC111108611",5.50632144769767
"LOC111100924",5.5060477184277
"LOC111126658",5.46092133324156
"LOC111125253",5.44396512722639
"LOC111133012",5.410200387564
"LOC111136469",5.36256322668445
"LOC111134754",5.31778804252591
"LOC111101091",5.27328860896163
"LOC111134419",5.22655683646799
"LOC111136100",5.21921337554999
"LOC111107211",5.19698103664818
"LOC111100837",5.19359584710146
"LOC111123905",5.15336732271734
"LOC111111291",5.11687119104718
"LOC111135946",5.09890864612075
"LOC111136592",5.07546808191512
"LOC111135603",5.06216690683579
"LOC111118071",5.06184410236091
"LOC111127037",5.04122784158143
"LOC111121130",5.0206816527261
"LOC111133497",5.00695694973258
"LOC111137242",4.99907973809514
"LOC111127901",4.96762420011712
"LOC111124568",4.92280501091944
"LOC111118260",4.888621281992
"LOC111133303",4.8848218491441
"LOC111124640",4.88267654682642
"LOC111110769",4.87851951976718
"LOC111124500",4.8634969565958
"LOC111128759",4.82058694081687
"LOC111099767",4.81699772749122
"LOC111100237",4.78267440311899
"LOC111114616",4.77692722109849
"LOC111111714",4.77142395989821
"LOC111114230",4.74830681822578
"LOC111123938",4.73577879299538
"LOC111137163",4.71688384019053
"LOC111135100",4.71042125683793
"LOC111111671",4.70818798984955
"LOC111136115",4.67725974975946
"LOC111137379",4.67672529885979
"LOC111130299",4.65632836180337
"LOC111109061",4.65568911400129
"LOC111117910",4.651248836001
"LOC111101050",4.63181169145189
"LOC111134236",4.62931706751837
"LOC111118445",4.61649194371664
"LOC111129566",4.60982233147482
"LOC111107338",4.60375602111112
"LOC111134477",4.59857333695817
"LOC111137572",4.54437832991919
"LOC111117837",4.54419976161228
"LOC111114023",4.53541878812071
"LOC111124350",4.53503752199242
"LOC111125008",4.52062664349354
"LOC111127613",4.51434968128119
"LOC111119981",4.49942708738053
"LOC111136812",4.4818963176862
"LOC111108127",4.48075242726125
"LOC111128534",4.44635696440558
"LOC111100043",4.43104068946581
"LOC111131233",4.42461972423987
"LOC111137339",4.40953097852682
"LOC111113036",4.40791998510637
"LOC111137770",4.3948318953028
"LOC111106613",4.39353665207257
"LOC111137376",4.38485698820641
"LOC111120466",4.38208699948645
