"","gene","logFC","pval","padj"
"1","COX1",NA,NA,NA
"2","COX2",NA,NA,NA
"3","COX3",NA,NA,NA
"4","CYTB",NA,NA,NA
"5","LOC111099029",-1.14707756105926,0.0894094852576812,0.378632359752378
"6","LOC111099030",NA,NA,NA
"7","LOC111099031",NA,NA,NA
"8","LOC111099032",NA,NA,NA
"9","LOC111099033",0.503401683236691,0.887989132266647,NA
"10","LOC111099034",NA,NA,NA
"11","LOC111099035",0.151862579765343,0.928951045855922,NA
"12","LOC111099036",0.506379774988912,0.765204493473865,NA
"13","LOC111099037",NA,NA,NA
"14","LOC111099038",NA,NA,NA
"15","LOC111099039",NA,NA,NA
"16","LOC111099040",-0.547352989296717,0.521477813675811,0.852993881206892
"17","LOC111099041",NA,NA,NA
"18","LOC111099042",NA,NA,NA
"19","LOC111099043",0.358299897981775,0.88675794663581,NA
"20","LOC111099044",NA,NA,NA
"21","LOC111099045",NA,NA,NA
"22","LOC111099046",0,1,NA
"23","LOC111099047",1.90475773643324,0.299520299375274,NA
"24","LOC111099048",NA,NA,NA
"25","LOC111099049",NA,NA,NA
"26","LOC111099050",-0.314570479678592,0.494751051788266,0.838227236176254
"27","LOC111099051",NA,NA,NA
"28","LOC111099052",NA,NA,NA
"29","LOC111099053",0.934834202093663,0.364809655393214,NA
"30","LOC111099054",NA,NA,NA
"31","LOC111099055",0.868841688038177,0.845617353716774,NA
"32","LOC111099056",0.868836799072231,0.845618218780565,NA
"33","LOC111099057",NA,NA,NA
"34","LOC111099058",NA,NA,NA
"35","LOC111099059",0,1,NA
"36","LOC111099060",1.64468998593168,0.582095920509247,NA
"37","LOC111099061",NA,NA,NA
"38","LOC111099062",0.524422408649112,0.196153803935569,0.57841205406734
"39","LOC111099063",-0.397058044873803,0.424610436709815,0.799801362145861
"40","LOC111099064",1.73918771575126,0.507068360196036,NA
"41","LOC111099065",NA,NA,NA
"42","LOC111099066",NA,NA,NA
"43","LOC111099067",-0.339211305937935,0.459298600933234,0.818668470065216
"44","LOC111099068",NA,NA,NA
"45","LOC111099069",NA,NA,NA
"46","LOC111099070",0.894299290001624,0.841162980699636,NA
"47","LOC111099071",0.409155222439879,0.868630272283637,NA
"48","LOC111099072",NA,NA,NA
"49","LOC111099073",-0.543347159247953,0.15090764185353,0.506841528156337
"50","LOC111099074",NA,NA,NA
"51","LOC111099075",NA,NA,NA
"52","LOC111099076",0.554173999205768,0.782076651133861,NA
"53","LOC111099077",NA,NA,NA
"54","LOC111099078",NA,NA,NA
"55","LOC111099079",-0.324591374661266,0.36540266049407,0.75607615447149
"56","LOC111099080",1.39543765201075,0.753924169812963,NA
"57","LOC111099081",0.558521158855616,0.341141725441345,0.739970278601837
"58","LOC111099082",NA,NA,NA
"59","LOC111099083",NA,NA,NA
"60","LOC111099084",0,1,NA
"61","LOC111099085",NA,NA,NA
"62","LOC111099086",NA,NA,NA
"63","LOC111099087",2.16200392653135,0.626609408973554,NA
"64","LOC111099088",NA,NA,NA
"65","LOC111099089",NA,NA,NA
"66","LOC111099090",NA,NA,NA
"67","LOC111099091",NA,NA,NA
"68","LOC111099092",NA,NA,NA
"69","LOC111099093",NA,NA,NA
"70","LOC111099094",NA,NA,NA
"71","LOC111099095",-0.770214157613382,0.546040088393425,NA
"72","LOC111099096",0.457475039823937,0.761442747891247,NA
"73","LOC111099097",0.443471918356457,0.790921572465382,NA
"74","LOC111099098",NA,NA,NA
"75","LOC111099099",NA,NA,NA
"76","LOC111099100",NA,NA,NA
"77","LOC111099101",0.0834747141933694,0.843717531005596,0.960313952570924
"78","LOC111099102",0.155636219788117,0.703828130155047,0.923616375589692
