"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
916 0.364683871910768 2 5 "GO:0000026" "alpha-1,2-mannosyltransferase activity" 0.842982601589176
-102 0.836509131832025 5 21 "GO:0000030" "mannosyltransferase activity" 0.995625311718836
492 0.164114390478053 2 41 "GO:0000049" "tRNA binding" 0.650925616165761
372 0.641407333961425 6 8 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "fatty-acyl-CoA binding" 0.953543551102536
1359 0.0711411346136106 2 9 "GO:0000146" "microfilament motor activity" 0.592060458644981
-187 0.629347585679595 3 34 "GO:0000149" "SNARE binding" 0.953543551102536
50 0.649430342208118 3 452 "GO:0000166;GO:0036094;GO:1901265" "small molecule binding" 0.955203794997774
125 0.813863496811023 5 18 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exonuclease activity" 0.995625311718836
-928 0.314472456995849 2 6 "GO:0000217" "DNA secondary structure binding" 0.798229772220624
245 0.773964724934506 5 7 "GO:0000254" "C-4 methylsterol oxidase activity" 0.989889666311162
-670 0.0230842122328438 2 59 "GO:0000287" "magnesium ion binding" 0.592060458644981
-842 0.238783973587225 2 10 "GO:0000339" "RNA cap binding" 0.73401031884113
-1939 0.0354648967212988 2 6 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.592060458644981
-1062 0.293121564534006 2 5 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.797608277053372
121 0.260854610647633 5 466 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.754767848841102
156 0.213440327647717 7 341 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.724465727496578
767 0.0281395684878891 2 42 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.592060458644981
472 0.403231965203318 3 16 "GO:0001099;GO:0001098;GO:0043175;GO:0070063;GO:0000993" "basal transcription machinery binding" 0.869232851293014
-60 0.953079373680035 2 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.995625311718836
-293 0.713647559622466 4 8 "GO:0001614;GO:0016502" "nucleotide receptor activity" 0.988834316627891
813 0.126996289881513 6 18 "GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.609864194525089
-191 0.501321415952459 2 64 "GO:0001653" "peptide receptor activity" 0.929516877312841
-284 0.470446884322003 2 33 "GO:0001664" "G protein-coupled receptor binding" 0.912460165745423
-1324 0.15105974302907 4 6 "GO:0001671" "ATPase activator activity" 0.620047549875136
83 0.922426528392193 2 7 "GO:0001786;GO:0072341" "modified amino acid binding" 0.995625311718836
101 0.822894396563819 2 25 "GO:0002020" "protease binding" 0.995625311718836
-1513 0.0582634407628284 3 8 "GO:0002161" "aminoacyl-tRNA editing activity" 0.592060458644981
13 0.88294752173771 4 727 "GO:0003677" "DNA binding" 0.995625311718836
380 0.374712268758506 2 28 "GO:0003682" "chromatin binding" 0.842982601589176
182 0.747529019954962 2 16 "GO:0003684" "damaged DNA binding" 0.988834316627891
-1094 0.200083000264313 4 7 "GO:0003688" "DNA replication origin binding" 0.692444108757868
-215 0.722516233823506 2 14 "GO:0003697" "single-stranded DNA binding" 0.988834316627891
430 0.0846008264066399 2 83 "GO:0003700" "DNA-binding transcription factor activity" 0.592060458644981
142 0.558463826273562 2 88 "GO:0003712" "transcription coregulator activity" 0.930172590123931
1071 0.0231449309447591 3 23 "GO:0003713" "transcription coactivator activity" 0.592060458644981
53 0.883006396323483 3 39 "GO:0003714" "transcription corepressor activity" 0.995625311718836
6 0.957619269904095 4 454 "GO:0003723" "RNA binding" 0.995625311718836
424 0.516105688253022 2 12 "GO:0003725" "double-stranded RNA binding" 0.929516877312841
31 0.896409548158144 2 90 "GO:0003729" "mRNA binding" 0.995625311718836
-24 0.971168270633454 2 12 "GO:0003730" "mRNA 3'-UTR binding" 0.995625311718836
-132 0.605076352831241 2 79 "GO:0003735" "structural constituent of ribosome" 0.953535502452804
-374 0.52189081455855 2 15 "GO:0003743" "translation initiation factor activity" 0.930172590123931
-795 0.11606147580559 3 20 "GO:0003746" "translation elongation factor activity" 0.602446144533169
244 0.686587238900233 3 14 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.979985594016096
4 0.995625311718836 3 8 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.995625311718836
239 0.367438972813492 2 73 "GO:0003774" "motor activity" 0.842982601589176
-349 0.323362202344332 2 41 "GO:0003777" "microtubule motor activity" 0.798229772220624
-516 0.100511835667795 4 52 "GO:0003779" "actin binding" 0.592060458644981
183 0.84265424081499 5 6 "GO:0003785" "actin monomer binding" 0.995625311718836
-1208 0.1086178990048 5 9 "GO:0003884" "D-amino-acid oxidase activity" 0.592060458644981
1342 0.145777736874587 3 6 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.609864194525089
-1667 0.0989018953762999 3 5 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.592060458644981
396 0.0313291764235527 2 154 "GO:0003924" "GTPase activity" 0.592060458644981
-137 0.891973081921833 3 5 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.995625311718836
579 0.219839600634606 5 23 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.732107349283169
-1933 0.0557099521717296 4 5 "GO:0003954" "NADH dehydrogenase activity" 0.592060458644981
965 0.226792308898748 4 8 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.73401031884113
722 0.312087028995572 6 10 "GO:0003993" "acid phosphatase activity" 0.798229772220624
1504 0.0782238250476442 2 7 "GO:0003994" "aconitate hydratase activity" 0.592060458644981
20 0.982900628410155 2 6 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.995625311718836
796 0.430810684389234 3 5 "GO:0004016" "adenylate cyclase activity" 0.875635793480343
-887 0.239026449580971 2 9 "GO:0004017" "adenylate kinase activity" 0.73401031884113
1140 0.110696856290563 3 10 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 0.592060458644981
733 0.390673520450856 6 7 "GO:0004032;GO:0008106;GO:0004033" "alcohol dehydrogenase (NADP+) activity" 0.867344356724228
162 0.872508232877776 5 5 "GO:0004034" "aldose 1-epimerase activity" 0.995625311718836
93 0.907340417133442 6 8 "GO:0004035" "alkaline phosphatase activity" 0.995625311718836
-1077 0.242868677514043 2 6 "GO:0004061" "arylformamidase activity" 0.73401031884113
-366 0.716866427169458 2 5 "GO:0004065" "arylsulfatase activity" 0.988834316627891
409 0.34720417361904 2 27 "GO:0004089" "carbonate dehydratase activity" 0.822570961661215
-93 0.913521837940411 3 7 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.995625311718836
442 0.57968162458034 2 8 "GO:0004095;GO:0016406;GO:0016416" "carnitine O-acyltransferase activity" 0.932967624350896
185 0.736127999658005 2 17 "GO:0004100" "chitin synthase activity" 0.988834316627891
176 0.748196960703492 2 17 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.988834316627891
852 0.355700818497743 2 6 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.831538999534459
1430 0.156941239600913 5 5 "GO:0004143" "diacylglycerol kinase activity" 0.629548381580935
-61 0.579485630002239 2 452 "GO:0004175;GO:0008233" "peptidase activity" 0.932967624350896
1092 0.108880354566446 2 11 "GO:0004176" "ATP-dependent peptidase activity" 0.592060458644981
891 0.23673618298095 2 9 "GO:0004177" "aminopeptidase activity" 0.73401031884113
382 0.417372720194007 2 23 "GO:0004180" "carboxypeptidase activity" 0.871790356381565
-570 0.449369355804294 5 9 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.89619990168879
