Symbol,log2fc
LOC111116054,0
LOC111126949,-0.0193873653386289
LOC111110729,-0.0651937378202718
LOC111112434,0.0747919072793313
LOC111120752,0.0143833941535384
LOC111128944,NA
LOC111128953,-0.00450199253476148
LOC111105691,-0.0187985282210318
LOC111105685,NA
LOC111105702,NA
LOC111133554,NA
LOC111125466,0
LOC111128964,NA
LOC111113860,-0.504116957268138
LOC111109550,NA
LOC111109753,-0.00537529905828629
LOC111109452,-0.162265587051275
LOC111124802,0.0905073704975521
LOC111101273,-0.112805054943471
LOC111101250,-0.133361533443144
LOC111101262,0.192330943874843
LOC111133260,-0.906529898658842
LOC111113503,0.354760396927964
LOC111102393,-0.0941892402276839
LOC111119377,0.117096268750886
LOC111101799,0.657394338381651
LOC111117743,-0.462393806666466
LOC111117672,0.144767437053239
LOC111114053,-0.555499639193101
LOC111109809,-1.23220485739065
LOC111102064,0.0239974693522745
LOC111112773,0
LOC111135169,-0.0331953715853893
LOC111135172,-0.401899069491555
LOC111135178,NA
LOC111114201,0.115601619477549
LOC111114212,-0.342053895865075
LOC111138315,0.163311446313277
LOC111138321,0.352282242341127
LOC111121058,-0.147555755468764
LOC111138070,-0.145964052557349
LOC111108931,0.485839717610204
LOC111108878,NA
LOC111108901,0.454163827145709
LOC111130095,0.487491913450607
LOC111103204,-0.0515108521258174
LOC111103224,0.521731252412453
LOC111131060,-0.049265252411686
LOC111131074,0.366644182847056
LOC111131094,-0.0511028876388054
LOC111131052,-0.0191765549738318
LOC111116497,-0.0648309751816162
LOC111115921,-0.035238298367426
LOC111116467,NA
LOC111104259,-0.0035677588175561
LOC111114340,NA
LOC111134965,NA
LOC111111519,-0.0671646310323997
LOC111113087,0
LOC111136780,0.174103839177464
LOC111136794,NA
LOC111118408,-0.0650099979689931
LOC111133372,0.0560512473649222
LOC111118838,NA
LOC111118844,-0.0868894230204456
LOC111110627,NA
LOC111137104,-0.0206241956757862
LOC111105880,-0.271530320780291
LOC111102585,0.424677403427463
LOC111099747,0.497555781828736
LOC111128995,-0.463707813237581
LOC111124195,0
LOC111129046,-0.00255571492240635
LOC111129066,0.0821412386065511
LOC111124462,NA
LOC111115406,0.165592814305343
LOC111135942,0.0116054557573877
LOC111135933,NA
LOC111114441,-0.11492980617529
LOC111114430,0.675152537249992
LOC111111547,NA
LOC111103592,-0.0511028876388054
LOC111129108,NA
LOC111129120,NA
LOC111135210,-0.153449693025002
LOC111113958,-0.375261634809416
LOC111103230,0.0118664889109434
LOC111101640,0.17483658338984
LOC111103171,-0.0127996393137857
LOC111103163,-0.604101900240924
LOC111103177,-0.047902680697356
LOC111115024,NA
LOC111115591,0.166846955118887
LOC111119406,NA
LOC111102439,NA
LOC111102448,0.44958480693606
LOC111129274,-0.456928803900907
LOC111113346,-0.193785919444613
LOC111100652,0.420281850602405
LOC111134791,-0.0034325046016742
LOC111128971,0.0279428096522249
LOC111104153,-0.0391828143914835
LOC111134573,0.0189071746056898
LOC111129318,0.302553910434171
LOC111134552,-0.13185376397194
LOC111134566,-0.441506939221595
LOC111121766,-0.0492652515565672
LOC111121733,-0.240367345188747
LOC111129336,-0.0213592051858809
LOC111109736,0
LOC111109754,0.22456153434671
LOC111109763,-0.0324182222639047
LOC111129344,NA
LOC111109745,-0.221266434197019
LOC111132141,NA
LOC111129349,0
LOC111132148,NA
LOC111132134,NA
LOC111132126,-0.153430641471395
LOC111099207,0.288643281821909
LOC111115013,0.445510729322527
LOC111132349,-0.0195787955229834
LOC111129373,NA
LOC111132366,-0.0187985282210318
LOC111103463,0.0502683005805913
LOC111131773,-0.00255571492240635
LOC111131721,0.226870830124592
LOC111131752,-0.52858917653674
LOC111131766,-0.598550802320288
LOC111129378,-0.0790659728845334
LOC111131682,0.429892089333113
LOC111128103,-0.00300585368112917
LOC111100789,0.138620062789167
LOC111100985,0.509960487684392
LOC111103238,NA
LOC111103245,0
LOC111112387,0.407068942266962
LOC111114799,0.165356347181816
LOC111129421,0.331025895743448
LOC111129446,-0.247769537250765
LOC111100566,0.271904409121765
LOC111136882,-0.765067276313992
LOC111136873,-0.255834694315668
LOC111099831,-0.076155800149491
LOC111129522,-0.186306900208704
LOC111100662,-0.512903792573319
LOC111100672,-0.31871819477733
LOC111123745,0
LOC111129531,NA
LOC111105302,0.100188855132114
LOC111122009,-0.0101793386836518
LOC111137770,-0.365957941342587
Trnag-gcc,-0.0168527862738043
LOC111119645,0.196510306345065
LOC111134776,-0.0499190027263936
LOC111103288,-0.222264961327721
LOC111101388,NA
LOC111101379,NA
LOC111101405,NA
LOC111101397,-0.458740219031062
LOC111129738,NA
LOC111129748,-0.0247870095748335
LOC111134153,NA
LOC111113132,NA
LOC111129757,-0.0511028876388055
LOC111128935,0
LOC111136489,NA
LOC111136460,0.0221650749930037
LOC111136481,-0.0486373216073622
LOC111119489,NA
LOC111129787,-0.00255571492240635
LOC111133651,0.141980152156445
LOC111105807,0.293173522437662
LOC111106831,NA
LOC111122515,NA
LOC111122523,-0.0737859741195314
LOC111129837,0.460920109653804
LOC111129845,NA
LOC111129861,0.112274829057199
LOC111129869,-0.00429840903397097
LOC111129878,0.278334658253902
LOC111118123,NA
LOC111129887,NA
LOC111129920,-0.0515108521258174
LOC111112009,0.392992673008884
LOC111129927,NA
LOC111119833,0.106326604933097
LOC111104541,0.0248415301358603
LOC111112448,NA
LOC111125753,NA
LOC111110783,-0.0511028876388054
LOC111132154,NA
LOC111123486,NA
LOC111116296,0
LOC111120908,NA
LOC111122297,NA
LOC111119741,NA
LOC111119754,NA
LOC111121693,NA
LOC111126076,-0.196372713498454
LOC111126102,0.0115858120925201
LOC111129935,-0.036655218503306
LOC111116034,0.0543544520563956
LOC111116043,NA
LOC111111995,0.628702174386076
LOC111130149,-0.108418768960972
LOC111134929,0.431043783631225
LOC111101827,-0.129517565088798
LOC111118727,0.019330474004545
LOC111105905,-0.916223556710717
LOC111103607,0.0268061423399208
LOC111111287,-0.0193873653386289
LOC111115930,0
LOC111130161,0.114443295175219
LOC111110859,0
LOC111103139,-0.459096353491558
LOC111103146,NA
LOC111119414,-0.0671646259896358
LOC111122198,NA
LOC111119020,-0.510363278451728
LOC111125333,-0.178234682105705
LOC111125334,-0.204786676784927
LOC111136966,0.230867022693311
LOC111115980,0.295348584513496
LOC111115748,-0.0938849316864351
LOC111112068,0.0702539416902645
LOC111106561,-0.72079326984591
LOC111109865,-0.03201662000075
LOC111111799,NA
LOC111131292,0.227591926216038
LOC111124863,-0.104366878605585
LOC111124850,0.0208641307632027
LOC111130177,NA
LOC111119709,-0.00373935128126558
LOC111119716,0
LOC111130195,-0.0329145296673985
LOC111132898,-0.392305636368972
LOC111130854,-0.777737829719704
LOC111130204,NA
LOC111101169,0.258927133600219
LOC111101176,-0.0201751360364374
LOC111101164,-0.0626348653503147
LOC111101185,0.105080853483865
LOC111101139,-0.290500139094202
LOC111101156,-0.413114594227477
LOC111115242,0.235453561818073
LOC111110131,0
LOC111104454,0.147859671048191
LOC111102578,-0.265431225338698
LOC111108648,-0.0518305107087438
LOC111135567,0
LOC111127270,0.529287845524495
LOC111117581,-0.138856745079155
LOC111114641,-0.252647038327055
LOC111127966,-0.182243171272599
LOC111118476,0.27998550852983
LOC111117949,-0.00697660205124297
LOC111113361,0.335940476148397
LOC111135136,0.421665590063002
LOC111135129,-0.16336264115875
LOC111124109,-0.0299957748227771
LOC111130247,0.432041060069701
LOC111116170,-0.0515108521258175
LOC111108867,-0.0187985282210318
LOC111130254,-0.0105233345054706
LOC111110154,-0.378524431596705
LOC111118316,-0.363840940606934
LOC111109243,-0.440293383096818
LOC111134171,0.910855949270618
LOC111111295,0.562817409000035
LOC111104675,0.235054813838554
LOC111104690,NA
LOC111104685,NA
LOC111130258,-0.413667375621105
