Symbol,log2fc
LOC111116054,0.0235475561919994
LOC111126949,-0.00857593059518912
LOC111110729,0.0168541423708747
LOC111112434,-0.446553473181526
LOC111120752,-0.332082993555604
LOC111128944,NA
LOC111128953,-0.00739956000546228
LOC111105691,0.00689697568080804
LOC111105685,NA
LOC111105702,NA
LOC111133554,NA
LOC111125466,0.0235475561919994
LOC111128964,NA
LOC111113860,-0.0110815361981823
LOC111109550,NA
LOC111109753,-0.0230237522285051
LOC111109452,0.155967876548796
LOC111124802,-0.0739268935181007
LOC111101273,-0.113594574310405
LOC111101250,-0.0194530292552138
LOC111101262,-0.0872826162688114
LOC111133260,0.960998121734764
LOC111113503,-0.458684798712163
LOC111102393,-0.154189107710895
LOC111119377,0.348083823374366
LOC111101799,-0.90336203409173
LOC111117743,-0.0129218356443142
LOC111117672,-0.270897099488482
LOC111114053,0.278578119702834
LOC111109809,1.69825058073503
LOC111102064,-0.0522618345006455
LOC111112773,0
LOC111135169,0.00327410776919263
LOC111135172,-0.0345912163099427
LOC111135178,NA
LOC111114201,-0.13873466378259
LOC111114212,0.452854933314889
LOC111138315,0.101872174557819
LOC111138321,-0.222289102192502
LOC111121058,-0.0111300858507327
LOC111138070,0.00308417919208928
LOC111108931,-0.250656302074867
LOC111108878,NA
LOC111108901,-0.479736244641837
LOC111130095,-0.521934738434348
LOC111103204,0
LOC111103224,-0.537801560987143
LOC111131060,0.0373636998714623
LOC111131074,-0.151463365930755
LOC111131094,0.0231395917049874
LOC111131052,-0.00878674095998628
LOC111116497,-0.0155815567501712
LOC111115921,-0.00878674095998628
LOC111116467,NA
LOC111104259,-0.0243955371162619
LOC111114340,NA
LOC111134965,NA
LOC111111519,0
LOC111113087,0
LOC111136780,-0.316567585068875
LOC111136794,NA
LOC111118408,0.00382015764079392
LOC111133372,-0.199366652517666
LOC111118838,NA
LOC111118844,0.0263758394143051
LOC111110627,NA
LOC111137104,0.0816742055982005
LOC111105880,-0.143911564369164
LOC111102585,-0.0468682334932538
LOC111099747,-0.557875909569671
LOC111128995,0.240457107658019
LOC111124195,0.0231395917049874
LOC111129046,-0.0254075810114117
LOC111129066,-0.108636281970621
LOC111124462,NA
LOC111115406,7.22033665797724e-05
LOC111135942,0.241523263489115
LOC111135933,NA
LOC111114441,-0.0617461380060601
LOC111114430,-0.769782116734647
LOC111111547,NA
LOC111103592,0
LOC111129108,NA
LOC111129120,NA
LOC111135210,-0.0553919689715624
LOC111113958,0.204686457117912
LOC111103230,-0.362486194628675
LOC111101640,-0.00857241134294864
LOC111103171,-0.0463939410077009
LOC111103163,0.205533696758418
LOC111103177,-0.0591534822205191
LOC111115024,NA
LOC111115591,-0.353801965131835
LOC111119406,NA
LOC111102439,NA
LOC111102448,-0.0290255932513263
LOC111129274,0.186795615603104
LOC111113346,0.239751704664727
LOC111100652,-0.682099637606479
LOC111134791,-0.0439932280579876
LOC111128971,-0.10765192929719
LOC111104153,0.824459025760482
LOC111134573,-0.00498622820850264
LOC111129318,-0.338034005568425
LOC111134552,0.309381913912396
LOC111134566,0.4690790179034
LOC111121766,0
LOC111121733,0.159133255738183
LOC111129336,0.235141933541299
LOC111109736,0.0970876310835575
LOC111109754,0.0145831334998829
LOC111109763,0.00271046052507463
LOC111129344,NA
LOC111109745,-0.132583508110886
LOC111132141,NA
LOC111129349,0
LOC111132148,NA
LOC111132134,NA
LOC111132126,0.0210895566203667
LOC111099207,-0.0033448079414765
LOC111115013,-0.714626273550416
LOC111132349,0.00767724298275962
LOC111129373,NA
LOC111132366,-0.00916476771278624
LOC111103463,-0.135352240893823
LOC111131773,-0.0254075810114117
LOC111131721,-0.272839068282151
LOC111131752,0.852449094908181
LOC111131766,1.01723931558466
LOC111129378,0.0318606031041316
LOC111131682,-0.303181297793845
LOC111128103,-0.0155663974158348
LOC111100789,-0.0213640501499716
LOC111100985,-0.457364119165395
LOC111103238,NA
LOC111103245,0.0674386446007497
LOC111112387,0.0774509032796303
LOC111114799,-0.248861676223089
LOC111129421,-0.200106951248067
LOC111129446,0.269391555207863
LOC111100566,-0.0715188378677069
LOC111136882,0.809258414143169
LOC111136873,0.177340786344584
LOC111099831,0.0311158977605464
LOC111129522,0.0111179429947948
LOC111100662,-0.0169638441660763
LOC111100672,-0.00902505276008018
LOC111123745,0.0392013350985817
LOC111129531,NA
LOC111105302,-0.653922939734892
LOC111122009,0.272950366405414
LOC111137770,-0.592500843260496
Trnag-gcc,0.0210129771271748
LOC111119645,-0.18502781243423
LOC111134776,0.0362580438216241
LOC111103288,0.137934442265966
LOC111101388,NA
LOC111101379,NA
LOC111101405,NA
LOC111101397,0.381653703836205
LOC111129738,NA
LOC111129748,0.183729059233694
LOC111134153,NA
LOC111113132,NA
LOC111129757,0.0231395917049874
LOC111128935,0
LOC111136489,NA
LOC111136460,-0.0503398426913502
LOC111136481,-0.0122678285160776
LOC111119489,NA
LOC111129787,-0.0254075810114117
LOC111133651,-0.334055797957224
LOC111105807,-0.30928520442542
LOC111106831,NA
LOC111122515,NA
LOC111122523,0.200907767646386
LOC111129837,-0.0885557578450656
LOC111129845,NA
LOC111129861,-0.341660918998138
LOC111129869,-0.0236648868998471
LOC111129878,-0.311843221380331
LOC111118123,NA
LOC111129887,NA
LOC111129920,0
LOC111112009,0.0404761437575863
