sample,phase1_rep,phase2_rep,tag,methylation?,16s?,tag2,combined,Oyster Code,Phase 1 DO Treatment,Phase 1 Temperature Treatment,Phase 2 DO Treatment,Phase 2 Temperature Treatment,Phase 1 Replicate,Phase 2 Replicate,Initial Submerged Mass (g),Initial Dry Mass (g),Final Submerged Mass (g),Final Dry Mass (g),Initial Shell Mass (g),Initial Tissue Mass (g),Final Shell Mass (g),Final Tissue Mass (g),Shell Growth (g),Shell Growth (mg),Tissue Growth (g),Tissue Growth (mg),Tissue:Shell Growth
2018--BBB-WBO-B21-CV,BBB,WBO,B21,yes,no,21B,BBBWBO21B,21B,Hypoxic,Ambient,Normoxic,Ambient,BBB,WBO,0.1291,0.2766,0.1536,0.3187,0.20360665,0.07299335,0.2386784,0.0800216,0.03507175,35.07175,0.00702825,7.02825,0.20039633
2018--WBB-WBV-W69-CV,WBB,WBV,W69,yes,no,69W,WBBWBV69W,69W,Normoxic,Ambient,Normoxic,Ambient,WBB,WBV,0.0894,0.1982,0.105,0.2334,0.1467761,0.0514239,0.1691075,0.0642925,0.0223314,22.3314,0.0128686,12.8686,0.57625586
2018--BBB-WBV-B70-CV,BBB,WBV,B70,yes,no,70B,BBBWBV70B,70B,Hypoxic,Ambient,Normoxic,Ambient,BBB,WBV,0.1315,0.322,0.1292,0.3176,0.20704225,0.11495775,0.2037498,0.1138502,-0.0032925,-3.29245,-0.0011076,-1.10755,0.33639083
2018--BBO-BBO-B16-CV,BBO,BBO,B16,yes,no,16B,BBOBBO16B,16B,Hypoxic,Ambient,Hypoxic,Ambient,BBO,BBO,0.0543,0.1173,0.064,0.1332,0.09653045,0.02076955,0.110416,0.022784,0.01388555,13.88555,0.00201445,2.01445,0.14507528
2018--WBG-WBG-W44-CV,WBG,WBG,W44,yes,no,44W,WBGWBG44W,44W,Normoxic,Ambient,Normoxic,Ambient,WBG,WBG,0.1939,0.414,0.2488,0.5151,0.29636785,0.11763215,0.3749572,0.1401428,0.07858935,78.58935,0.02251065,22.51065,0.28643385
2018--BBO-WBO-B16-CV,BBO,WBO,B16,yes,no,16B,BBOWBO16B,16B,Hypoxic,Ambient,Normoxic,Ambient,BBO,WBO,0.1376,0.2675,0.1631,0.3113,0.2157744,0.0517256,0.25227765,0.05902235,0.03650325,36.50325,0.00729675,7.29675,0.19989316
2018--WBO-WBV-W64-CV,WBO,WBV,W64,yes,no,64W,WBOWBV64W,64W,Normoxic,Ambient,Normoxic,Ambient,WBO,WBV,0.0975,0.2059,0.1288,0.2627,0.15837125,0.04752875,0.2031772,0.0595228,0.04480595,44.80595,0.01199405,11.99405,0.26768878
2018--BBO-WBV-B64-CV,BBO,WBV,B64,yes,no,64B,BBOWBV64B,64B,Hypoxic,Ambient,Normoxic,Ambient,BBO,WBV,0.111,0.2603,0.1444,0.3281,0.1776965,0.0826035,0.2255086,0.1025914,0.0478121,47.8121,0.0199879,19.9879,0.41805108
2018--WBR-BBY-W25-CV,WBR,BBY,W25,yes,no,25W,WBRBBY25W,25W,Normoxic,Ambient,Hypoxic,Ambient,WBR,BBY,0.0608,0.1371,0.0741,0.1607,0.1058352,0.0312648,0.12487415,0.03582585,0.01903895,19.03895,0.00456105,4.56105,0.23956416
2018--WBV-WBO-W23-CV,WBV,WBO,W23,yes,no,23W,WBVWBO23W,23W,Normoxic,Ambient,Normoxic,Ambient,WBV,WBO,0.1206,0.2557,0.1357,0.2849,0.1914389,0.0642611,0.21305455,0.07184545,0.02161565,21.61565,0.00758435,7.58435,0.35087309
