unique_ID,Phase1,Phase2,treatment1,treatment2
BPO-BPO-O16,both,both,both both,both both 1
BPR-BPG-O38,both,both,both both,both both 2
BPR-BPR-O02,both,both,both both,both both 3
BPY-BPG-O42,both,both,both both,both both 4
BPY-BPY-O29,both,both,both both,both both 5
WBB-WBV-W69,control,control,control control,control control 1
WBG-WBG-W44,control,control,control control,control control 2
WBO-WBV-W64,control,control,control control,control control 3
WBV-WBO-W23,control,control,control control,control control 4
WBV-WBR-W12,control,control,control control,control control 5
WBG-BBB-W56,control,hypoxic,control hypoxic,control hypoxic 1
WBO-BBR-W03,control,hypoxic,control hypoxic,control hypoxic 2
WBR-BBY-W25,control,hypoxic,control hypoxic,control hypoxic 3
WBY-BBV-W65,control,hypoxic,control hypoxic,control hypoxic 4
WBY-BBY-W30,control,hypoxic,control hypoxic,control hypoxic 5
BBB-WBO-B21,hypoxic,control,hypoxic control,hypoxic control 1
BBB-WBV-B70,hypoxic,control,hypoxic control,hypoxic control 2
BBO-WBO-B16,hypoxic,control,hypoxic control,hypoxic control 3
BBO-WBV-B64,hypoxic,control,hypoxic control,hypoxic control 4
BBY-WBG-B42,hypoxic,control,hypoxic control,hypoxic control 5
BBO-BBO-B16,hypoxic,hypoxic,hypoxic hypoxic,hypoxic hypoxic 1
BBO-BBY-B27,hypoxic,hypoxic,hypoxic hypoxic,hypoxic hypoxic 2
BBR-BBB-B50,hypoxic,hypoxic,hypoxic hypoxic,hypoxic hypoxic 3
BBR-BBG-B38,hypoxic,hypoxic,hypoxic hypoxic,hypoxic hypoxic 4
BBR-BBY-B26,hypoxic,hypoxic,hypoxic hypoxic,hypoxic hypoxic 5
WPB-BPG-G45,warm,both,warm both,warm both 1
WPO-BPO-G16,warm,both,warm both,warm both 2
WPO-BPY-G28,warm,both,warm both,warm both 3
WPR-BPY-G25,warm,both,warm both,warm both 4
WPV-BPR-G11,warm,both,warm both,warm both 5
