"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,-0.057706592599107,0.22461140702164,0,1,1
"LOC111109452",1.5973301650215,-0.0717739113881027,0.248356081510674,0,1,1
"LOC111124802",213.001305426664,0.0368271664730497,0.125205575804146,0,1,1
"LOC111101273",76.7130207987342,-0.251506946384681,0.168177169602503,-0.00896046941593133,0.992850675465502,1
"LOC111101250",123.474814925949,0.0805240468477583,0.185338052697979,0,1,1
"LOC111101262",269.444399302106,0.163678044423598,0.128255669417205,0,1,1
"LOC111133260",29.4470879831386,0.641330453302158,0.27099382430053,1.44405672089477,0.148723020817688,1
"LOC111113503",16.7528215547708,0.618097799118103,0.298417474757948,1.2334994772564,0.217389471627304,1
"LOC111102393",24.8434717066399,-0.207771344316964,0.29129161824671,0,1,1
"LOC111119377",48.5414494330275,0.361643126330907,0.362237162796313,0.308204507425662,0.75792672287469,1
"LOC111101799",13.248074295177,-0.341951430123063,0.344562250674643,-0.266864492390054,0.789573496419954,1
"LOC111117743",22.2401913669557,-0.157931779574969,0.240990441611633,0,NA,NA
"LOC111117672",235.02313851231,-0.0341723173362133,0.140008431148739,0,1,1
"LOC111114053",30.6913553957081,0.391169918530463,0.288397116102246,0.489498370990693,0.624488907546146,1
"LOC111109809",2.62732745230971,-0.115150593179349,0.359272217892369,0,1,1
"LOC111135172",1.5935453832351,-0.418691657714059,0.1974092567761,-0.854527596471265,0.392812725515075,1
"LOC111114201",510.164024735551,0.282400763028725,0.126826682911282,0.255472762394882,0.798357978248071,1
"LOC111114212",187.839356573486,0.146464981116646,0.12124868819952,0,1,1
"LOC111138315",118.741842645973,0.305284056028191,0.179034311991706,0.308790283902408,0.757481060529975,1
"LOC111138321",124.288929781067,0.011215355002854,0.164322524298372,0,1,1
"LOC111121058",64.6640601186964,-0.152263956915238,0.267529020076365,0,1,1
"LOC111138070",2.69689945309621,-0.0626073788448092,0.141085119050802,0,1,1
"LOC111108878",0.539400869700061,0.14307216977207,0.14448559469687,0,1,1
"LOC111108901",13.1224307523866,-0.0713792792339053,0.340674978122617,0,1,1
"LOC111130095",33.9420358820191,0.188959435656217,0.251226521173132,0,1,1
"LOC111103224",2.09556628354375,-0.133545118701906,0.308268182264125,0,1,1
"LOC111131060",0.087888588779907,-0.0182776850596107,0.119243524844685,0,1,1
"LOC111131074",0.421478636555221,0.0361650238552708,0.119689605933986,0,1,1
"LOC111131094",0.0297622280717766,0,0.11924070550812,0,1,1
"LOC111136780",216.982690188458,-0.112457203666279,0.175516356426757,0,1,1
"LOC111133372",264.055484675642,-0.0117762014875847,0.160512825827158,0,1,1
"LOC111137104",104.09795845698,-0.305001556863423,0.15789291441009,-0.348347214116078,0.727579439815478,1
"LOC111099747",2.18868799110821,0.297545339901769,0.347472617116264,0.13683190432776,0.891163664811953,1
"LOC111129066",0.276364643737533,0,0.119913079433633,0,1,1
"LOC111115406",7.65002372776508,0.23708589747061,0.361286249229445,0,1,1
"LOC111114430",0.345190831887045,0.0541906101502836,0.208893968788898,0,1,1
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,-0.0689924738188094,0.120117326494155,0,1,1
"LOC111103230",2.05804072545648,-0.19540146757473,0.331589007717183,0,1,1
"LOC111101640",0.407749395226686,-0.00929554397365453,0.243394315226303,0,1,1
"LOC111103163",1.23462369658909,-0.559840736354143,0.271791368465428,-1.13999476180406,0.254288483446154,1
"LOC111103177",0.391585894058088,-0.0766080541389004,0.134163703468437,0,1,1
"LOC111102448",70.6902703541423,0.168087518205884,0.219063497431473,0,1,1
"LOC111129274",0.877841501893046,-0.411567404371685,0.310574639107015,-0.520220855238646,0.602909651139886,1
"LOC111113346",57.1221491854594,-0.118115930872502,0.234711714040186,0,1,1
"LOC111100652",63.9174720913098,-0.342533868310934,0.254854752076567,-0.363084727896827,0.716541592661695,1
"LOC111134791",212.497088041231,-0.156410811744162,0.155588135351018,0,1,1
"LOC111128971",89.8721501382765,0.0912404216856353,0.181699354453876,0,1,1
"LOC111104153",15.5736447049123,0.601212899404795,0.313148992190121,1.12155206679242,0.262052941779748,1
"LOC111134573",0.182068033661436,0,0.119562037617234,0,1,1
"LOC111129318",4.46161664984663,-0.186901567423347,0.254101673604811,0,1,1
"LOC111134552",0.538108435040631,-0.0966861045635497,0.213226644738534,0,1,1
"LOC111134566",0.837233813592116,-0.031181903439126,0.177244614826101,0,1,1
"LOC111121733",56.0712729052945,0.265865800050925,0.218207959759115,0.0727095384991456,0.942037258017902,1
"LOC111109754",0.432628276432001,-0.0939279184827405,0.138110975343814,0,1,1
"LOC111109745",1.143174964358,0.17240423083252,0.304535083043943,0,1,1
"LOC111099207",1.00438594411964,0.101287968166565,0.294015870534923,0,1,1
"LOC111103463",0.0926577796159944,0.0139195021407484,0.119240705508121,0,1,1
"LOC111131721",44.5568009262237,-0.16916877779397,0.247141724437572,0,1,1
"LOC111131752",10.384824168754,0.607169593651489,0.339140589790029,1.05316085542171,0.292267275670254,1
"LOC111131766",8.36563347913288,0.0536124746884931,0.359911489961538,0,1,1
"LOC111131682",197.588183705869,0.211189423164629,0.1132970592716,0,1,1
"LOC111128103",210.00088306687,0.0823560186279786,0.160533905585042,0,1,1
"LOC111100789",0.685846768141425,-0.0549473689457406,0.251679333582741,0,1,1
"LOC111100985",2.75781434646433,0.0519802672897919,0.230940140490357,0,NA,NA
"LOC111103245",0.735756321020352,0.0871355104036022,0.127141489898745,0,1,1
"LOC111112387",129.953376996258,0.568294446188669,0.174232992467678,1.82683223011116,0.067724998309325,1
"LOC111114799",21.0154350886544,0.179038134632833,0.311248676013543,0,1,1
"LOC111129446",63.1428618344625,0.316857176268544,0.175809204407613,0.380282571062294,0.703735671723547,1
"LOC111100566",49.3338079367778,0.190180571283507,0.229273334885483,0,1,1
"LOC111136882",30.3648536857099,0.0989432815872051,0.302009522211916,0,1,1
"LOC111136873",32.857187365605,-0.0790766821658487,0.356883397342167,0,1,1
"LOC111129522",0.642527326156733,-0.16848600278278,0.150768873460249,0,1,1
"LOC111100662",6.11304220177703,-0.25373832072753,0.225745791219488,-0.0165598689895211,NA,NA
"LOC111100672",9.0936178830483,-0.123886962620318,0.203433360183279,0,NA,NA
"LOC111105302",4.1672134534567,-0.294916794901037,0.359708407756592,-0.124870016748209,0.900626455714942,1
"LOC111137770",4.9448652786768,-0.514613377328078,0.359254999775016,-0.736561432669811,0.461389095948218,1
"LOC111119645",0.575530384817611,0,0.169451847485715,0,1,1
"LOC111103288",19.6719909295795,0.567006895492247,0.315911083326958,1.0034687360562,0.315634754126884,1
"LOC111129738",2.95546618891911,-0.0619507099603637,0.35496986218249,0,1,1
"LOC111129748",0.558444881362008,0,0.123248616753476,0,1,1
"LOC111134153",2.35354024177245,0.154516272121561,0.324682681240839,0,1,1
"LOC111133651",119.011901522396,0.0673025821872269,0.143508744786624,0,1,1
"LOC111105807",147.893996760538,0.065972661784821,0.138211213980834,0,1,1
"LOC111129837",17.4259304369805,0.189814501035446,0.26591778560966,0,1,1
"LOC111129861",0.602451917258865,-0.0734587569152355,0.26903075007134,0,1,1
"LOC111129878",1.01540375356474,-0.101481849723036,0.261728707209767,0,1,1
"LOC111104541",0.0869357296471867,-0.0502078828370425,0.119253903051097,0,1,1
"LOC111126076",0.599627735002536,-0.0666506550205711,0.268316041135573,0,1,1
"LOC111126102",17.0883097793281,0.0745283255788763,0.326067836809037,0,1,1
"LOC111129935",12.0361599588046,0.228991588104197,0.362253355150472,0,1,1
"LOC111116034",4.6640293847621,-0.503780400737539,0.356818860194023,-0.711230344157101,0.476941507796186,1
"LOC111111995",9.36965134198502,0.315574523451486,0.349243682967597,0.18776151624071,0.851063604744856,1
"LOC111130149",0.727594994976982,0.160923134301939,0.252058017287439,0,1,1
