"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,-0.0419578953319335,0.230042058219447,0,1,NA
"LOC111109452",1.5973301650215,-0.0928830862125223,0.252987145858155,0,1,NA
"LOC111124802",213.001305426664,0.0667275891886338,0.119254657507088,0,1,1
"LOC111101273",76.7130207987342,-0.202672591422502,0.157699443087282,0,1,1
"LOC111101250",123.474814925949,-0.135011247104774,0.179969953077531,0,1,1
"LOC111101262",269.444399302106,0.143180055711561,0.123475860652079,0,1,1
"LOC111133260",29.4470879831386,-1.4164533372249,0.278494254805113,-4.18842872734007,2.8089249643443e-05,0.019080261212346
"LOC111113503",16.7528215547708,0.372595618627417,0.290175618102772,0.422487662571283,0.672669104054542,1
"LOC111102393",24.8434717066399,-0.106769584371922,0.280639596368666,0,1,1
"LOC111119377",48.5414494330275,0.0971098192418816,0.362163736841577,0,1,1
"LOC111101799",13.248074295177,0.663664884385904,0.333124463482828,1.24177275982983,0.214320415884591,1
"LOC111117743",22.2401913669557,-0.455718781531699,0.241643004264008,-0.851333487424032,NA,NA
"LOC111117672",235.02313851231,0.125843670864227,0.134253640452532,0,1,1
"LOC111114053",30.6913553957081,-0.570570431222728,0.285913882165705,-1.12121324363305,0.262197103746469,1
"LOC111109809",2.62732745230971,-1.29305621446796,0.358586136342472,-2.90880240130583,0.0036281609869364,NA
"LOC111135172",1.5935453832351,-0.454373428000576,0.199917242965074,-1.0222901485105,0.306643594511673,NA
"LOC111114201",510.164024735551,0.0784847373789492,0.124194331953073,0,1,1
"LOC111114212",187.839356573486,-0.357805045000166,0.117152032995477,-0.920214888668025,0.357460475398596,1
"LOC111138315",118.741842645973,0.218793476071017,0.172983689148139,0,1,1
"LOC111138321",124.288929781067,0.343740326085386,0.155584368302857,0.602504783147069,0.546838180254949,1
"LOC111121058",64.6640601186964,-0.17407284321627,0.261324900964896,0,1,1
"LOC111138070",2.69689945309621,-0.151642745061419,0.141902933222086,0,1,NA
"LOC111108878",0.539400869700061,-0.00245022268866109,0.145635241087393,0,1,NA
"LOC111108901",13.1224307523866,0.0502603456344309,0.333212517708346,0,1,1
"LOC111130095",33.9420358820191,0.446770489816199,0.239371180668886,0.822030827881424,0.411059351826441,1
"LOC111103224",2.09556628354375,0.552957632795443,0.319024706195106,0.949636899313255,0.34229678247322,NA
"LOC111131060",0.087888588779907,-0.0495889839960321,0.119415039247219,0,1,NA
"LOC111131074",0.421478636555221,-0.0507312985290615,0.120301252510042,0,1,NA
"LOC111131094",0.0297622280717766,0,0.11924070550812,0,1,NA
"LOC111136780",216.982690188458,0.154848620418242,0.170132833585212,0,1,1
"LOC111133372",264.055484675642,0.0280238888088225,0.156161866025761,0,1,1
"LOC111137104",104.09795845698,-0.0410554570051764,0.147157508958924,0,1,1
"LOC111099747",2.18868799110821,0.297253867348933,0.352486527912779,0.134058647939663,0.893356198570583,NA
"LOC111129066",0.276364643737533,0.0811906347320179,0.120715205820561,0,1,NA
"LOC111115406",7.65002372776508,0.182998587758982,0.361786007073624,0,1,1
"LOC111114430",0.345190831887045,0.157785419102814,0.213578909107985,0,1,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,-0.102542998489343,0.120874462621579,0,1,NA
"LOC111103230",2.05804072545648,-0.0176566054514694,0.33943617281578,0,1,NA
"LOC111101640",0.407749395226686,-0.0927830468160247,0.249489189622437,0,1,NA
"LOC111103163",1.23462369658909,-0.637084933785386,0.279317761092644,-1.38582284302715,0.165801005406377,NA
"LOC111103177",0.391585894058088,-0.0481521399954259,0.135203498372344,0,1,NA
"LOC111102448",70.6902703541423,0.26684818464078,0.210626087066867,0.0799909682385706,0.936244439254309,1
"LOC111129274",0.877841501893046,-0.479005992268885,0.320389709251242,-0.714773245383184,0.474749169789252,NA
"LOC111113346",57.1221491854594,-0.206793835492494,0.226622470783319,0,1,1
"LOC111100652",63.9174720913098,0.411422413713446,0.244188580179769,0.661056358960804,0.5085761710182,1
"LOC111134791",212.497088041231,-0.024598675068391,0.149804505308107,0,1,1
"LOC111128971",89.8721501382765,-0.0402834196850811,0.174532653392683,0,1,1
"LOC111104153",15.5736447049123,-0.377268503602843,0.310719821276738,-0.409592484573082,0.682104910882778,1
"LOC111134573",0.182068033661436,0.0181944681984386,0.120235454162219,0,1,NA
"LOC111129318",4.46161664984663,0.313359830457222,0.2588664214371,0.24475878372127,0.806643209152397,NA
"LOC111134552",0.538108435040631,-0.135242677130143,0.217553866676122,0,1,NA
"LOC111134566",0.837233813592116,-0.0301295553288695,0.179506311663427,0,1,NA
"LOC111121733",56.0712729052945,-0.344885506312428,0.213087377052821,-0.445289193685589,0.656110776237761,1
"LOC111109754",0.432628276432001,-0.106326226279243,0.139292533160299,0,1,NA
"LOC111109745",1.143174964358,-0.0316754325833679,0.311431052166031,0,1,NA
"LOC111099207",1.00438594411964,0.0623792075952518,0.303103041298151,0,1,NA
"LOC111103463",0.0926577796159944,-0.00545700603031602,0.11940404557865,0,1,NA
"LOC111131721",44.5568009262237,0.397335487141832,0.233875506864067,0.629973993931166,0.528711599256175,1
"LOC111131752",10.384824168754,-0.458201851829916,0.337801309589292,-0.61634412277162,0.537667423728208,1
"LOC111131766",8.36563347913288,-0.626653060627679,0.358415173916688,-1.05088480633141,0.293311499368394,1
"LOC111131682",197.588183705869,0.412507077885127,0.10627498213274,1.52911884456638,0.126234984498168,1
"LOC111128103",210.00088306687,0.0891434073544412,0.155451861585539,0,1,1
"LOC111100789",0.685846768141425,0.139463624009761,0.259217652928801,0,1,NA
"LOC111100985",2.75781434646433,0.552874347592478,0.235448080858211,1.28637424645169,NA,NA
"LOC111103245",0.735756321020352,0,0.127905186429614,0,1,NA
"LOC111112387",129.953376996258,0.251171518444377,0.169374578456797,0.00691673127721174,0.99448129090631,1
"LOC111114799",21.0154350886544,0.157343673805109,0.302650420270485,0,1,1
"LOC111129446",63.1428618344625,-0.152194022139975,0.169329595791459,0,1,1
"LOC111100566",49.3338079367778,0.241950696856873,0.219557882454771,0,1,1
"LOC111136882",30.3648536857099,-1.25490123314831,0.301934556221034,-3.32820875399458,0.000874063438071454,0.145133377983776
"LOC111136873",32.857187365605,-0.286795818189183,0.355662681728441,-0.103457067832824,0.917600221501282,1
"LOC111129522",0.642527326156733,-0.195577226887616,0.152168841088424,0,1,NA
"LOC111100662",6.11304220177703,-0.409916211465152,0.227771949117058,-0.702089138215027,NA,NA
"LOC111100672",9.0936178830483,-0.317820945090637,0.204432679065542,-0.331751975274428,NA,NA
"LOC111105302",4.1672134534567,0.0852829372584935,0.351885493517314,0,1,NA
"LOC111137770",4.9448652786768,-0.340374561404956,0.352936109433774,-0.256064933536969,0.797900698443956,NA
"LOC111119645",0.575530384817611,0.199283512269651,0.171822699082815,0,1,NA
"LOC111103288",19.6719909295795,-0.250592540267299,0.312662193876402,-0.0018951452363093,0.99848789378061,1
"LOC111129738",2.95546618891911,-0.281312326974562,0.358052811837221,-0.0874516996917126,0.930312476337413,NA
"LOC111129748",0.558444881362008,-0.0100391222339125,0.12403478816478,0,1,NA
"LOC111134153",2.35354024177245,0.0745050607358586,0.330828849790225,0,1,NA
"LOC111133651",119.011901522396,0.123251211417628,0.135353244017411,0,1,1
"LOC111105807",147.893996760538,0.269716330712671,0.130364352204148,0.151240200095465,0.879786239909042,1
"LOC111129837",17.4259304369805,0.460144320188005,0.247347002668178,0.849593154237323,0.395551319300744,1
"LOC111129861",0.602451917258865,0.109782562474452,0.278384989305194,0,1,NA
"LOC111129878",1.01540375356474,0.285491123994535,0.2701135652015,0.131393341789627,0.89546415548376,NA
"LOC111104541",0.0869357296471867,-0.0815548199841539,0.11942319862021,0,1,NA
"LOC111126076",0.599627735002536,-0.199742721972375,0.275466067214626,0,1,NA
"LOC111126102",17.0883097793281,0.220614917741536,0.316482298125815,0,1,1
"LOC111129935",12.0361599588046,-0.168778630299829,0.362001465612268,0,1,1
"LOC111116034",4.6640293847621,0.0753259587547977,0.360430137796391,0,1,NA
"LOC111111995",9.36965134198502,0.643306261779115,0.340909168496651,1.15369810531505,0.248623960966672,1
"LOC111130149",0.727594994976982,-0.115122909622851,0.257180108651657,0,1,NA
"LOC111134929",11.4084763475861,0.440606636034202,0.291320096409648,0.654285915675982,0.512927618149692,1
"LOC111118727",1.78696015084337,0.0099635694237865,0.356237230725561,0,1,NA
"LOC111103139",21.571576770889,-0.43960075622292,0.275900444640175,-0.687207142671316,0.491952203947526,1
"LOC111119020",9.86638977877676,0.141805225262604,0.361696966340617,0,1,1
"LOC111125333",90.5354509296781,-0.200880727627262,0.134479677665206,0,1,1
"LOC111136966",41.1604750334226,0.279876189546423,0.212060449095384,0.140885250756897,0.887960594115135,1
"LOC111115980",1.05770372119353,0.245316507004263,0.229951032240597,0,1,NA
"LOC111112068",42.2274808153817,-0.0125090854753533,0.188968068441764,0,1,1
"LOC111106561",2.30454750822804,-0.766954933054782,0.348950098823451,-1.48145805029943,0.138484555566599,NA
"LOC111124863",29.4424479220785,-0.0132071008431207,0.353511202935807,0,1,1
"LOC111124850",12.994860068008,0.671462018532047,0.297523871450921,1.41656538844,0.156610033897188,1
"LOC111119716",0.774896372400002,0,0.121619982494613,0,1,NA
"LOC111132898",6.57756899554682,-0.502391289850984,0.336590546177768,-0.749846639238899,0.453347075397117,1
"LOC111101169",5.33252490170818,0.207932066880175,0.357444988982129,0,1,1
"LOC111101176",0.607615269528313,-0.0213844130511179,0.16824401961997,0,1,NA
"LOC111101185",0.874772639328225,0.0868672352115154,0.151122909704786,0,1,NA
"LOC111101139",16.0190104276716,0.289936737450309,0.328211070111264,0.12168004399355,0.903152418368859,1
"LOC111101156",37.3443001645934,-0.276663028536862,0.33930246550559,-0.0785818885728755,0.937365193809202,1
"LOC111104454",0.421989763331835,0.0855211339399531,0.162847661435842,0,1,NA
"LOC111102578",1.19784765512399,-0.279321577570768,0.314431659969509,-0.0932526246676672,0.925702868048492,NA
"LOC111108648",41.8625366083406,-0.0855392625688709,0.173204385426668,0,1,1
"LOC111127270",1.047734569402,0.377528457601299,0.287905792549595,0.442952038137025,0.657800426422671,NA
"LOC111117581",52.1841519838373,-0.206973465166356,0.22625884104124,0,1,1
"LOC111114641",1.39661792802067,-0.270298203540477,0.204660707453457,-0.0991797780484691,0.920995530465507,NA
"LOC111127966",98.4790360405117,-0.20456432656924,0.236744682220911,0,1,1
"LOC111118476",2.56239491333085,0.378263050145369,0.345254514318561,0.371502890841342,0.710263003191437,NA
"LOC111135129",22.3672451901706,-0.216247539923442,0.263256678057113,0,1,1
"LOC111124109",0.491633072077496,-0.0105016252986998,0.121191010165887,0,1,NA
"LOC111118316",19.7645987503201,-0.39705099352931,0.25657885667697,-0.573122023512817,0.566562076361073,1
"LOC111134171",12.062216093459,0.966279045335838,0.304023710916684,2.35599731078912,0.0184730514299027,0.693621307960971
"LOC111111295",13.8345742531559,0.643807950890618,0.326166597485336,1.20738283419204,0.227284743222301,1
"LOC111104675",5.30684755520618,-0.410461689449624,0.360591006324179,-0.444996371610459,0.656322376252252,1
"LOC111104690",0.276986171782067,-0.0148364757969,0.146634360200693,0,1,NA
"LOC111130258",14.7849891202875,-0.406463636095297,0.301298091102031,-0.519298464597016,0.603552623921266,1
"LOC111124761",30.6040609384864,0.274753081519541,0.351119721251959,0.0704975540288107,0.943797647310562,1
"LOC111124729",1.39693300208404,-0.556606829889141,0.319463707900702,-0.959754808782358,0.337178631421789,NA
"LOC111121476",0.334770951538797,0.00302981417733131,0.199495005458398,0,1,NA
"LOC111121537",4.28760140795411,-0.0401311691877571,0.316715815007466,0,1,NA
"LOC111121602",1.51385352854007,0.275729785198035,0.326753958519194,0.0787436067022376,0.937236560008925,NA
"LOC111121643",0.960433213677041,0.219317687539863,0.179010391978892,0,1,NA
"LOC111121500",64.2735803908755,0.0734445922437661,0.188437696256645,0,1,1
"LOC111130637",60.3876230623834,-0.454362087237214,0.246533049217219,-0.828943980882466,0.407136106837492,1
"LOC111130647",62.4111275359501,-0.32917661047932,0.243304682014662,-0.325421647556083,0.744861973972621,1
"LOC111130653",59.5201935172368,-0.218167497021291,0.26724061837,0,1,1
"LOC111130687",88.4125172729791,-0.351319576275536,0.192944159555319,-0.525123831211312,0.59949711042245,1
"LOC111130696",29.6957106354149,-0.26818177269528,0.237486017288995,-0.0765593397995926,0.938974106112782,1
"LOC111121491",88.8099508022549,0.0206312930033005,0.156162228995259,0,1,1
"LOC111111234",6.43479021789778,-0.464423767055164,0.362045697066096,-0.592256084778212,0.553679118211269,1
"LOC111104573",1.11955018684723,-0.108557835501487,0.284705367863089,0,1,NA
"LOC111103358",1.68821494748852,-0.125129907214287,0.315656324204751,0,1,NA
"LOC111103323",27.3587962234258,-0.543562644402665,0.333584737892151,-0.88002420691553,0.378846196130527,1
"LOC111103371",1.83571685438508,-0.70969918305977,0.27094650328183,-1.69664187391858,NA,NA
"LOC111103401",0.952172155678947,0.0295285052267133,0.145648528647674,0,1,NA
"LOC111103364",2.04864002038651,0.0703885662144471,0.354338435679157,0,1,NA
"LOC111099041",1.56321083341127,0.235869160030435,0.349584750547443,0,1,NA
"LOC111127424",5.15335283398228,0.324067526618077,0.291801220850051,0.25382870709831,0.799627894525657,NA
"LOC111127416",0.370505969491588,-0.254479530714291,0.193715037167368,-0.0231243313879702,0.981551097232722,NA
"LOC111137796",26.5770944675696,-0.11081954045298,0.312142904552636,0,1,1
"LOC111137514",0.477611819811378,-0.0341778586996754,0.228030484631298,0,1,NA
"LOC111105370",1.11723805775988,0.25294763890586,0.212500732021839,0.0138711941263184,0.988932743276376,NA
"LOC111105035",15.4411286026813,0.16800122282999,0.294211350621526,0,1,1
"LOC111131375",5.50407859200914,-0.285881735498807,0.361791297254986,-0.0991779950790732,0.920996946089751,1
"LOC111134598",0.347167361637335,-0.100136253322854,0.18271873637019,0,1,NA
"LOC111135077",0.428357045983274,-0.140359009770055,0.234496086136985,0,1,NA
"LOC111125571",24.7621516448727,-0.141933563392025,0.334802692031321,0,1,1
"LOC111125589",22.3268556320909,0.785173639136667,0.296583660326047,1.80446096911855,0.0711590725871744,1
"LOC111099659",4.97527639450135,-0.441410048841059,0.361440589663257,-0.529575411049958,0.596406346473792,NA
"LOC111128222",73.1537358773545,0.681192945024651,0.358940284845041,1.20129437466403,0.229637031770738,1
"LOC111128188",9.15166865601885,-0.237474098323227,0.360978400504708,0,1,1
"LOC111128242",1.9423138737852,0.443017191918773,0.307748841139797,0.627190637676824,0.530534279489531,NA
