"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,-0.199304826231572,0.225761329529825,0,1,1
"LOC111109452",1.5973301650215,0.238407550623521,0.253937775316001,0,1,1
"LOC111124802",213.001305426664,-0.00996271043340662,0.119971551441081,0,1,1
"LOC111101273",76.7130207987342,-0.266470970568529,0.159531009272454,-0.103246200495099,0.917767573114929,1
"LOC111101250",123.474814925949,-0.179471845227342,0.180452999341655,0,1,1
"LOC111101262",269.444399302106,0.0712134845103869,0.123907350028256,0,1,1
"LOC111133260",29.4470879831386,0.169280602890404,0.266123770898736,0,1,1
"LOC111113503",16.7528215547708,-0.099704959071781,0.295642534100353,0,1,1
"LOC111102393",24.8434717066399,-0.260340931123434,0.282545265910881,-0.0365992015123556,0.970804580206057,1
"LOC111119377",48.5414494330275,0.41669926226985,0.3621477131925,0.46030737237112,0.645295610181272,1
"LOC111101799",13.248074295177,-0.241531884522649,0.337464684433452,0,1,1
"LOC111117743",22.2401913669557,-0.469125209515529,0.241649474712987,-0.906789513098626,NA,NA
"LOC111117672",235.02313851231,-0.148653585537293,0.135271811436096,0,1,1
"LOC111114053",30.6913553957081,-0.322518109046764,0.285269443366359,-0.254209172181234,0.799333964938949,1
"LOC111109809",2.62732745230971,0.487684152220668,0.360977149914116,0.658446531247803,0.510251243959273,1
"LOC111135172",1.5935453832351,-0.450825389396243,0.199814806301812,-1.00505759864914,0.314869115660379,1
"LOC111114201",510.164024735551,-0.0267132176412843,0.124403321564634,0,1,1
"LOC111114212",187.839356573486,0.096528894026999,0.115984827071646,0,1,1
"LOC111138315",118.741842645973,0.165959175932298,0.173531904563882,0,1,1
"LOC111138321",124.288929781067,0.0570143474527154,0.157200782332522,0,1,1
"LOC111121058",64.6640601186964,-0.198388927764664,0.26158574740584,0,1,1
"LOC111138070",2.69689945309621,-0.148357392198457,0.141915740693204,0,1,1
"LOC111108878",0.539400869700061,-0.0135440053778944,0.145011389771089,0,1,1
"LOC111108901",13.1224307523866,-0.192297655345726,0.33497801078655,0,1,1
"LOC111130095",33.9420358820191,0.00415721739794849,0.243284041421607,0,1,1
"LOC111103224",2.09556628354375,-0.0249985872554587,0.315462227988923,0,1,1
"LOC111131060",0.087888588779907,-0.0127076286310805,0.119243524844685,0,1,1
"LOC111131074",0.421478636555221,-0.0535442837543876,0.11977049897241,0,1,1
"LOC111131094",0.0297622280717766,-0.0126672683321593,0.11924070550812,0,1,1
"LOC111136780",216.982690188458,-0.166186277406345,0.17091567665662,0,1,1
"LOC111133372",264.055484675642,-0.238610375405941,0.156824370789126,0,1,1
"LOC111137104",104.09795845698,0.0394419274529496,0.147636775902393,0,1,1
"LOC111099747",2.18868799110821,-0.317153059189299,0.348810752909878,-0.192520037381558,0.847334873914644,1
"LOC111129066",0.276364643737533,0,0.120100183994801,0,1,1
"LOC111115406",7.65002372776508,-0.0393747025663393,0.361755937773058,0,1,1
"LOC111114430",0.345190831887045,0.0231772309184928,0.210423246262963,0,1,1
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,-0.0920217303675796,0.120389685987163,0,1,1
"LOC111103230",2.05804072545648,-0.098938714644448,0.338170734925769,0,1,1
"LOC111101640",0.407749395226686,-0.186429752527626,0.244871891367808,0,1,1
"LOC111103163",1.23462369658909,-0.419177417999625,0.278579661153185,-0.607285604768533,0.543661389900116,1
"LOC111103177",0.391585894058088,-0.106905457659718,0.13438547600298,0,1,1
"LOC111102448",70.6902703541423,0.3576815676093,0.210670015810613,0.511138555693201,0.609254039881314,1
"LOC111129274",0.877841501893046,-0.286719671977208,0.319187845714543,-0.115040946797353,0.908412666626464,1
"LOC111113346",57.1221491854594,0.0235865639949964,0.226058317035772,0,1,1
"LOC111100652",63.9174720913098,-0.298256128844459,0.246971434042834,-0.195391540043818,0.845086439043855,1
"LOC111134791",212.497088041231,-0.0706843156753421,0.150105033079942,0,1,1
"LOC111128971",89.8721501382765,-0.142883663589513,0.1757558168975,0,1,1
"LOC111104153",15.5736447049123,0.993526357866738,0.302428146986338,2.4585223474597,0.0139510093538846,1
"LOC111134573",0.182068033661436,0.013225901250928,0.119703301102035,0,1,1
"LOC111129318",4.46161664984663,-0.0426509215974455,0.258339836731542,0,1,1
"LOC111134552",0.538108435040631,0.177421651731353,0.216898111640661,0,1,1
"LOC111134566",0.837233813592116,0.0501224110053103,0.179275484808062,0,1,1
"LOC111121733",56.0712729052945,0.148314256898309,0.211083446954896,0,1,1
"LOC111109754",0.432628276432001,-0.06835892689823,0.138603786809097,0,1,1
"LOC111109745",1.143174964358,-0.0499029228744603,0.309291806521882,0,1,1
"LOC111099207",1.00438594411964,-0.0196831248743146,0.299551145139788,0,1,1
"LOC111103463",0.0926577796159944,0,0.119240705508121,0,1,1
"LOC111131721",44.5568009262237,-0.00553419170961563,0.236662835908317,0,1,1
"LOC111131752",10.384824168754,0.388041363438263,0.3338477382225,0.4134859926661,0.67925058292277,1
"LOC111131766",8.36563347913288,0.424762236151137,0.356278995836306,0.490520738504138,0.623765458410289,1
"LOC111131682",197.588183705869,0.108090768830198,0.108182136814604,0,1,1
"LOC111128103",210.00088306687,0.0590962871969238,0.155687857197937,0,1,1
"LOC111100789",0.685846768141425,0.117285810100501,0.257544900616111,0,1,1
"LOC111100985",2.75781434646433,0.0557352539277005,0.234419041161729,0,NA,NA
"LOC111103245",0.735756321020352,0.0569428275152741,0.127829603468845,0,1,1
"LOC111112387",129.953376996258,0.443363735254984,0.169050126728379,1.14382484649461,0.252696283381781,1
"LOC111114799",21.0154350886544,-0.105718712737177,0.305073457615272,0,1,1
"LOC111129446",63.1428618344625,0.208707029841197,0.16837176412454,0,1,1
"LOC111100566",49.3338079367778,0.184450051758443,0.22070185481482,0,1,1
"LOC111136882",30.3648536857099,-0.213127346366942,0.297043728120529,0,1,1
"LOC111136873",32.857187365605,-0.143822663432007,0.355573022068135,0,1,1
"LOC111129522",0.642527326156733,-0.184290467542706,0.15175797455251,0,1,1
"LOC111100662",6.11304220177703,-0.395811531997547,0.227798424554994,-0.640090168676059,NA,NA
"LOC111100672",9.0936178830483,-0.326759373681426,0.204441543084477,-0.37545878652319,NA,NA
"LOC111105302",4.1672134534567,-0.573093927526309,0.357163035264439,-0.904611887641437,0.365671035327692,1
"LOC111137770",4.9448652786768,-0.953565328109843,0.35754196594511,-1.96778391104404,0.0490929061479796,1
"LOC111119645",0.575530384817611,0.010336018312329,0.170808907491792,0,1,1
"LOC111103288",19.6719909295795,-0.111278175892863,0.312815591142936,0,1,1
"LOC111129738",2.95546618891911,0.260531503428132,0.358610828664238,0.029367499769485,0.976571493045746,1
"LOC111129748",0.558444881362008,0.112779135610973,0.123883756843163,0,1,1
"LOC111134153",2.35354024177245,0.0328568150377922,0.329954233166995,0,1,1
"LOC111133651",119.011901522396,-0.213933524009911,0.13821610784877,0,1,1
"LOC111105807",147.893996760538,-0.0391842020959844,0.132334179703448,0,1,1
"LOC111129837",17.4259304369805,0.384930432680017,0.251175351125779,0.537196154301181,0.591132127408718,1
"LOC111129861",0.602451917258865,-0.237662875819272,0.272225370721139,0,1,1
"LOC111129878",1.01540375356474,-0.0380996457405392,0.267510104937199,0,1,1
"LOC111104541",0.0869357296471867,-0.0767946533099502,0.119253903051097,0,1,1
"LOC111126076",0.599627735002536,-0.286899474328002,0.271360828392364,-0.135979369412335,0.891837590286951,1
"LOC111126102",17.0883097793281,0.351502792555723,0.316558760693094,0.320644395793963,0.748479889595111,1
"LOC111129935",12.0361599588046,-0.185684688680501,0.362028417584365,0,1,1
"LOC111116034",4.6640293847621,-0.438853613999956,0.359760790466707,-0.524942181039132,0.599623385353729,1
"LOC111111995",9.36965134198502,0.0318329721839244,0.344877532167754,0,1,1
"LOC111130149",0.727594994976982,0.127320650671388,0.256841761188966,0,1,1
