"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,0.0157486972701218,0.229365292466963,0,1,NA
"LOC111109452",1.5973301650215,-0.0211091748235395,0.254329492783673,0,1,NA
"LOC111124802",213.001305426664,0.0299004227150487,0.118143226171795,0,1,1
"LOC111101273",76.7130207987342,0.0488343549615656,0.158854462295951,0,1,1
"LOC111101250",123.474814925949,-0.21553529395226,0.178860613324382,0,1,1
"LOC111101262",269.444399302106,-0.0204979887118719,0.12201252322905,0,1,1
"LOC111133260",29.4470879831386,-2.05778379053297,0.2714630011645,-6.65941134805879,2.74926474554142e-11,1.1300020287413e-07
"LOC111113503",16.7528215547708,-0.245502180492226,0.280511314629928,0,1,1
"LOC111102393",24.8434717066399,0.101001759944925,0.281392791751249,0,1,1
"LOC111119377",48.5414494330275,-0.264533307089163,0.362140481528481,-0.0401316832291787,0.967988142576455,1
"LOC111101799",13.248074295177,1.00561631451175,0.334677830017023,2.25774236217953,0.0239617265125985,0.270997194535618
"LOC111117743",22.2401913669557,-0.297787001957053,0.241460426176845,-0.197908215079742,NA,NA
"LOC111117672",235.02313851231,0.16001598820064,0.133872228686953,0,1,1
"LOC111114053",30.6913553957081,-0.961740349753733,0.282203042357962,-2.52208602645368,0.0116661174192733,0.176896806478325
"LOC111109809",2.62732745230971,-1.17790562133332,0.358905194729405,-2.58537807465537,0.00972722693288545,NA
"LOC111135172",1.5935453832351,-0.0356817702825692,0.199798195690007,0,1,NA
"LOC111114201",510.164024735551,-0.203916025650004,0.123195566035441,0,1,1
"LOC111114212",187.839356573486,-0.504270026116881,0.115154940050397,-2.20806876375082,0.0272394800641972,0.293977627244135
"LOC111138315",118.741842645973,-0.0864905799571966,0.169892397284341,0,1,1
"LOC111138321",124.288929781067,0.33252497108269,0.154360065454027,0.534626432296175,0.592908202132502,1
"LOC111121058",64.6640601186964,-0.0218088863018975,0.261884749267991,0,1,1
"LOC111138070",2.69689945309621,-0.0890353662167054,0.142104695606675,0,1,NA
"LOC111108878",0.539400869700061,-0.145522392455231,0.145840787223694,0,1,NA
"LOC111108901",13.1224307523866,0.121639624868652,0.33275946639115,0,1,1
"LOC111130095",33.9420358820191,0.257811054160753,0.235216556693785,0.0332079266466001,0.973508777060257,1
"LOC111103224",2.09556628354375,0.686502751505041,0.320293209046344,1.36282237392639,0.172938497964942,NA
"LOC111131060",0.087888588779907,0,0.119412215862663,0,1,NA
"LOC111131074",0.421478636555221,-0.0868963223844241,0.120235431309361,0,1,NA
"LOC111131094",0.0297622280717766,0,0.119240705508244,0,1,NA
"LOC111136780",216.982690188458,0.267305824084269,0.170436527895889,0.101538234191444,0.919123207886349,1
"LOC111133372",264.055484675642,0.0398000902957909,0.15601627689099,0,1,1
"LOC111137104",104.09795845698,0.263946099858946,0.148757772956754,0.0937503942264611,0.9253074377214,1
"LOC111099747",2.18868799110821,-0.000291472549201495,0.355775984070505,0,1,NA
"LOC111129066",0.276364643737533,0.0849749653672392,0.120636715999527,0,1,NA
"LOC111115406",7.65002372776508,-0.0540873097107609,0.362056589704628,0,1,1
"LOC111114430",0.345190831887045,0.103594808964324,0.213325064190169,0,1,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,-0.0335505246705693,0.120776749362362,0,1,NA
"LOC111103230",2.05804072545648,0.177744862126726,0.340047402153549,0,1,NA
"LOC111101640",0.407749395226686,-0.0834875028490477,0.249342053724218,0,1,NA
"LOC111103163",1.23462369658909,-0.0772441974350032,0.276946182169762,0,1,NA
"LOC111103177",0.391585894058088,0.0284559141432003,0.13503372502663,0,1,NA
"LOC111102448",70.6902703541423,0.0987606664348464,0.207961396260706,0,1,1
"LOC111129274",0.877841501893046,-0.0674385879023796,0.318006768830157,0,1,NA
"LOC111113346",57.1221491854594,-0.0886779046202407,0.226639002299368,0,1,1
"LOC111100652",63.9174720913098,0.75395628202283,0.246137232808787,2.04746058234242,0.0406128833084621,0.371688767469793
"LOC111134791",212.497088041231,0.131812136675597,0.150203910118574,0,1,1
"LOC111128971",89.8721501382765,-0.13152384137107,0.172602549402042,0,1,1
