"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,-0.157346930917885,0.230538551203173,0,1,NA
"LOC111109452",1.5973301650215,0.331290636830857,0.260034171742752,0.31261520855527,0.754573022123257,NA
"LOC111124802",213.001305426664,-0.0766902996220238,0.1125398338767,0,1,1
"LOC111101273",76.7130207987342,-0.0637983791450984,0.149536221161442,0,1,1
"LOC111101250",123.474814925949,-0.0444605981225022,0.173733851955212,0,1,1
"LOC111101262",269.444399302106,-0.0719665712012969,0.117402150380039,0,1,1
"LOC111133260",29.4470879831386,1.58573394011993,0.266611163095145,5.01004505817802,5.44172931752685e-07,0.000203452654859035
"LOC111113503",16.7528215547708,-0.472300577702806,0.277260112605709,-0.801776265664794,0.422682390253283,1
"LOC111102393",24.8434717066399,-0.153571346751813,0.271859343338474,0,1,1
"LOC111119377",48.5414494330275,0.31958944302813,0.362022894609632,0.192223873308256,0.84756684639876,1
"LOC111101799",13.248074295177,-0.905196768910436,0.326156047193425,-2.00884446125837,0.0445536314067417,0.623681333249131
"LOC111117743",22.2401913669557,-0.0134064279838477,0.242120669265942,0,NA,NA
"LOC111117672",235.02313851231,-0.274497256401545,0.128873225251316,-0.190088021416186,0.849240156474356,1
"LOC111114053",30.6913553957081,0.248052322176088,0.278904590576998,0,1,1
"LOC111109809",2.62732745230971,1.78074036675261,0.360740268021811,4.24333101249472,2.2022622333214e-05,0.00387468608227313
"LOC111135172",1.5935453832351,0.00354803860385458,0.202232265374077,0,1,NA
"LOC111114201",510.164024735551,-0.105197955020199,0.120689566749752,0,1,1
"LOC111114212",187.839356573486,0.454333939027476,0.10956425129756,1.86496906251417,0.0621857408214755,0.739976120043355
"LOC111138315",118.741842645973,-0.052834300138755,0.163992851678821,0,1,1
"LOC111138321",124.288929781067,-0.286725978632747,0.146641370613819,-0.25044759523876,0.802241226395282,1
"LOC111121058",64.6640601186964,-0.02431608454844,0.255674263782707,0,1,1
"LOC111138070",2.69689945309621,0.00328535286296557,0.142941296515995,0,1,1
"LOC111108878",0.539400869700061,-0.0110937826889377,0.146371492573752,0,1,NA
"LOC111108901",13.1224307523866,-0.242558000980728,0.326239942162964,0,1,1
"LOC111130095",33.9420358820191,-0.442613272420755,0.22627362682438,-0.851240487563537,0.394635776307061,1
"LOC111103224",2.09556628354375,-0.57795622005685,0.327598300664567,-1.00109255570483,0.31678206370703,NA
"LOC111131060",0.087888588779907,0.0368813553649905,0.119412215862663,0,1,NA
"LOC111131074",0.421478636555221,0,0.120316692586865,0,1,NA
"LOC111131094",0.0297622280717766,0.0234151386790915,0.119240705508244,0,1,NA
"LOC111136780",216.982690188458,-0.321034897824345,0.165654442646761,-0.428813720232177,0.668058793287661,1
"LOC111133372",264.055484675642,-0.266634264214537,0.152193786963238,-0.109296604982667,0.912967239296453,1
"LOC111137104",104.09795845698,0.0804973844579229,0.137679136769791,0,1,1
"LOC111099747",2.18868799110821,-0.614406926556445,0.356967541823304,-1.02084050750145,0.307330009247541,NA
"LOC111129066",0.276364643737533,-0.108371784155673,0.120824947614094,0,1,NA
"LOC111115406",7.65002372776508,-0.222373290323671,0.362213723612114,0,1,1
"LOC111114430",0.345190831887045,-0.134608188199424,0.214885882392546,0,1,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,0.0105212681217748,0.12105060129924,0,1,NA
"LOC111103230",2.05804072545648,-0.0812821091947798,0.346509123538003,0,1,NA
"LOC111101640",0.407749395226686,-0.0936467057208017,0.25085325607115,0,1,NA
"LOC111103163",1.23462369658909,0.217907515793023,0.283842723139724,0,1,NA
"LOC111103177",0.391585894058088,-0.0587533176637195,0.135256931411961,0,1,NA
"LOC111102448",70.6902703541423,0.0908333829685423,0.198861671289554,0,1,1
"LOC111129274",0.877841501893046,0.192286320302462,0.326698710473921,0,1,NA
"LOC111113346",57.1221491854594,0.230380399487581,0.2174600893632,0,1,1
"LOC111100652",63.9174720913098,-0.709678542556958,0.237720665712893,-1.9336919706936,0.0531510116431283,0.677448902661634
"LOC111134791",212.497088041231,-0.0460856406069074,0.144473450778629,0,1,1
"LOC111128971",89.8721501382765,-0.102600243904258,0.166234306812672,0,1,1
"LOC111104153",15.5736447049123,1.37079486147659,0.290240569299364,3.86160647418162,0.000112643901968183,0.0142359680614156
"LOC111134573",0.182068033661436,-0.00496856694751581,0.120282552032728,0,1,NA
"LOC111129318",4.46161664984663,-0.356010752037847,0.262524748297185,-0.403812412831421,0.686350667916828,1
"LOC111134552",0.538108435040631,0.312664328879664,0.220834968683329,0.283760897349203,0.776593622618466,NA
"LOC111134566",0.837233813592116,0.0802519663312555,0.18194130604906,0,1,NA
"LOC111121733",56.0712729052945,0.493199763211269,0.201652867835308,1.20603176052965,0.227805244473614,1
"LOC111109754",0.432628276432001,0.0379672993802498,0.139622689605265,0,1,NA
"LOC111109745",1.143174964358,-0.0182274902944209,0.31985507805179,0,1,NA
"LOC111099207",1.00438594411964,-0.0820623324736908,0.310909681424947,0,1,NA
"LOC111103463",0.0926577796159944,-0.0232886757525864,0.119404045578774,0,1,NA
"LOC111131721",44.5568009262237,-0.402869678852417,0.222693330310433,-0.686458272635816,0.492424168792567,1
"LOC111131752",10.384824168754,0.846243215273647,0.325771521198781,1.83024965804125,0.0672126153691154,0.769820877135523
"LOC111131766",8.36563347913288,1.05141529678041,0.353663149133044,2.2660412846093,0.0234488556382617,0.439499706221473
"LOC111131682",197.588183705869,-0.30441630905508,0.0977289668867407,-0.556808393545625,0.577658348484146,1
"LOC111128103",210.00088306687,-0.0300471201574539,0.149495975718909,0,1,1
"LOC111100789",0.685846768141425,-0.0221778139104692,0.265950525314134,0,1,NA
"LOC111100985",2.75781434646433,-0.497139093635883,0.240291346492922,-1.02849768517637,NA,NA
"LOC111103245",0.735756321020352,0.0711738682333409,0.128820077373119,0,1,NA
"LOC111112387",129.953376996258,0.192192216810616,0.158736315463403,0,1,1
"LOC111114799",21.0154350886544,-0.263062386542418,0.292620422712087,-0.044639353676521,0.964394774211934,1
"LOC111129446",63.1428618344625,0.36090105198135,0.155602307053983,0.712721129146727,0.476018339110568,1
"LOC111100566",49.3338079367778,-0.0575006450987296,0.206442843512844,0,1,1
"LOC111136882",30.3648536857099,1.04177388678002,0.295722484432297,2.67742200360586,0.00741911240449202,0.242962392720828
"LOC111136873",32.857187365605,0.142973154755221,0.354387595936123,0,1,1
"LOC111129522",0.642527326156733,0.0112867593442495,0.153260530240717,0,1,NA
"LOC111100662",6.11304220177703,0.0141046794676227,0.229213240586482,0,NA,NA
"LOC111100672",9.0936178830483,-0.00893842859080052,0.205223181640331,0,NA,NA
"LOC111105302",4.1672134534567,-0.65837686479564,0.349086249821537,-1.16984517437858,0.242063280508957,1
"LOC111137770",4.9448652786768,-0.613190766717637,0.352625876175656,-1.02996062188221,0.303028491124046,1
"LOC111119645",0.575530384817611,-0.188947493956585,0.173384047206183,0,1,NA
