"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.345611761382406,-0.141598233632465,0.225096654333904,0,1,1
"LOC111109452",1.5973301650215,0.310181462011624,0.255284763810745,0.235742474847576,0.813632508450465,1
"LOC111124802",213.001305426664,-0.0467898769064563,0.118867624987152,0,1,1
"LOC111101273",76.7130207987342,-0.0149640241838482,0.16066983075324,0,1,1
"LOC111101250",123.474814925949,-0.2599958920751,0.179347589903966,-0.0557347443612309,0.955553120511839,1
"LOC111101262",269.444399302106,-0.0924645599132109,0.122449833549136,0,1,1
"LOC111133260",29.4470879831386,-0.472049850411754,0.258355133605186,-0.859475278517543,0.390078353393194,1
"LOC111113503",16.7528215547708,-0.717802758189884,0.286447993395771,-1.63311584991117,0.102444633681992,1
"LOC111102393",24.8434717066399,-0.0525695868064708,0.283286558412269,0,1,1
"LOC111119377",48.5414494330275,0.0550561359389428,0.3621234242713,0,1,1
"LOC111101799",13.248074295177,0.100419545600414,0.338905964663477,0,1,1
"LOC111117743",22.2401913669557,-0.31119342994056,0.241466892022174,-0.253423686485932,NA,NA
"LOC111117672",235.02313851231,-0.11448126820108,0.134893729676293,0,1,1
"LOC111114053",30.6913553957081,-0.713688027577227,0.281537971820301,-1.64698219774485,0.0995617050316812,1
"LOC111109809",2.62732745230971,0.602834745400017,0.361162032642479,0.976943071281513,0.328597336858957,1
"LOC111135172",1.5935453832351,-0.0321337316821842,0.199695818862245,0,1,1
"LOC111114201",510.164024735551,-0.309113980670009,0.123406468052616,-0.479018495568687,0.631925470851827,1
"LOC111114212",187.839356573486,-0.0499360870896466,0.113964961092245,0,1,1
"LOC111138315",118.741842645973,-0.139324880095894,0.17045337190331,0,1,1
"LOC111138321",124.288929781067,0.0457989924498614,0.155991967366594,0,1,1
"LOC111121058",64.6640601186964,-0.046124970849426,0.262144487227279,0,1,1
"LOC111138070",2.69689945309621,-0.0857500133536477,0.142117521221843,0,1,1
"LOC111108878",0.539400869700061,-0.156616175149964,0.145216058998835,0,1,1
"LOC111108901",13.1224307523866,-0.12091837611182,0.33453787010106,0,1,1
"LOC111130095",33.9420358820191,-0.184802218258268,0.239246332151352,0,1,1
"LOC111103224",2.09556628354375,0.108546531446447,0.316724980321131,0,1,1
"LOC111131060",0.087888588779907,0.00557005642853021,0.11924070550812,0,1,1
"LOC111131074",0.421478636555221,-0.0897093076096584,0.119704967649865,0,1,1
"LOC111131094",0.0297622280717766,-0.0105083570221888,0.119240705508121,0,1,1
"LOC111136780",216.982690188458,-0.0537290737400667,0.171217600217579,0,1,1
"LOC111133372",264.055484675642,-0.226834173918356,0.15667953443121,0,1,1
"LOC111137104",104.09795845698,0.344443484316373,0.149230899625532,0.632868156349399,0.52681974412327,1
"LOC111099747",2.18868799110821,-0.614698399091068,0.3522713009475,-1.03527706659652,0.300539536780649,1
"LOC111129066",0.276364643737533,0,0.120022093353902,0,1,1
"LOC111115406",7.65002372776508,-0.27646060003695,0.362046385295856,-0.0730862152244021,0.941737510978145,1
"LOC111114430",0.345190831887045,-0.0310133792317907,0.210173053164122,0,1,1
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.344330282089771,-0.0230292565487702,0.120292363916748,0,1,1
