"","ID","Description","enrichmentScore","p.adjust","GeneralPathway","DetailedPathway"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.784798918259041,0.0707423277910405,"Metabolism","Lipid metabolism"
"cvn00310","cvn00310","Lysine degradation",-0.521636867887962,0.663711464839815,"Metabolism","Amino acid metabolism"
"cvn00591","cvn00591","Linoleic acid metabolism",0.615816014373654,0.663711464839815,"Metabolism","Lipid metabolism"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",0.544417283392528,0.663711464839815,"Metabolism","Lipid metabolism"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",-0.421189025197027,0.663711464839815,"Genetic Information Processing","Translation"
"cvn04068","cvn04068","FoxO signaling pathway",-0.408643284792337,0.663711464839815,"Environmental Information Processing","Signal transduction"
"cvn04146","cvn04146","Peroxisome",0.336659755428249,0.663711464839815,"Cellular Processes","Transport and catabolism"
"cvn00270","cvn00270","Cysteine and methionine metabolism",-0.434356500676735,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn00500","cvn00500","Starch and sucrose metabolism",-0.512145952298967,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn04980","cvn04980","Cobalamin transport and metabolism",0.523750596726277,0.708196976780427,"Organismal Systems","Digestive system"
"cvn03030","cvn03030","DNA replication",-0.440720496568631,0.708196976780427,"Genetic Information Processing","Replication and repair"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",-0.449381941568018,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",-0.576550578036736,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03050","cvn03050","Proteasome",0.413570144399486,0.708196976780427,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00100","cvn00100","Steroid biosynthesis",-0.574720458072546,0.708196976780427,"Metabolism","Lipid metabolism"
"cvn04148","cvn04148","Efferocytosis",-0.356614622055715,0.708196976780427,"Cellular Processes","Transport and catabolism"
"cvn04150","cvn04150","mTOR signaling pathway",-0.364676018892489,0.708196976780427,"Environmental Information Processing","Signal transduction"
"cvn03430","cvn03430","Mismatch repair",-0.475307603468653,0.708196976780427,"Genetic Information Processing","Replication and repair"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",-0.534123839763914,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",-0.391108888541273,0.708196976780427,"Genetic Information Processing","Translation"
"cvn00051","cvn00051","Fructose and mannose metabolism",-0.429768199659937,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",-0.503516865092294,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",-0.33538616141803,0.708196976780427,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",-0.516251191882448,0.708196976780427,"Metabolism","Metabolism of other amino acids"
"cvn03040","cvn03040","Spliceosome",-0.347006829749803,0.708196976780427,"Genetic Information Processing","Transcription"
"cvn00380","cvn00380","Tryptophan metabolism",-0.41042180414443,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn00330","cvn00330","Arginine and proline metabolism",-0.372867340576944,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn02010","cvn02010","ABC transporters",-0.387391861989293,0.708196976780427,"Environmental Information Processing","Membrane transport"
"cvn03460","cvn03460","Fanconi anemia pathway",-0.379359882777549,0.708196976780427,"Genetic Information Processing","Replication and repair"
"cvn03420","cvn03420","Nucleotide excision repair",-0.368278339118835,0.708196976780427,"Genetic Information Processing","Replication and repair"
"cvn00220","cvn00220","Arginine biosynthesis",-0.481314564937852,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn04136","cvn04136","Autophagy",0.388466955653288,0.708196976780427,"Cellular Processes","Transport and catabolism"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",0.306804640929037,0.708196976780427,"Genetic Information Processing","Chromosome"
"cvn00350","cvn00350","Tyrosine metabolism",-0.493657369931823,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",0.434229264033118,0.708196976780427,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn03250","cvn03250","Viral life cycle",0.366883534234945,0.708196976780427,"Genetic Information Processing","Information processing in viruses"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",-0.392850474565065,0.708196976780427,"NA","NA"
"cvn03015","cvn03015","mRNA surveillance pathway",0.302921390780529,0.708196976780427,"Genetic Information Processing","Translation"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",-0.36765836157426,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00910","cvn00910","Nitrogen metabolism",-0.498549560280155,0.708196976780427,"Metabolism","Energy metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",0.361087702296172,0.708196976780427,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03060","cvn03060","Protein export",-0.440632359885226,0.708196976780427,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00562","cvn00562","Inositol phosphate metabolism",-0.348092468263565,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",-0.447021776397054,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03022","cvn03022","Basal transcription factors",-0.386063586687409,0.708196976780427,"Genetic Information Processing","Transcription"
