"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.406173860320378,-0.104907212793157,0.231855699790335,0,1,1
"LOC111109452",1.86564313964656,-0.0733233934053492,0.252169674919656,0,1,1
"LOC111124802",240.629966780346,0.0817818943828856,0.121862362083908,0,1,1
"LOC111101273",86.2934472457917,-0.233509980348075,0.169158445841492,0,1,1
"LOC111101250",141.48529904017,0.185717159531334,0.171922662858294,0,1,1
"LOC111101262",298.062798550549,0.158075864924011,0.13185832273778,0,1,1
"LOC111133260",30.5070275563994,0.580326239906832,0.2785705923466,1.18579006177306,0.23570521721704,1
"LOC111113503",19.1860582683141,0.691300363783431,0.297645349695434,1.48263819419652,0.138170563708744,1
"LOC111102393",28.6277575944762,-0.139825147625321,0.29254589780273,0,1,1
"LOC111119377",53.3394620052316,0.342777077547244,0.368338032564743,0.251880254942005,0.801133621914633,1
"LOC111101799",13.7965689167796,-0.581690055695967,0.341835155623321,-0.970321660132192,0.331886183940742,1
"LOC111117743",16.5497298674833,-0.907611503047604,0.267702706548173,-2.45649926938361,NA,NA
"LOC111117672",252.944933786525,-0.142002012394496,0.118052047037513,0,1,1
"LOC111114053",35.9038470345196,0.551849576069322,0.270672180642309,1.11518507499747,0.264771120459691,1
"LOC111109809",3.06882914546693,-0.0898394108058471,0.367004531411983,0,1,1
"LOC111135172",1.85991284302368,-0.45889758467468,0.199616412789526,-1.0464950339276,0.295332536547546,1
"LOC111114201",548.921070406464,0.192798952557184,0.116923004741423,0,1,1
"LOC111114212",207.235794879644,0.145566773072592,0.124417327964681,0,1,1
"LOC111138315",133.908536896481,0.354266518808892,0.180981279980654,0.576117700239701,0.564535628248453,1
"LOC111138321",138.140847824011,0.000983101040625693,0.168114168110509,0,1,1
"LOC111121058",69.1859487178712,-0.283791994786891,0.270344057400742,-0.124996255186034,0.900526515017465,1
"LOC111138070",2.69353861120293,-0.0616690748947234,0.123471600545588,0,1,1
"LOC111108878",0.629548837190816,0.156936066008033,0.148112251379062,0,1,1
"LOC111108901",14.504988769645,-0.0840069352203812,0.348322414207566,0,1,1
"LOC111130095",38.4622516384064,0.226763719758403,0.252787448480378,0,1,1
"LOC111103224",2.02255609908252,-0.297612054792446,0.324376271466652,-0.146780325753085,0.883305414247086,1
"LOC111131060",0.102878499641866,-0.0355607627625966,0.119781596895985,0,1,1
"LOC111131074",0.495197744657769,0.024238979281296,0.120075573397625,0,1,1
"LOC111131094",0.0347652635590691,0,0.119781480427549,0,1,1
"LOC111136780",241.905934393851,-0.113244260116863,0.183117155263349,0,1,1
"LOC111133372",286.984524941705,-0.0936835527620381,0.158837681994685,0,1,1
"LOC111137104",114.00156886013,-0.353573980578808,0.156019270643925,-0.663853767238727,0.506783909065954,1
"LOC111099747",2.56423146018981,0.336149745333769,0.355265286631238,0.242494126433445,0.808397307497148,1
"LOC111129066",0.326762857998768,0,0.120467679381215,0,1,1
"LOC111115406",8.52197240631486,0.248066078117807,0.367310899595825,0,1,1
"LOC111114430",0.405686859916896,0.0376989194470691,0.217464755420783,0,1,1
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.401913150344712,-0.0886274047081335,0.120714494341138,0,1,1
"LOC111103230",2.41033121221193,-0.187464671493549,0.338368439814663,0,1,1
"LOC111101640",0.47836090930985,-0.0459261710465798,0.250541804136138,0,1,1
"LOC111103163",1.43833803090604,-0.630532059865924,0.276007562150471,-1.3787015721637,0.167986784583644,1
"LOC111103177",0.457990086807979,-0.105069113210915,0.138132269234979,0,1,1
"LOC111102448",79.7358694969549,0.204425149046642,0.22245018712784,0,1,1
"LOC111129274",1.02765644261117,-0.467850971103605,0.317360870832431,-0.686445592779559,0.492432162184021,1
"LOC111113346",65.997749508049,-0.0267727987773363,0.226455840405323,0,1,1
"LOC111100652",70.5314840598567,-0.409228075608512,0.259344876141629,-0.613962681574467,0.539239987865839,1
"LOC111134791",234.838533242459,-0.186796066913421,0.159438185784288,0,1,1
"LOC111128971",100.434468037047,0.11415875150645,0.185496308817156,0,1,1
"LOC111104153",18.2371936156585,0.701400799192058,0.308647336818798,1.46251318363738,0.143600634298208,1
"LOC111134573",0.213443644391176,0,0.120023670630787,0,1,1
"LOC111129318",5.23810569592571,-0.155574265623259,0.256443412289181,0,1,1
"LOC111134552",0.628659310749133,-0.140428856482282,0.218444607772886,0,1,1
"LOC111134566",0.977546575882015,-0.0430233381260196,0.179129287312497,0,1,1
"LOC111121733",63.4392850889245,0.331901032576769,0.214466662808111,0.381882347141514,0.702548634701361,1
"LOC111109754",0.505015799153218,-0.12342895049527,0.142064858197633,0,1,1
"LOC111109745",1.34033401616694,0.176160016932003,0.309917600333356,0,1,1
"LOC111099207",0.740611835894792,-0.0104384024584122,0.289018003510332,0,1,1
"LOC111103463",0.108853475982434,-0.000675605156439421,0.119781640196406,0,1,1
"LOC111131721",50.8739336039136,-0.125275388759268,0.249045966403585,0,1,1
"LOC111131752",12.1440157931741,0.735239099917287,0.335945629064642,1.4443977177745,0.148627132337744,1
"LOC111131766",9.34340552273571,0.0605771039863608,0.36673375757777,0,1,1
"LOC111131682",220.538331963409,0.220765320226159,0.115085393229235,0,1,1
"LOC111128103",231.536187720714,0.0581113645636528,0.166758719616822,0,1,1
"LOC111100789",0.805773083336342,-0.0839011803217942,0.257290125218893,0,1,1
"LOC111100985",2.81569984452935,0.00264460468249155,0.231465268150492,0,NA,NA
"LOC111103245",0.861364893011965,0.0934861256753817,0.128815238912836,0,1,1
"LOC111112387",141.31557800487,0.538399059755996,0.180356145582317,1.59905313359209,0.109808796987448,1
"LOC111114799",21.9682385025003,0.0775605795251288,0.313179064940715,0,1,1
"LOC111129446",69.1392962164505,0.308304311877335,0.179838478255542,0.324203765750773,0.745783771270065,1
"LOC111100566",55.5785311668068,0.222528885392789,0.232356651666676,0,1,1
"LOC111136882",35.0757116709159,0.213771462331365,0.298857100389579,0,1,1
"LOC111136873",36.7174003966828,-0.060163398808885,0.365439747704985,0,1,1
"LOC111129522",0.749336757301896,-0.202328151467073,0.154120687521341,0,1,1
"LOC111100662",5.44240150341753,-0.743580746339985,0.266214803606898,-1.8540694944554,NA,NA
"LOC111100672",6.76376071178143,-0.594213045809493,0.223810177632937,-1.53796869047673,NA,NA
"LOC111105302",4.88169889761454,-0.26383102455789,0.364557390562186,-0.03793922415497,0.969736139195199,1
"LOC111137770",4.91483858992061,-0.663617900714712,0.363937146417977,-1.13650916040232,0.255743533980454,1
