"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.406173860320378,0.0583332154119479,0.236981960299973,0,1,NA
"LOC111109452",1.86564313964656,-0.0274491568611808,0.258260349367295,0,1,NA
"LOC111124802",240.629966780346,-0.00168169036078885,0.114701110975501,0,1,1
"LOC111101273",86.2934472457917,0.0410301499930386,0.159899366368224,0,1,1
"LOC111101250",141.48529904017,-0.305800027398132,0.16486442324265,-0.338460089209207,0.735016498383018,1
"LOC111101262",298.062798550549,-0.00412221117712374,0.125800814424344,0,1,1
"LOC111133260",30.5070275563994,-1.99524700185104,0.279141239610598,-6.25220051428326,4.04709315582115e-10,3.1518430450597e-07
"LOC111113503",19.1860582683141,-0.301206891333927,0.278517896393008,-0.183854940731242,0.854127254225261,1
"LOC111102393",28.6277575944762,0.0430802775853619,0.282308534306887,0,1,1
"LOC111119377",53.3394620052316,-0.240926941081127,0.368389769864049,0,1,1
"LOC111101799",13.7965689167796,1.27901504393195,0.328751455334542,3.13006992740096,0.00174764695770549,0.0457657167697474
"LOC111117743",16.5497298674833,-0.0166633982560184,0.26823585430656,0,NA,NA
"LOC111117672",252.944933786525,0.285564575688325,0.1110769146648,0.32017972227307,0.748832094016243,1
"LOC111114053",35.9038470345196,-1.14067745510924,0.263336455559144,-3.38227934760518,0.00071887002719194,0.0258995301764614
"LOC111109809",3.06882914546693,-1.25854162633075,0.366366338400191,-2.75282284593814,0.00590838584094632,0.100425052373322
"LOC111135172",1.85991284302368,-0.035375565434791,0.20198763852333,0,1,NA
"LOC111114201",548.921070406464,-0.100460720102928,0.113028862049896,0,1,1
"LOC111114212",207.235794879644,-0.493763070615178,0.118479458556825,-2.05742897194507,0.0396449806795191,0.334576784267136
"LOC111138315",133.908536896481,-0.126753508372244,0.171959403039089,0,1,1
"LOC111138321",138.140847824011,0.35275927157169,0.158386880140734,0.648786512370113,0.516476376562924,1
"LOC111121058",69.1859487178712,0.114932808200047,0.264634079246923,0,1,1
"LOC111138070",2.69353861120293,-0.0649892590572027,0.124208860046005,0,1,1
"LOC111108878",0.629548837190816,-0.160930227548745,0.149573597615226,0,1,NA
"LOC111108901",14.504988769645,0.141936942284917,0.34064206397157,0,1,1
"LOC111130095",38.4622516384064,0.230594657103196,0.236632402718308,0,1,1
