"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.406173860320378,-0.186818606300979,0.247777253330016,0,1,NA
"LOC111109452",1.86564313964656,0.354250056009337,0.272266181789695,0.382897557544851,0.701795722413986,NA
"LOC111124802",240.629966780346,-0.0853092885818504,0.106754434785098,0,1,1
"LOC111101273",86.2934472457917,-0.0716195816049308,0.148040935430584,0,1,1
"LOC111101250",141.48529904017,-0.0561257126231455,0.156055642882859,0,1,1
"LOC111101262",298.062798550549,-0.0805720841943927,0.117737469032039,0,1,1
"LOC111133260",30.5070275563994,1.58649630199168,0.269513821491579,4.9589156303564,7.08877425004547e-07,0.000220340731334469
"LOC111113503",19.1860582683141,-0.491572234217732,0.272479114553678,-0.886571562056889,0.3753096101437,1
"LOC111102393",28.6277575944762,-0.162916330660313,0.269051416305594,0,1,1
"LOC111119377",53.3394620052316,0.312941211133132,0.368759651675197,0.170683562714098,0.864472588211726,1
"LOC111101799",13.7965689167796,-0.981354757546585,0.312375221325109,-2.34127007399674,0.0192182593373718,0.360450000484433
"LOC111117743",16.5497298674833,-0.037439080297042,0.279085489652612,0,NA,NA
"LOC111117672",252.944933786525,-0.283803928608975,0.102653647998848,-0.329300801948653,0.741928338024457,1
"LOC111114053",35.9038470345196,0.25496600149865,0.256382119132046,0.0193695313677154,0.984546316293366,1
"LOC111109809",3.06882914546693,1.86031966774495,0.367145114520828,4.38605773046067,1.15423499000818e-05,0.00212587000459707
"LOC111135172",1.85991284302368,0.00394670975550263,0.213021917545446,0,1,NA
"LOC111114201",548.921070406464,-0.114531801029894,0.106334692114133,0,1,1
"LOC111114212",207.235794879644,0.446126464436366,0.110374577446504,1.77691701271902,0.075581894823956,0.755902778546843
"LOC111138315",133.908536896481,-0.061970269818425,0.162014882563193,0,1,1
"LOC111138321",138.140847824011,-0.295435872648867,0.147099477907148,-0.308878544610113,0.757413918225018,1
"LOC111121058",69.1859487178712,-0.0319558638465314,0.25151953007502,0,1,1
"LOC111138070",2.69353861120293,0.00294852180580293,0.131075992514192,0,1,1
"LOC111108878",0.629548837190816,-0.0118513321538614,0.157575612796797,0,1,NA
"LOC111108901",14.504988769645,-0.249972362401255,0.331046260482058,0,1,1
"LOC111130095",38.4622516384064,-0.455036786401236,0.224075579967892,-0.9150340542714,0.360173752750342,1
"LOC111103224",2.02255609908252,-0.726680292830322,0.351105652251561,-1.35765485338524,0.174573228594091,NA
"LOC111131060",0.102878499641866,0.0419288880346175,0.126296181913585,0,1,NA
"LOC111131074",0.495197744657769,0,0.127081547141527,0,1,NA
"LOC111131094",0.0347652635590691,0.0251383784560231,0.126251764276111,0,1,NA
"LOC111136780",241.905934393851,-0.329093012593178,0.168031853888163,-0.470702493384497,0.637853203597889,1
"LOC111133372",286.984524941705,-0.277347128636926,0.145266474734848,-0.188254920392622,0.850676821783843,1
"LOC111137104",114.00156886013,0.0712791010090759,0.132447198691351,0,1,1
"LOC111099747",2.56423146018981,-0.641431704440331,0.365299193246752,-1.07153728143037,0.2839279168539,1
"LOC111129066",0.326762857998768,-0.12352660509899,0.127869398262989,0,1,NA
"LOC111115406",8.52197240631486,-0.227381867427714,0.368804599883636,0,1,1
"LOC111114430",0.405686859916896,-0.162563937454954,0.233927679257603,0,1,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.401913150344712,0.012457612083043,0.128066478037672,0,1,NA
"LOC111103230",2.41033121221193,-0.0872493117726807,0.356135247577779,0,1,1
"LOC111101640",0.47836090930985,-0.109116994334274,0.267883069848642,0,1,NA
"LOC111103163",1.43833803090604,0.247138085647928,0.296687924567485,0,1,NA
"LOC111103177",0.457990086807979,-0.0697371977366639,0.146536475213087,0,1,NA
"LOC111102448",79.7358694969549,0.0838429129697978,0.197975508978958,0,1,1
"LOC111129274",1.02765644261117,0.203733877786281,0.339636857648616,0,1,NA
"LOC111113346",65.997749508049,0.225186594535832,0.204549739072044,0,1,1
"LOC111100652",70.5314840598567,-0.723879879408513,0.236417515642136,-2.00441950386545,0.0450251417734648,0.574200797424296
"LOC111134791",234.838533242459,-0.0538543727706012,0.144051463720919,0,1,1
"LOC111128971",100.434468037047,-0.110668034163975,0.166561732604082,0,1,1
"LOC111104153",18.2371936156585,1.40354902787654,0.280744269591944,4.10889607667933,3.97554913217686e-05,0.00558893377908404
"LOC111134573",0.213443644391176,-0.00535763286835698,0.127183930670485,0,1,NA
"LOC111129318",5.23810569592571,-0.363815062298652,0.272082447761427,-0.418310931980626,0.675719797883082,1
"LOC111134552",0.628659310749133,0.364534118773409,0.236467786485332,0.484354002190966,0.628134656905941,NA
"LOC111134566",0.977546575882015,0.0923640884601828,0.192489513648138,0,1,NA
"LOC111121733",63.4392850889245,0.489127710475662,0.193923304733741,1.23310455545292,0.21753675810209,1
"LOC111109754",0.505015799153218,0.0460115207480786,0.151039167212422,0,1,NA
"LOC111109745",1.34033401616694,-0.023948840768727,0.330920274034538,0,1,NA
"LOC111099207",0.740611835894792,-0.0891743124110175,0.314112496453223,0,1,NA
"LOC111103463",0.108853475982434,-0.0263076716443191,0.126312691493519,0,1,NA
"LOC111131721",50.8739336039136,-0.414306859228126,0.220610600178979,-0.74478225024013,0.45640336684018,1
"LOC111131752",12.1440157931741,0.885004250088772,0.317717777663364,1.99864248944101,0.0456470496385966,0.576630562581394
"LOC111131766",9.34340552273571,1.05869712351322,0.359027587358405,2.25246513635155,0.0242928935044785,0.405631965151503
"LOC111131682",220.538331963409,-0.313246552486935,0.0976847161481567,-0.647455968352406,0.51733688309524,1
"LOC111128103",231.536187720714,-0.0379339151980321,0.151197386745315,0,1,1
"LOC111100789",0.805773083336342,-0.0269521180416707,0.281742905858007,0,1,NA
"LOC111100985",2.81569984452935,-0.550688772875276,0.249571625259456,-1.20481954854715,NA,NA
"LOC111103245",0.861364893011965,0.0798951342978639,0.137287920744227,0,1,NA
"LOC111112387",141.31557800487,0.184320820345532,0.160662727053965,0,1,1
"LOC111114799",21.9682385025003,-0.272850746205809,0.288341208704065,-0.0792489783493323,0.936834587973286,1
"LOC111129446",69.1392962164505,0.352433557433017,0.156969089173853,0.652571522024728,0.51403254981737,1
"LOC111100566",55.5785311668068,-0.0651254990474909,0.205747604737503,0,1,1
"LOC111136882",35.0757116709159,1.07468711552129,0.288004869143624,2.86344851728888,0.00419056907610201,0.154363802487294
"LOC111136873",36.7174003966828,0.138801428751515,0.360847912200939,0,1,1
"LOC111129522",0.749336757301896,0.0129374270837504,0.164477062185306,0,1,NA
"LOC111100662",5.44240150341753,0.0284790925616136,0.279518085882239,0,NA,NA
"LOC111100672",6.76376071178143,-0.021459242110624,0.235618906556939,0,NA,NA
"LOC111105302",4.88169889761454,-0.680664820453617,0.350968285532519,-1.22707617242446,0.219793962584422,1
"LOC111137770",4.91483858992061,-0.658362617259558,0.354059848665194,-1.15337172175576,0.248757843192596,1
"LOC111119645",0.676546608449526,-0.220534362083062,0.186679765761498,0,1,NA
"LOC111103288",18.6746962877767,0.142226766251227,0.286908165358356,0,1,1
"LOC111129738",3.46239559349534,0.562304779236888,0.368820786363009,0.846765667186406,0.397125748426622,1
"LOC111129748",0.654340874282133,0.141915319536383,0.134183664848293,0,1,NA
"LOC111134153",2.75470691389156,-0.0433372261037464,0.349190737602892,0,1,1
"LOC111133651",128.878189332636,-0.346529957096287,0.115185210831104,-0.838041241577693,0.402007541422753,1
"LOC111105807",163.192945541317,-0.317121426672392,0.123786892300242,-0.542233716552076,0.587657511034836,1
"LOC111129837",19.1068951858087,-0.083742088817614,0.22410561576154,0,1,1
