"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.0605912281745946,0,0.138694254673699,0,1,1
"LOC111126949",0.0466163257397866,0,0.138694254673699,0,1,1
"LOC111110729",0.486140361646004,0.0150865197309502,0.141058661847435,0,1,1
"LOC111112434",2.14074307216854,-0.0394303931094684,0.318036922140507,0,1,1
"LOC111120752",1.23455531285519,-0.210768796949,0.296354874656223,0,1,1
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.145767246661875,0,0.138869361088499,0,1,1
"LOC111105691",0.136238330262199,0,0.138739092985748,0,1,1
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.108969050413281,0,0.138694254673699,0,1,1
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",2.53121115720825,-0.319342572395606,0.306605449143482,-0.226162230936592,0.821075244907381,1
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.252967923598754,0.0658179587085044,0.139320599963484,0,1,1
"LOC111109452",37.5378849849614,-0.403869302127389,0.383807853143764,-0.40090191189953,0.68849234223843,1
"LOC111124802",435.374709035094,-0.00312361063573638,0.13410934171612,0,1,1
"LOC111101273",159.364371610467,-0.271198174455804,0.15701306847855,-0.135008981489336,0.892604773149159,1
"LOC111101250",254.341488585569,0.0630154742390499,0.196954956292011,0,1,1
"LOC111101262",557.40206522628,0.1814042745384,0.125398839902253,0,1,1
"LOC111133260",94.6271393872642,0.328499024589117,0.190605036647926,0.411841292180098,0.680455753608971,1
"LOC111113503",33.830539084131,0.585806543672887,0.307248564749124,1.09294747706008,0.274416861209347,1
"LOC111102393",49.8735714441277,-0.265587125729379,0.309889234141576,-0.0502990230446608,0.959884102283498,1
"LOC111119377",97.4017076458432,0.438910706763854,0.384083091123394,0.491848537802885,0.622826420731046,1
"LOC111101799",27.5581090392646,-0.156753086997158,0.3658742120504,0,1,1
"LOC111117743",45.6895442511471,-0.175503363633623,0.268415272538869,0,NA,NA
"LOC111117672",469.944143045989,0.017593201458704,0.147397740835243,0,1,1
"LOC111114053",61.873799889209,0.333477303768668,0.306582542231146,0.272283291674614,0.785404202374371,1
"LOC111109809",5.25646794855508,-0.232328623891175,0.391432180246946,0,1,1
"LOC111102064",0.178408669966854,0,0.13901356547465,0,1,1
"LOC111112773",0.200826313605644,0.0985112095884106,0.13915019301412,0,1,1
"LOC111135169",0.375383184944897,0.0193657568953521,0.139369857278251,0,1,1
"LOC111135172",3.71885435598434,-0.758342327028138,0.294287832883572,-1.72736440391421,0.0841022392685242,1
"LOC111135178",0.416661851015209,-0.00126694379075625,0.139931567844617,0,1,1
"LOC111114201",1086.27764096557,0.305557644483872,0.130530343817986,0.42563010912882,0.670377396961017,1
"LOC111114212",378.556263781132,0.167267297332121,0.124898263967178,0,1,1
"LOC111138315",288.785585022811,0.351007022539514,0.180121247816448,0.560772389509784,0.574952711294282,1
"LOC111138321",306.367349064961,-0.0639745216352826,0.168675674969146,0,1,1
"LOC111121058",130.474060713997,-0.0946357555203704,0.277998072094097,0,1,1
"LOC111138070",5.53564001182002,-0.0518923960914837,0.153566843738428,0,1,1
"LOC111108931",12.5721216862916,0.254193433731726,0.39102300406074,0.0107242635041365,0.991443439739136,1
"LOC111108878",6.431728987061,-0.0683260793562894,0.384958664727792,0,1,1
"LOC111108901",136.945921598193,-0.10111141334205,0.234324617621619,0,1,1
"LOC111130095",71.0235874221511,0.161289982377456,0.243873587396783,0,1,1
"LOC111103204",0.159848705864534,-0.0393360657889572,0.138694254673699,0,1,1
"LOC111103224",4.21816154349406,-0.0199076790844027,0.322622898361938,0,1,1
"LOC111131060",0.177482733368683,-0.0378707788251983,0.139026032289428,0,1,1
"LOC111131074",92.9330724175928,0.891204785213424,0.274222567241451,2.33826410300086,0.019373551962216,1
"LOC111131094",0.109989109057397,-0.0367749173793509,0.138754401954887,0,1,1
"LOC111131052",0.145819799096821,0.0349267965837658,0.138730851149474,0,1,1
"LOC111116497",0.593301588536237,0.0196095705256749,0.147713964377018,0,1,1
"LOC111115921",0.104494726663148,-0.0401131552992362,0.13874595538366,0,1,1
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0851760184872804,0,0.138710588484589,0,1,1
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.123813434839015,-0.0781094758021247,0.138782611145789,0,1,1
"LOC111113087",0.0566033601378121,0.0354700521514024,0.138694254673699,0,1,1
"LOC111136780",435.118457497035,-0.0942146848305678,0.176283559958087,0,1,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.385650383483323,-0.0901502344609611,0.139649266782325,0,1,1
"LOC111133372",562.18117130961,0.0777079852589373,0.167700209496274,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",1.50519037499698,0.382960667507959,0.289680044345736,0.458991463524042,0.646240296222782,1
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",208.379642278225,-0.290053049512218,0.1653161597936,-0.242281514173961,0.808562036686135,1
"LOC111105880",23.2724053522224,0.0400209962805422,0.384453406492307,0,1,1
"LOC111102585",7.38713715782228,0.14099243868402,0.384881917166618,0,1,1
"LOC111099747",36.6148135636719,-0.251159257336592,0.362926481913191,-0.00319419329909618,0.99745140681626,1
"LOC111128995",24.540873157125,0.12838859327475,0.308537537175689,0,1,1
"LOC111124195",0.246364596675439,0.0346226676620563,0.138757304802444,0,1,1
"LOC111129046",0.0932326514795731,0,0.138724937663084,0,1,1
"LOC111129066",0.561700753159616,0,0.140222112389089,0,1,1
"LOC111124462",0,NA,NA,NA,NA,NA
"LOC111115406",21.5946742490508,0.174748521155723,0.391365426416155,0,1,1
"LOC111135942",32.252064554156,0.172277160360072,0.349100748915075,0,1,1
"LOC111135933",3.39776378551122,0.67468080264138,0.342871024315668,1.23860219302286,0.215492855547433,1
"LOC111114441",0.800302661083214,-0.128486018475727,0.220266803180435,0,1,1
"LOC111114430",6.35023920809897,-0.196883498707072,0.383329662907823,0,1,1
"LOC111111547",0,NA,NA,NA,NA,NA
"LOC111103592",0.11851007755732,-0.0032118776695944,0.138771266195187,0,1,1
"LOC111129108",0,NA,NA,NA,NA,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111135210",1.35002580636875,-0.0205710323081301,0.279303945189825,0,1,1
"LOC111113958",1.85413977953733,-0.331656402245703,0.311497140571422,-0.262141739394172,0.793212168221127,1
"LOC111103230",9.47748053922464,-0.244892927720703,0.391595178848918,0,1,1
"LOC111101640",3.22597282643567,0.106854716861878,0.345319420190059,0,1,1
"LOC111103171",0.662850222591685,0.0168866428345217,0.168238769237257,0,1,1
"LOC111103163",2.43762269355227,-0.634434478642422,0.292827453154645,-1.31283619244333,0.189238151542566,1
"LOC111103177",0.771520496235184,-0.12409372147684,0.156640591956803,0,1,1
"LOC111115024",0,NA,NA,NA,NA,NA
"LOC111115591",1.56319386467795,-0.161800323374954,0.265670056644416,0,1,1
"LOC111119406",0,NA,NA,NA,NA,NA
"LOC111102439",0,NA,NA,NA,NA,NA
"LOC111102448",185.940388585089,0.166920995402087,0.17488622445877,0,1,1
"LOC111129274",1.79043380111755,-0.468553978628234,0.346543602440279,-0.630668051838868,0.528257592655516,1
"LOC111113346",117.47073681581,-0.0671155915295083,0.256789234303306,0,1,1
"LOC111100652",129.359041873667,-0.299376087310671,0.263789257836157,-0.187180053182221,0.851519463688788,1
"LOC111134791",426.206616578973,-0.121068337791515,0.162623710105893,0,1,1
"LOC111128971",192.510165229794,0.138448702534578,0.187412165689551,0,1,1
"LOC111104153",58.6987488344797,0.274172643991541,0.3277062785561,0.0737631396567914,0.941198857383833,1
"LOC111134573",0.368378500946128,0,0.139756654281285,0,1,1
"LOC111129318",8.88663369211408,-0.208042800377345,0.282438296522342,0,1,1
"LOC111134552",1.10396217732787,-0.146691116921929,0.234369707097317,0,1,1
"LOC111134566",6.91206168684802,-0.599143822475942,0.339911329018225,-1.02716147615434,0.304344434788646,1
"LOC111121766",0.434738261136493,0.0404648279621394,0.139254126777216,0,1,1
"LOC111121733",178.868318482378,-0.102376240686471,0.243654353228537,0,1,1
"LOC111129336",2.21204024816883,-0.151284524777018,0.328191723709007,0,1,1
"LOC111109736",0.520092071771289,0,0.140133016539533,0,1,1
"LOC111109754",59.8603643980084,-0.467310264877769,0.247214345676779,-0.879035819231509,0.379381854790449,1
"LOC111109763",0.499762193352664,-0.0571490131269988,0.140170072367074,0,1,1
"LOC111129344",0,NA,NA,NA,NA,NA
"LOC111109745",4.94743210062342,-0.192124008355103,0.391562627428352,0,1,1
"LOC111132141",0,NA,NA,NA,NA,NA
"LOC111132148",0,NA,NA,NA,NA,NA
"LOC111132134",0,NA,NA,NA,NA,NA
"LOC111132126",1.55889285110616,-0.0738799101659723,0.223215847211781,0,1,1
"LOC111099207",10.9296959150778,0.0976927303182069,0.391107629761089,0,1,1
"LOC111115013",10.9936397889688,0.300240652909728,0.380683275676668,0.131974941164475,0.895004112407895,1
"LOC111132349",0.101988242779774,0,0.138728330785517,0,1,1
"LOC111129373",0,NA,NA,NA,NA,NA
"LOC111132366",0.115987108498584,0.0347257163041888,0.138743863188631,0,1,1
"LOC111103463",0.54107884744034,0.0865601181169767,0.235449674264565,0,1,1
"LOC111131773",0.400491243872361,0,0.138760165734938,0,1,1
"LOC111131721",106.652231343093,-0.0365068806443224,0.261484109237439,0,1,1
"LOC111131752",21.7243116626342,0.457928705072401,0.353941705244904,0.587465964002542,0.556890802933767,1
"LOC111131766",16.7767976899124,-0.0342716411877562,0.383814216879862,0,1,1
"LOC111129378",0.487588932812899,-0.0937398508916977,0.165043383270447,0,1,1
"LOC111131682",398.585635370154,0.233620647980187,0.114130458310289,0,1,1
"LOC111128103",671.123932959861,-0.0269919558026517,0.137450072294373,0,1,1
"LOC111100789",1.38714592806286,-0.0527261682046408,0.266241128456644,0,1,1
"LOC111100985",5.56639022555202,0.0919045476923876,0.250936732549318,0,NA,NA
"LOC111103238",0,NA,NA,NA,NA,NA
"LOC111103245",1.48014442281008,0.124421082908482,0.151470268631502,0,1,1
"LOC111112387",283.540993597183,0.584720081593446,0.18749143520772,1.78525531698348,0.0742199130210095,1
"LOC111114799",42.1309718226883,0.196249819411558,0.322682076140383,0,1,1
"LOC111129421",34.7173091209755,0.0857513213468621,0.342581703511872,0,1,1
"LOC111129446",223.136472928649,0.191172126304898,0.188832163567465,0,1,1
"LOC111100566",112.783873136332,0.214400904498678,0.211830259322603,0,1,1
"LOC111136882",107.374498913104,0.110127503274305,0.322270407982791,0,1,1
"LOC111136873",68.6460389269385,-0.0736182319401225,0.376674498688572,0,1,1
"LOC111099831",0.379405146006627,-0.0765268622766166,0.139791848926782,0,1,1
"LOC111129522",1.28065096490592,-0.200768075709558,0.169005918564523,0,NA,NA
"LOC111100662",14.2056318393286,-0.225976063328388,0.25652804791757,0,NA,NA
"LOC111100672",18.2321953567525,-0.114976350027512,0.220729811484119,0,NA,NA
"LOC111123745",0.119897649633894,0,0.138753516846831,0,1,1
"LOC111129531",0,NA,NA,NA,NA,NA
"LOC111105302",8.78059133305914,-0.337544293166144,0.382511917763928,-0.228866838131232,0.818972415838341,1
"LOC111122009",18.9324788980608,-0.115682285634976,0.377388104092601,0,1,1
"LOC111137770",10.1574234345602,-0.523860616887538,0.380673994600964,-0.719409838264914,0.471888436816078,1
"LOC111119645",1.16817678303619,0,0.191163023219782,0,1,1
"LOC111134776",0.447233090484959,-0.0118488870038471,0.139484744147303,0,1,1
"LOC111103288",39.3689160671938,0.726899403345829,0.332387616101504,1.43476886696102,0.151352972363588,1
"LOC111101379",0,NA,NA,NA,NA,NA
"LOC111101405",0,NA,NA,NA,NA,NA
"LOC111101397",10.7457080763962,-0.0576554109479786,0.391096043828942,0,1,1
"LOC111129738",5.92879329873002,-0.0342867695954779,0.3882124910343,0,1,1
"LOC111129748",6.00290370323458,0.159517958400169,0.360167526808967,0,1,1
"LOC111134153",4.69822471099304,0.200021379290376,0.356722998849377,0,1,1
"LOC111113132",0,NA,NA,NA,NA,NA
"LOC111128935",0.0566033601378121,0.0354700521514024,0.138694254673699,0,1,1
"LOC111136489",0,NA,NA,NA,NA,NA
"LOC111136460",0.150108862252734,0,0.138879555528283,0,1,1
"LOC111136481",0.736315401335034,-0.0223909514861836,0.140057447547013,0,1,1
"LOC111119489",0,NA,NA,NA,NA,NA
"LOC111129787",0.0932326514795731,0,0.138724937663084,0,1,1
"LOC111133651",238.455194351617,0.113506228194236,0.147084051842611,0,1,1
"LOC111105807",297.315464018669,0.109764909381276,0.152706444470072,0,1,1
"LOC111106831",0,NA,NA,NA,NA,NA
"LOC111122515",0,NA,NA,NA,NA,NA
"LOC111122523",2.85145884795905,0.193186981116962,0.332664219904406,0,1,1
"LOC111129837",34.3588433034684,0.148146321200377,0.271513366043889,0,1,1
"LOC111129845",0,NA,NA,NA,NA,NA
"LOC111129861",1.22194770233755,-0.0195372684817114,0.291011770118833,0,1,1
