"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.0605912281745946,0.00492733846186376,0.138694254673699,0,1,1
"LOC111126949",0.0466163257397866,0,0.138694254673699,0,1,1
"LOC111110729",0.486140361646004,-0.0330163868286205,0.141415624211999,0,1,1
"LOC111112434",2.14074307216854,-0.44907839161443,0.321603490954217,-0.619018130132085,0.535904415258785,1
"LOC111120752",1.23455531285519,-0.316106811016428,0.301071396494184,-0.219571874931351,0.826204597418175,1
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.145767246661875,0.00324443111197436,0.138901634539859,0,1,1
"LOC111105691",0.136238330262199,0.00425722664153033,0.138739092985748,0,1,1
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.108969050413281,0.00492733846186376,0.138694254673699,0,1,1
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",2.53121115720825,-0.594493119549457,0.310637744083612,-1.10898667695943,0.267435929515654,1
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.252967923598754,0,0.139422513292062,0,1,1
"LOC111109452",37.5378849849614,-0.0249974085522007,0.381904967163365,0,1,1
"LOC111124802",435.374709035094,-0.00494924800701966,0.130632191029035,0,1,1
"LOC111101273",159.364371610467,-0.259061329372065,0.150608067041649,-0.0601649669241127,0.952024247491934,1
"LOC111101250",254.341488585569,-0.159052834647953,0.193856091889469,0,1,1
"LOC111101262",557.40206522628,0.105363364730617,0.122586407769695,0,1,1
"LOC111133260",94.6271393872642,0.0511034271011062,0.185483624007305,0,1,1
"LOC111113503",33.830539084131,-0.0985827356251372,0.303863345107112,0,1,1
"LOC111102393",49.8735714441277,-0.289167857703756,0.303859136953896,-0.12890136560119,0.897435696092141,1
"LOC111119377",97.4017076458432,0.506117301800736,0.38354292303384,0.667766986221094,0.504282343236186,1
"LOC111101799",27.5581090392646,-0.176500892752962,0.361283378795662,0,1,1
"LOC111117743",45.6895442511471,-0.508004852124652,0.268738728629226,-0.960058319248122,NA,NA
"LOC111117672",469.944143045989,-0.135932651566178,0.144558851415829,0,1,1
"LOC111114053",61.873799889209,-0.276719896610244,0.303888673401702,-0.0879265959837986,0.929935017926651,1
"LOC111109809",5.25646794855508,0.440564703911487,0.388418039317501,0.49061754249708,0.623696976621756,1
"LOC111102064",0.178408669966854,0,0.139095359959063,0,1,1
"LOC111112773",0.200826313605644,0,0.139175247043489,0,1,1
"LOC111135169",0.375383184944897,-0.00827365409514554,0.139544917995307,0,1,1
"LOC111135172",3.71885435598434,-0.835965133695946,0.298694927965106,-1.96175120109304,0.0497914575815033,1
"LOC111135178",0.416661851015209,-0.0482905379496789,0.140274937300104,0,1,1
"LOC111114201",1086.27764096557,-0.0237893640386359,0.129220813802276,0,1,1
"LOC111114212",378.556263781132,0.114462934673509,0.121367214115934,0,1,1
"LOC111138315",288.785585022811,0.296095485768118,0.176806207727357,0.260711919341653,0.79431467356281,1
"LOC111138321",306.367349064961,0.12711875320558,0.164196611038308,0,1,1
"LOC111121058",130.474060713997,-0.157742881530215,0.274395307171884,0,1,1
"LOC111138070",5.53564001182002,-0.143586621571228,0.154111695754421,0,1,1
"LOC111108931",12.5721216862916,0.170364002642223,0.39133778779127,0,1,1
"LOC111108878",6.431728987061,-0.100434961743758,0.387081001336844,0,1,1
"LOC111108901",136.945921598193,-0.0120512609152481,0.228798949088059,0,1,1
"LOC111130095",71.0235874221511,0.00738011223003912,0.237452700572784,0,1,1
"LOC111103204",0.159848705864534,-0.0698787794784958,0.138694254673699,0,1,1
"LOC111103224",4.21816154349406,0.0159284008489191,0.327913922465355,0,1,1
"LOC111131060",0.177482733368683,-0.00263667403133576,0.139175976917978,0,1,1
"LOC111131074",92.9330724175928,0.242328740948886,0.271757546637682,0,1,1
"LOC111131094",0.109989109057397,-0.0299145720987098,0.138754401954887,0,1,1
"LOC111131052",0.145819799096821,0,0.138730851149474,0,1,1
"LOC111116497",0.593301588536237,-0.0907819315579148,0.148112845790085,0,1,1
"LOC111115921",0.104494726663148,-0.0706558689887748,0.13874595538366,0,1,1
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0851760184872804,0,0.138710588484589,0,1,1
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.123813434839015,-0.108652189491663,0.138782611145789,0,1,1
"LOC111113087",0.0566033601378121,0,0.138694254673699,0,1,1
"LOC111136780",435.118457497035,-0.14366452026634,0.173466268497819,0,1,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.385650383483323,-0.0908012028087733,0.139928318821526,0,1,1
"LOC111133372",562.18117130961,-0.136391977311031,0.165659805601998,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",1.50519037499698,-0.0178682632363333,0.292732900793295,0,1,1
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",208.379642278225,0.0554962395526914,0.15873870149205,0,1,1
"LOC111105880",23.2724053522224,-0.500337000252942,0.383229780999339,-0.65322950528569,0.513608331344652,1
"LOC111102585",7.38713715782228,0.48536009458357,0.387334324771151,0.607640685401761,0.54342581054826,1
"LOC111099747",36.6148135636719,-0.0454645573495233,0.358485635444608,0,1,1
"LOC111128995",24.540873157125,-0.219482376322397,0.302390364358127,0,1,1
"LOC111124195",0.246364596675439,0.00402794200105575,0.138753705937661,0,1,1
"LOC111129046",0.0932326514795731,0,0.138724937663084,0,1,1
"LOC111129066",0.561700753159616,0,0.140731403892731,0,1,1
"LOC111124462",0,NA,NA,NA,NA,NA
"LOC111115406",21.5946742490508,0.179724964345194,0.390947326315803,0,1,1
"LOC111135942",32.252064554156,0.387712058682588,0.343693380304955,0.400682895202689,0.688653605684471,1
"LOC111135933",3.39776378551122,0.403414031571225,0.347359973451809,0.44165719511868,0.658737289038007,1
"LOC111114441",0.800302661083214,-0.164456113456793,0.222777799633614,0,1,1
"LOC111114430",6.35023920809897,-0.074727986083886,0.38641130128175,0,1,1
"LOC111111547",0,NA,NA,NA,NA,NA
"LOC111103592",0.11851007755732,-0.0710029336029585,0.138767684127861,0,1,1
"LOC111129108",0,NA,NA,NA,NA,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111135210",1.35002580636875,-0.173048612609803,0.283189676132806,0,1,1
"LOC111113958",1.85413977953733,-0.125214440833485,0.317928555626973,0,1,1
"LOC111103230",9.47748053922464,-0.38091216345849,0.391409479876164,-0.334463446056311,0.738029870009688,1
"LOC111101640",3.22597282643567,0.228381609357207,0.351179284672116,0,1,1
"LOC111103171",0.662850222591685,-0.048525763690955,0.16924487974447,0,1,1
"LOC111103163",2.43762269355227,-0.460976270528029,0.298442290336681,-0.706924847313098,0.479613181915947,1
"LOC111103177",0.771520496235184,-0.145863299095466,0.1574977355475,0,1,1
"LOC111115024",0,NA,NA,NA,NA,NA
"LOC111115591",1.56319386467795,-0.207727490913597,0.26954298707886,0,1,1
"LOC111119406",0,NA,NA,NA,NA,NA
"LOC111102439",0,NA,NA,NA,NA,NA
