"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.0605912281745946,0,0.138719165367892,0,1,NA
"LOC111126949",0.0466163257397866,-0.000999767564921167,0.138752116548857,0,1,NA
"LOC111110729",0.486140361646004,-0.0815157159528789,0.141892048866133,0,1,NA
"LOC111112434",2.14074307216854,0.144597013450581,0.32590378601456,0,1,NA
"LOC111120752",1.23455531285519,0.249190993791,0.30425364756616,0,1,NA
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.145767246661875,0.0237407401258184,0.13944314267196,0,1,NA
"LOC111105691",0.136238330262199,-0.000163081255138115,0.139096990388407,0,1,NA
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.108969050413281,0,0.138719165367892,0,1,NA
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",2.53121115720825,-0.260454140350448,0.310900235306572,-0.0336253857773349,0.973175878788633,NA
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.252967923598754,-0.0520651655271231,0.140019530552693,0,1,NA
"LOC111109452",37.5378849849614,0.242274849082861,0.382621614209451,0,1,1
"LOC111124802",435.374709035094,0.0724697476068679,0.130380821808912,0,1,1
"LOC111101273",159.364371610467,0.134627867161382,0.150953982072131,0,1,1
"LOC111101250",254.341488585569,-0.20967623574207,0.193637805970006,0,1,1
"LOC111101262",557.40206522628,0.00409682428787377,0.121819966604456,0,1,1
"LOC111133260",94.6271393872642,-1.24049238049748,0.186860375344364,-5.30070850319177,1.15354141303365e-07,9.93404796046868e-05
"LOC111113503",33.830539084131,-0.230913908580793,0.29591950538666,0,1,1
"LOC111102393",49.8735714441277,0.13448780644443,0.30460686270804,0,1,1
"LOC111119377",97.4017076458432,-0.30749454548766,0.383423612000309,-0.14995045607054,0.88080370351703,1
"LOC111101799",27.5581090392646,0.87804521096348,0.359897105175967,1.74506880419726,0.0809728930088109,0.810788525763482
"LOC111117743",45.6895442511471,-0.318311694513078,0.268633913888804,-0.254292890738115,NA,NA
"LOC111117672",469.944143045989,0.120138620473886,0.144123178137873,0,1,1
"LOC111114053",61.873799889209,-0.887077298134811,0.303070079508662,-2.10207915993437,0.0355463421030192,0.531423468683314
"LOC111109809",5.25646794855508,-1.52455845380106,0.391549655937621,-3.25516427986369,0.00113326792430394,0.069767734484004
"LOC111102064",0.178408669966854,0.0720218151990923,0.139695187680037,0,1,NA
"LOC111112773",0.200826313605644,-0.128916305658547,0.139742589356801,0,1,NA
"LOC111135169",0.375383184944897,-0.0377331317462584,0.140061235632739,0,1,NA
"LOC111135172",3.71885435598434,0.135304997025654,0.297031736809764,0,1,1
"LOC111135178",0.416661851015209,0.0566926053794667,0.140831995011239,0,1,NA
"LOC111114201",1086.27764096557,-0.191993717291685,0.128711320823331,0,1,1
"LOC111114212",378.556263781132,-0.509526661681387,0.121323881967343,-2.13912263169459,0.0324257379552473,0.511593247484377
"LOC111138315",288.785585022811,-0.170472321256075,0.175615673991644,0,1,1
"LOC111138321",306.367349064961,0.414809645075377,0.164006876447193,1.00489472542599,0.31494754454065,1
"LOC111121058",130.474060713997,-0.0502410741983707,0.274816697068404,0,1,1
"LOC111138070",5.53564001182002,-0.0946481123717258,0.15401597463509,0,1,1
"LOC111108931",12.5721216862916,0.138516216416493,0.391470995262627,0,1,1
"LOC111108878",6.431728987061,-0.0575536880061779,0.387098157989965,0,1,1
"LOC111108901",136.945921598193,0.574128342548316,0.228181959577611,1.42048189588831,0.155467435536947,1
"LOC111130095",71.0235874221511,0.354949128723903,0.233299001660926,0.449848168988029,0.652819922662608,1
"LOC111103204",0.159848705864534,0,0.138719165367892,0,1,NA
"LOC111103224",4.21816154349406,0.501902017907833,0.329267974197193,0.765036498074279,0.444249811410715,1
"LOC111131060",0.177482733368683,0,0.139570144076469,0,1,NA
"LOC111131074",92.9330724175928,-0.507873729012951,0.266789608819374,-0.966580858055608,0.333753607561392,1
"LOC111131094",0.109989109057397,0,0.139059242056229,0,1,NA
"LOC111131052",0.145819799096821,-0.0402903726567249,0.139063465135257,0,1,NA
"LOC111116497",0.593301588536237,-0.0874644741035273,0.148710843992429,0,1,NA
"LOC111115921",0.104494726663148,-0.00287952395356951,0.139066012363927,0,1,NA
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0851760184872804,0.0279587075014393,0.139034619494577,0,1,NA
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.123813434839015,0,0.139110509262133,0,1,NA
"LOC111113087",0.0566033601378121,-0.0762970653887566,0.138719165367892,0,1,NA
"LOC111136780",435.118457497035,0.269111995000602,0.173471863057985,0.110173457895092,0.912271811640443,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.385650383483323,-0.00341483928028303,0.140382893794815,0,1,NA
"LOC111133372",562.18117130961,-0.0167665369902757,0.165404372821652,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",1.50519037499698,-0.442088919608615,0.296658750509565,-0.647508018147679,0.517303206838432,NA
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",208.379642278225,0.257192069535477,0.160098589779864,0.0449227538191667,0.964168880225369,1
"LOC111105880",23.2724053522224,-0.374862199599384,0.382945026721212,-0.326057765179662,0.744380650789383,1
"LOC111102585",7.38713715782228,0.381513892657634,0.387912696769403,0.339029616078314,0.734587419593876,1
"LOC111099747",36.6148135636719,0.76835054076281,0.358516762195988,1.44581954156846,0.148227823577951,1
"LOC111128995",24.540873157125,-0.599217472673066,0.300916141203255,-1.16051425914433,0.2458394916545,1
"LOC111124195",0.246364596675439,-0.0701578749284566,0.139108708478793,0,1,NA
"LOC111129046",0.0932326514795731,0.0325818093589769,0.139091934059584,0,1,NA
"LOC111129066",0.561700753159616,0.138634392944486,0.141222594047027,0,1,NA
"LOC111124462",0,NA,NA,NA,NA,NA
"LOC111115406",21.5946742490508,0.00404041722487216,0.390882063316258,0,1,1
"LOC111135942",32.252064554156,0.00997330481600515,0.34295799850075,0,1,1
"LOC111135933",3.39776378551122,-0.124780333755149,0.352825626203938,0,1,NA
"LOC111114441",0.800302661083214,0.0253725497136807,0.223567546400528,0,1,NA
"LOC111114430",6.35023920809897,0.825610405726765,0.386837128772436,1.48799161950501,0.136753103759066,1
"LOC111111547",0,NA,NA,NA,NA,NA
"LOC111103592",0.11851007755732,-0.0699471298788951,0.139108924207463,0,1,NA
"LOC111129108",0,NA,NA,NA,NA,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111135210",1.35002580636875,-0.109628319721426,0.285363714585422,0,1,NA
"LOC111113958",1.85413977953733,-0.0163797592296387,0.317350429759187,0,1,NA
"LOC111103230",9.47748053922464,0.249196598639102,0.391260756872178,0,1,1
"LOC111101640",3.22597282643567,0.110973434582332,0.352732082473937,0,1,NA
"LOC111103171",0.662850222591685,-0.0124081675663524,0.169907179493936,0,1,NA
"LOC111103163",2.43762269355227,0.00469331688433111,0.296710902072624,0,1,NA
"LOC111103177",0.771520496235184,0.0683993556524766,0.157915266415258,0,1,NA
"LOC111115024",0,NA,NA,NA,NA,NA
"LOC111115591",1.56319386467795,0.337320878967303,0.271780391432656,0.321292049463179,0.747989080902346,NA
"LOC111119406",0,NA,NA,NA,NA,NA
"LOC111102439",0,NA,NA,NA,NA,NA
"LOC111102448",185.940388585089,0.289109057766691,0.167157520318352,0.233965290297483,0.815011925177948,1
"LOC111129274",1.79043380111755,-0.0256305161345611,0.352426949381362,0,1,NA
"LOC111113346",117.47073681581,-0.129240774580402,0.252662714738791,0,1,1
"LOC111100652",129.359041873667,0.697626361913776,0.259049320274195,1.72795806389292,0.0839957431289908,0.825206959325793
"LOC111134791",426.206616578973,0.120482679240862,0.159715758950299,0,1,1
"LOC111128971",192.510165229794,-0.069041626176315,0.182106154266711,0,1,1
"LOC111104153",58.6987488344797,-0.30944308439698,0.32260966707453,-0.18425698441097,0.853811857566466,1
"LOC111134573",0.368378500946128,0.0513945201726627,0.140618735817187,0,1,NA
"LOC111129318",8.88663369211408,0.531962207165976,0.28459063281419,0.990764187766043,0.321800740082365,1
"LOC111134552",1.10396217732787,-0.0174214255681114,0.238119596010916,0,1,NA
"LOC111134566",6.91206168684802,0.103316212438556,0.342284726274139,0,1,1
"LOC111121766",0.434738261136493,-0.101433841074044,0.139860582128702,0,1,NA
"LOC111121733",178.868318482378,-0.156630081066282,0.240693299120873,0,1,1
"LOC111129336",2.21204024816883,0.193482115224053,0.336143304048898,0,1,NA
"LOC111109736",0.520092071771289,0,0.141024948843903,0,1,NA
"LOC111109754",59.8603643980084,0.664255453931069,0.237094529567433,1.74721641484878,0.080599805420607,0.809904530876492
"LOC111109763",0.499762193352664,0.0264122000453247,0.141071469761502,0,1,NA
"LOC111129344",0,NA,NA,NA,NA,NA
"LOC111109745",4.94743210062342,-0.0133323506052206,0.39105023665179,0,1,1
"LOC111132141",0,NA,NA,NA,NA,NA
"LOC111132148",0,NA,NA,NA,NA,NA
"LOC111132134",0,NA,NA,NA,NA,NA
"LOC111132126",1.55889285110616,-0.0984601141112923,0.226391291551999,0,1,NA
"LOC111099207",10.9296959150778,0.214606655048948,0.389543651474332,0,1,1
"LOC111115013",10.9936397889688,0.227954967073434,0.373522439340805,0,1,1
"LOC111132349",0.101988242779774,-0.00371366083370272,0.139053196957821,0,1,NA
"LOC111129373",0,NA,NA,NA,NA,NA
"LOC111132366",0.115987108498584,-0.0359737486174751,0.139116357050088,0,1,NA
"LOC111103463",0.54107884744034,0.0156675125012424,0.24011787481108,0,1,NA
"LOC111131773",0.400491243872361,0.0443641077221731,0.139231614432772,0,1,NA
"LOC111131721",106.652231343093,0.228301704268082,0.256060588142291,0,1,1
"LOC111131752",21.7243116626342,-1.04743753851611,0.349304748158188,-2.28292785231474,0.0224346185421689,0.430903613361713
"LOC111131766",16.7767976899124,-0.697940099878678,0.382145861784105,-1.17217048429467,0.241128615982946,1
"LOC111129378",0.487588932812899,-0.00440358264237769,0.166250912571693,0,1,NA
"LOC111131682",398.585635370154,0.212248667338827,0.108242477066656,0,1,1
"LOC111128103",671.123932959861,0.0187021614631662,0.135091967274795,0,1,1
"LOC111100789",1.38714592806286,0.221284442347134,0.272745679474036,0,1,NA
"LOC111100985",5.56639022555202,0.455725231481078,0.254045677824724,0.809796227365911,NA,NA
"LOC111103238",0,NA,NA,NA,NA,NA
"LOC111103245",1.48014442281008,-0.13233682503005,0.152618709452148,0,1,NA
"LOC111112387",283.540993597183,-0.169876188952172,0.182185581019326,0,1,1
"LOC111114799",42.1309718226883,-0.061278645268289,0.315672932748965,0,1,1
"LOC111129421",34.7173091209755,0.254812003832834,0.335677792726421,0.014335186709106,0.988562567577363,1
"LOC111129446",223.136472928649,-0.443048188669246,0.18497146571469,-1.04366469673228,0.296640548734867,1
"LOC111100566",112.783873136332,0.0328142838918682,0.203582269188413,0,1,1
"LOC111136882",107.374498913104,-0.906869291970505,0.320884648636018,-2.04705739200256,0.0406524498063191,0.568994759874901
"LOC111136873",68.6460389269385,-0.190925606956577,0.375724523017859,0,1,1
"LOC111099831",0.379405146006627,0,0.1405672098831,0,1,NA
"LOC111129522",1.28065096490592,-0.0230494312688004,0.170385026290668,0,NA,NA
"LOC111100662",14.2056318393286,-0.175192174859087,0.257169375690756,0,NA,NA
"LOC111100672",18.2321953567525,-0.197731233707186,0.221086582938969,0,NA,NA
"LOC111123745",0.119897649633894,0,0.139104389353747,0,1,NA
"LOC111129531",0,NA,NA,NA,NA,NA
"LOC111105302",8.78059133305914,0.471893838683593,0.376811370729647,0.588872459591451,0.55594683369997,1
"LOC111122009",18.9324788980608,0.0885216141758559,0.378688691164981,0,1,1
"LOC111137770",10.1574234345602,0.10736105452879,0.376949741343425,0,1,1
"LOC111119645",1.16817678303619,0.270346127583022,0.193943596845599,0.104907446876012,0.916449249825996,NA
"LOC111134776",0.447233090484959,-0.0528151582781802,0.140174839571873,0,1,NA
"LOC111103288",39.3689160671938,-0.898654468938385,0.326375648715606,-1.98744750563055,0.0468728276955838,0.616430153780169
"LOC111101379",0,NA,NA,NA,NA,NA
"LOC111101405",0,NA,NA,NA,NA,NA
"LOC111101397",10.7457080763962,-0.369034855473609,0.390261025657094,-0.305013433696554,0.760355920930982,1
"LOC111129738",5.92879329873002,-0.162204092264073,0.389867241187418,0,1,1
"LOC111129748",6.00290370323458,-0.0104852244428004,0.364828148249736,0,1,1
"LOC111134153",4.69822471099304,-0.0273384622523278,0.362248904344486,0,1,1
"LOC111113132",0,NA,NA,NA,NA,NA
"LOC111128935",0.0566033601378121,-0.0762970653887566,0.138719165367892,0,1,NA
"LOC111136489",0,NA,NA,NA,NA,NA
"LOC111136460",0.150108862252734,0.0616152294042647,0.139502224916711,0,1,NA
"LOC111136481",0.736315401335034,-0.0598710906133758,0.140894511158043,0,1,NA
"LOC111119489",0,NA,NA,NA,NA,NA
"LOC111129787",0.0932326514795731,0.0325818093589769,0.139091934059584,0,1,NA
"LOC111133651",238.455194351617,0.0226552717256407,0.141154233961481,0,1,1
"LOC111105807",297.315464018669,0.205127402262747,0.147436518110379,0,1,1
"LOC111106831",0,NA,NA,NA,NA,NA
