"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.030295457283444,0,0.119117077055693,0,1,NA
"LOC111126949",0.0232913746762229,-0.0193873653386289,0.119117077055693,0,1,NA
"LOC111110729",0.242898912259141,-0.0651937378202718,0.126275804539384,0,1,NA
"LOC111112434",1.0567349191298,0.0747919072793313,0.283155371069645,0,1,NA
"LOC111120752",0.616752273287608,0.0143833941535384,0.281274030007294,0,1,NA
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.0727682106591506,-0.00450199253476148,0.119264114279086,0,1,NA
"LOC111105691",0.0681903656050016,-0.0187985282210318,0.119157462762488,0,1,NA
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.0545566207451362,0,0.119117077055693,0,1,NA
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",1.26576526172825,-0.504116957268138,0.282594826467081,-0.899227209659267,0.368531649924269,NA
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.126519238986471,-0.00537529905828629,0.119461422198491,0,1,NA
"LOC111109452",18.7750522023639,-0.162265587051275,0.357575504972239,0,1,1
"LOC111124802",217.689884976906,0.0905073704975521,0.123411394415463,0,1,1
"LOC111101273",79.7059422987005,-0.112805054943471,0.148374405829648,0,1,1
"LOC111101250",127.136661115268,-0.133361533443144,0.183060466551426,0,1,1
"LOC111101262",278.6659824532,0.192330943874843,0.120189057359458,0,1,1
"LOC111133260",47.3276055937884,-0.906529898658842,0.196440635588961,-3.34212876419615,0.00083138483403908,0.160244097371071
"LOC111113503",16.9103726230301,0.354760396927964,0.298784481112613,0.350621948428706,0.725871988189504,1
"LOC111102393",24.9336373342945,-0.0941892402276839,0.289424944503151,0,1,1
"LOC111119377",48.7182052061978,0.117096268750886,0.35995441304553,0,1,1
"LOC111101799",13.7817015569283,0.657394338381651,0.33685006998331,1.20942334493752,0.226500244349999,1
"LOC111117743",22.8664161583936,-0.462393806666466,0.240928368106922,-0.881564127692124,NA,NA
"LOC111117672",235.363674179166,0.144767437053239,0.13692281986569,0,1,1
"LOC111114053",30.9480585284751,-0.555499639193101,0.284706908436813,-1.07303205556356,0.283256733839114,1
"LOC111109809",2.62945542241898,-1.23220485739065,0.356533660465216,-2.75487272676873,0.00587149704308833,NA
"LOC111102064",0.0890555027281524,0.0239974693522745,0.119455897156841,0,1,NA
"LOC111112773",0.100655074121898,0,0.11926526340458,0,1,NA
"LOC111135169",0.202923808337187,-0.0331953715853893,0.121867126168687,0,1,NA
"LOC111135172",1.65964492531604,-0.401899069491555,0.203372460821764,-0.746900877718543,0.455123396113018,NA
"LOC111135178",0,NA,NA,NA,NA,NA
"LOC111114201",543.274984902192,0.115601619477549,0.122103449637857,0,1,1
"LOC111114212",189.123253416358,-0.342053895865075,0.121517160644231,-0.757538238854875,0.448727465745098,1
"LOC111138315",144.391162138234,0.163311446313277,0.163544938260917,0,1,1
"LOC111138321",153.195183233385,0.352282242341127,0.162815089053548,0.62821107635477,0.529865675240987,1
"LOC111121058",65.2307150398227,-0.147555755468764,0.268720326144923,0,1,1
"LOC111138070",2.76999304189432,-0.145964052557349,0.141193806017814,0,1,NA
"LOC111108931",3.07233367588583,0.485839717610204,0.303340224077162,0.7774759128226,0.436878040172918,NA
"LOC111108878",0,NA,NA,NA,NA,NA
"LOC111108901",68.4455774393693,0.454163827145709,0.223184889711649,0.914774415998703,0.360310068402832,1
"LOC111130095",35.5105593556622,0.487491913450607,0.234084735326145,1.01455531955005,0.31031784689483,1
"LOC111103204",0.0800128527996621,-0.0515108521258174,0.119117077055693,0,1,NA
"LOC111103224",2.10888430365046,0.521731252412453,0.311308896155157,0.872866968366434,0.382735592410109,NA
"LOC111131060",0.0885341339902045,-0.049265252411686,0.11926526340458,0,1,NA
"LOC111131074",46.4584949497063,0.366644182847056,0.263669096225161,0.44238852606165,0.658208080477491,1
"LOC111131094",0.0549188905976138,-0.0511028876388054,0.119145190366122,0,1,NA
"LOC111131052",0.0729159675787553,-0.0191765549738318,0.119154939939877,0,1,NA
"LOC111116497",0.295971690255472,-0.0648309751816162,0.129046967872877,0,1,NA
"LOC111115921",0.0521927586854708,-0.035238298367426,0.119154939939877,0,1,NA
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0424727533757066,-0.0035677588175561,0.119162912368323,0,1,NA
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.061912763995235,-0.0671646310323997,0.119145190366122,0,1,NA
"LOC111113087",0.0282564483352988,0,0.119117077055693,0,1,NA
"LOC111136780",217.620068553319,0.174103839177464,0.172630272582329,0,1,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.192865052439143,-0.0650099979689931,0.120134085384278,0,1,NA
"LOC111133372",281.125491545132,0.0560512473649222,0.15963822748644,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",0.753250712158175,-0.0868894230204456,0.275212703252693,0,1,NA
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",104.227605724608,-0.0206241956757862,0.150976861864322,0,1,1
