"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.030295457283444,-0.0119015525402205,0.11911707705566,0,1,1
"LOC111126949",0.0232913746762229,0,0.11911707705566,0,1,1
"LOC111110729",0.242898912259141,-0.0483395954497596,0.125698570518887,0,1,1
"LOC111112434",1.0567349191298,-0.37176156590308,0.278494673189662,-0.437213266984668,0.661956689088373,1
"LOC111120752",0.616752273287608,-0.317699599402583,0.275263678053186,-0.245944542634145,0.805725162550092,1
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.0727682106591506,-0.0119015525402205,0.11911707705566,0,1,1
"LOC111105691",0.0681903656050016,-0.0119015525402205,0.11911707705566,0,1,1
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.0545566207451362,-0.0119015525402205,0.11911707705566,0,1,1
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",1.26576526172825,-0.51519849346729,0.280502104863924,-0.945442080001296,0.344433227610457,1
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.126519238986471,0,0.119146775800769,0,1,1
"LOC111109452",18.7750522023639,-0.00629771050240821,0.357492217733388,0,1,1
"LOC111124802",217.689884976906,0.0165804769796875,0.124084838164198,0,1,1
"LOC111101273",79.7059422987005,-0.226399629253661,0.150742442518563,0,1,1
"LOC111101250",127.136661115268,-0.152814562698326,0.183476160614276,0,1,1
"LOC111101262",278.6659824532,0.10504832760608,0.120710772172073,0,1,1
"LOC111133260",47.3276055937884,0.0544682230759614,0.18972971024853,0,1,1
"LOC111113503",16.9103726230301,-0.103924401784249,0.303467133597511,0,1,1
"LOC111102393",24.9336373342945,-0.248378347938552,0.291118292297166,0,1,1
"LOC111119377",48.7182052061978,0.465180092125868,0.359881038085841,0.597920060668887,0.549893273722259,1
"LOC111101799",13.7817015569283,-0.245967695710592,0.340638117765082,0,1,1
"LOC111117743",22.8664161583936,-0.475315642310656,0.240925576941196,-0.935208478781188,NA,NA
"LOC111117672",235.363674179166,-0.126129662435172,0.137944402205045,0,1,1
"LOC111114053",30.9480585284751,-0.276921519490403,0.28397107911927,-0.0948037369646902,0.924470718575597,1
"LOC111109809",2.62945542241898,0.466045723344958,0.360241396226193,0.59972486673715,0.548689612977901,1
"LOC111102064",0.0890555027281524,0,0.119137769258436,0,1,1
"LOC111112773",0.100655074121898,0,0.11911707705566,0,1,1
"LOC111135169",0.202923808337187,-0.0299212638164174,0.121476833022443,0,1,1
"LOC111135172",1.65964492531604,-0.436490285803794,0.203121069918617,-0.918123786363047,0.358554063175213,1
"LOC111135178",0,NA,NA,NA,NA,NA
"LOC111114201",543.274984902192,-0.0231330443049974,0.122384115759254,0,1,1
"LOC111114212",189.123253416358,0.110801037449815,0.120394207649223,0,1,1
"LOC111138315",144.391162138234,0.265183620870923,0.163571467691609,0.0928256075781453,0.926042106933918,1
"LOC111138321",153.195183233385,0.12999314014871,0.163778875917025,0,1,1
"LOC111121058",65.2307150398227,-0.15868584131961,0.268958464815317,0,1,1
"LOC111138070",2.76999304189432,-0.142879873365221,0.141192671276846,0,1,1
"LOC111108931",3.07233367588583,0.235183415535704,0.302161735208579,0,1,1
"LOC111108878",0,NA,NA,NA,NA,NA
"LOC111108901",68.4455774393693,-0.0255724174961953,0.225420207301637,0,1,1
"LOC111130095",35.5105593556622,-0.034442824983947,0.238641268471832,0,1,1
"LOC111103204",0.0800128527996621,-0.0440250393274004,0.11911707705566,0,1,1
"LOC111103224",2.10888430365046,-0.0160703085747975,0.308045106716768,0,1,1
"LOC111131060",0.0885341339902045,-0.0119015525402205,0.11911707705566,0,1,1
"LOC111131074",46.4584949497063,0.21518081691634,0.264841637494252,0,1,1
"LOC111131094",0.0549188905976138,-0.0279632959338105,0.11911707705566,0,1,1
"LOC111131052",0.0729159675787553,0,0.11911707705566,0,1,1
"LOC111116497",0.295971690255472,-0.080412531932381,0.128388764862936,0,1,1
"LOC111115921",0.0521927586854708,-0.0440250393274004,0.11911707705566,0,1,1
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0424727533757066,0,0.11911707705566,0,1,1
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.061912763995235,-0.0600867827209903,0.11911707705566,0,1,1
"LOC111113087",0.0282564483352988,0,0.11911707705566,0,1,1
"LOC111136780",217.620068553319,-0.142463745891421,0.17342712298399,0,1,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.192865052439143,-0.0611898403286512,0.119624793136397,0,1,1
"LOC111133372",281.125491545132,-0.143315405152866,0.160135874517132,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",0.753250712158175,-0.0605135836062651,0.272563631701372,0,1,1
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",104.227605724608,0.0610500099224956,0.151445022027115,0,1,1
"LOC111105880",11.6459743024977,-0.415441885149611,0.359126675567865,-0.460678352249962,0.645029388425197,1
"LOC111102585",3.6922024547151,0.377809169934452,0.35017792464349,0.364983515350297,0.715123711530292,1
"LOC111099747",18.2632464607602,-0.0603201277410515,0.342026584415435,0,1,1
"LOC111128995",12.1583792960271,-0.223250705579708,0.301312549691004,0,1,1
"LOC111124195",0.12278484744801,-0.0119015525402205,0.11911707705566,0,1,1
