"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.030295457283444,0.0235475561919931,0.11911707705566,0,1,NA
"LOC111126949",0.0232913746762229,-0.00857593059518682,0.11911707705566,0,1,NA
"LOC111110729",0.242898912259141,0.0168541423710112,0.126211090859303,0,1,NA
"LOC111112434",1.0567349191298,-0.446553473182653,0.287804054472848,-0.68294198823108,0.494643500470674,NA
"LOC111120752",0.616752273287608,-0.3320829935562,0.284599781907392,-0.288415518121898,0.77302869044518,NA
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.0727682106591506,-0.00739956000546029,0.119264114279054,0,1,NA
"LOC111105691",0.0681903656050016,0.00689697568080616,0.119157462762456,0,1,NA
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.0545566207451362,0.0235475561919931,0.11911707705566,0,1,NA
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",1.26576526172825,-0.0110815361981779,0.2864527812378,0,1,NA
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.126519238986471,-0.0230237522284989,0.119431645161374,0,1,NA
"LOC111109452",18.7750522023639,0.155967876549109,0.355804226708874,0,1,1
"LOC111124802",217.689884976906,-0.0739268935181206,0.116942970011899,0,1,1
"LOC111101273",79.7059422987005,-0.113594574310366,0.14010314907085,0,1,1
"LOC111101250",127.136661115268,-0.0194530292552819,0.177097299485595,0,1,1
"LOC111101262",278.6659824532,-0.0872826162689393,0.1141343309126,0,1,1
"LOC111133260",47.3276055937884,0.960998121735029,0.184456481493151,3.8545575410503,0.000115939114145748,0.0258458343719725
"LOC111113503",16.9103726230301,-0.458684798712457,0.287362806456655,-0.726206711597991,0.467712058123946,1
"LOC111102393",24.9336373342945,-0.15418910771097,0.281519857622653,0,1,1
"LOC111119377",48.7182052061978,0.348083823374807,0.359241699916041,0.273030172715836,0.784830021934104,1
"LOC111101799",13.7817015569283,-0.903362034092504,0.33086548084917,-1.97470595123928,0.0483015271819119,0.860138734047124
"LOC111117743",22.8664161583936,-0.0129218356443099,0.241369344879889,0,NA,NA
"LOC111117672",235.363674179166,-0.270897099488537,0.131674328972811,-0.158702912341041,0.873902943545361,1
"LOC111114053",30.9480585284751,0.278578119703008,0.277605872380349,0.10294493937741,0.918006670678559,1
"LOC111109809",2.62945542241898,1.69825058073638,0.360173374694243,4.02098178957794,5.79560856853294e-05,0.0142805484267243
"LOC111102064",0.0890555027281524,-0.0522618345006315,0.119435149797379,0,1,NA
"LOC111112773",0.100655074121898,0,0.119265263404548,0,1,NA
"LOC111135169",0.202923808337187,0.00327410776922236,0.121810219322846,0,1,NA
"LOC111135172",1.65964492531604,-0.0345912163101479,0.205730680454112,0,1,NA
"LOC111135178",0,NA,NA,NA,NA,NA
"LOC111114201",543.274984902192,-0.138734663782652,0.118793391552412,0,1,1
"LOC111114212",189.123253416358,0.452854933314933,0.114184346393136,1.77655641708107,0.0756412517727646,1
"LOC111138315",144.391162138234,0.1018721745577,0.155053999561035,0,1,1
"LOC111138321",153.195183233385,-0.222289102192569,0.155286683885222,0,1,1
"LOC111121058",65.2307150398227,-0.0111300858507218,0.263470310332185,0,1,1
"LOC111138070",2.76999304189432,0.00308417919208841,0.142170805381213,0,1,1
"LOC111108931",3.07233367588583,-0.250656302075333,0.311961261038052,-0.00210379350676178,0.998321416880058,1
"LOC111108878",0,NA,NA,NA,NA,NA
"LOC111108901",68.4455774393693,-0.479736244642022,0.214637092474338,-1.07034735699045,0.284462985483722,1
"LOC111130095",35.5105593556622,-0.521934738434621,0.221675703600665,-1.22672324489153,0.219926627955273,1
"LOC111103204",0.0800128527996621,0,0.11911707705566,0,1,NA
"LOC111103224",2.10888430365046,-0.537801560988548,0.319590908791123,-0.900531126111123,0.367837668603202,NA
"LOC111131060",0.0885341339902045,0.037363699871452,0.119265263404548,0,1,NA
"LOC111131074",46.4584949497063,-0.151463365930918,0.252505549571397,0,1,1
"LOC111131094",0.0549188905976138,0.0231395917049811,0.11914519036609,0,1,NA
"LOC111131052",0.0729159675787553,-0.00878674095998391,0.119154939939845,0,1,NA
"LOC111116497",0.295971690255472,-0.0155815567502816,0.128987907072193,0,1,NA
"LOC111115921",0.0521927586854708,-0.00878674095998391,0.119154939939845,0,1,NA
"LOC111116467",0,NA,NA,NA,NA,NA
"LOC111104259",0.0424727533757066,-0.0243955371162554,0.11916291236829,0,1,NA
"LOC111114340",0,NA,NA,NA,NA,NA
"LOC111134965",0,NA,NA,NA,NA,NA
"LOC111111519",0.061912763995235,0,0.11914519036609,0,1,NA
"LOC111113087",0.0282564483352988,0,0.11911707705566,0,1,NA
"LOC111136780",217.620068553319,-0.31656758506898,0.168274714426374,-0.395588756729732,0.692408432748331,1
"LOC111136794",0,NA,NA,NA,NA,NA
"LOC111118408",0.192865052439143,0.00382015764082799,0.120047785875577,0,1,NA
"LOC111133372",281.125491545132,-0.199366652517776,0.155762086709557,0,1,1
"LOC111118838",0,NA,NA,NA,NA,NA
"LOC111118844",0.753250712158175,0.0263758394143458,0.281031422867463,0,1,NA
"LOC111110627",0,NA,NA,NA,NA,NA
"LOC111137104",104.227605724608,0.0816742055981489,0.141711388741698,0,1,1
"LOC111105880",11.6459743024977,-0.143911564369259,0.35724851660825,0,1,1
"LOC111102585",3.6922024547151,-0.0468682334933452,0.35675481638867,0,1,1
"LOC111099747",18.2632464607602,-0.557875909570131,0.335353621872676,-0.918063469393579,0.358585638443786,1
"LOC111128995",12.1583792960271,0.240457107658095,0.290770003417402,0,1,1
"LOC111124195",0.12278484744801,0.0231395917049811,0.11914519036609,0,1,NA
"LOC111129046",0.0465827493524458,-0.0254075810114048,0.11916960773928,0,1,NA
"LOC111129066",0.280182892918832,-0.108636281970592,0.120685501016743,0,1,NA
"LOC111124462",0,NA,NA,NA,NA,NA
"LOC111115406",10.7957603085649,7.22033665750874e-05,0.361702161107863,0,1,1
"LOC111135942",14.4232048382187,0.241523263489257,0.330353366588968,0,1,1
"LOC111135933",0,NA,NA,NA,NA,NA
"LOC111114441",0.399839175690762,-0.0617461380062759,0.209962833877333,0,1,NA
"LOC111114430",3.17621451552802,-0.769782116735575,0.361814854170249,-1.43659695212789,0.150832550151805,1
"LOC111111547",0,NA,NA,NA,NA,NA
"LOC111103592",0.0592128303329163,0,0.11914519036609,0,1,NA
"LOC111129108",0,NA,NA,NA,NA,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111135210",0.674200670055983,-0.0553919689717069,0.268996769448198,0,1,NA
"LOC111113958",0.926652935572539,0.20468645711828,0.299631579116329,0,1,NA
"LOC111103230",4.7376548467142,-0.362486194629047,0.36194342885306,-0.310783911688901,0.755964901076589,1
"LOC111101640",1.61177508576341,-0.00857241134303569,0.327206582094718,0,1,NA
"LOC111103171",0.331587576915563,-0.0463939410079784,0.153843033203132,0,1,NA
"LOC111103163",1.22018480002171,0.205533696759192,0.278444788631749,0,1,NA
"LOC111103177",0.386067897477298,-0.0591534822209694,0.135765152937666,0,1,NA
"LOC111115024",0,NA,NA,NA,NA,NA
"LOC111115591",0.781054566014555,-0.353801965132767,0.250062548547658,-0.415104003920779,0.678065768498036,NA
"LOC111119406",0,NA,NA,NA,NA,NA
"LOC111102439",0,NA,NA,NA,NA,NA
"LOC111102448",92.9673329510582,-0.029025593251392,0.153626117158472,0,1,1
"LOC111129274",0.882596788029599,0.186795615603256,0.323244080540527,0,1,NA
"LOC111113346",58.7855970584134,0.239751704664799,0.23503685549141,0,1,1
"LOC111100652",64.6523095582097,-0.682099637606859,0.24598355520378,-1.75662001977691,0.0789825982867915,1
"LOC111134791",213.100604486417,-0.0439932280580465,0.151629634439505,0,1,1
"LOC111128971",96.2630240386569,-0.107651929297129,0.173107359952857,0,1,1
"LOC111104153",29.3501458163101,0.824459025761007,0.303837632504462,1.89067766565279,0.0586673856208982,0.950522191257567
"LOC111134573",0.18396392061931,-0.00498622820850129,0.12013323765205,0,1,NA
"LOC111129318",4.4923589272951,-0.338034005569319,0.254914846803081,-0.345346717436681,0.72983372908461,1
"LOC111134552",0.537123391127585,0.309381913913605,0.218961357403325,0.271198144813397,0.78623863975802,NA
"LOC111134566",3.44606612893559,0.469079017904354,0.312245437268272,0.701624401051305,0.482913430194565,1
"LOC111121766",0.216712054287225,0,0.119265263412651,0,1,NA
"LOC111121733",89.4863736597523,0.159133255738285,0.228915491565766,0,1,1
"LOC111129336",1.09337898031004,0.235141933541621,0.315231161397231,0,1,NA
"LOC111109736",0.259099883966642,0.0970876310835312,0.120558421630609,0,1,NA
"LOC111109754",29.9544923040558,0.0145831334998785,0.216143391906611,0,1,1
"LOC111109763",0.249538089568846,0.00271046052509988,0.123113056227297,0,1,NA
"LOC111129344",0,NA,NA,NA,NA,NA
"LOC111109745",2.46151244980514,-0.132583508110928,0.361999190352143,0,1,NA
"LOC111132141",0,NA,NA,NA,NA,NA
"LOC111129349",0.100655074121898,0,0.119265263404548,0,1,NA
"LOC111132148",0,NA,NA,NA,NA,NA
"LOC111132134",0,NA,NA,NA,NA,NA
"LOC111132126",0.778455182582237,0.0210895566204735,0.214584075093032,0,1,NA
"LOC111099207",5.46366612364275,-0.00334480794160177,0.354416159772194,0,1,1
"LOC111115013",5.48397613691905,-0.714626273550922,0.351366955088291,-1.32233912956946,0.186055248405105,1
"LOC111132349",0.0509394356442456,0.00767724298275755,0.119152249488111,0,1,NA
"LOC111129373",0,NA,NA,NA,NA,NA
"LOC111132366",0.0580846608235955,-0.0091647677127838,0.119157462762456,0,1,NA
"LOC111103463",0.270445615128105,-0.13535224089414,0.227285645702528,0,1,NA
"LOC111131773",0.200840595638359,-0.0254075810114048,0.11916960773928,0,1,NA
"LOC111131721",53.3377899351799,-0.272839068282356,0.232852604188413,-0.0980838001016132,0.921865751140332,1
"LOC111131752",10.8488086351003,0.852449094908733,0.330247077583761,1.82423747491281,0.0681161783859948,0.98793473173413
"LOC111131766",8.37276780273031,1.01723931558554,0.356393009731043,2.15279002291471,0.0313351846141178,0.704209865598512
"LOC111129378",0.244428815263711,0.0318606031043226,0.151117369978359,0,1,NA
"LOC111131682",199.305128530709,-0.303181297793894,0.101259727761646,-0.525196926453098,0.599446301335873,1
"LOC111128103",335.296054949328,-0.0155663974159069,0.125473248217722,0,1,1
"LOC111100789",0.69261680881213,-0.0213640501500253,0.262384821564516,0,1,NA
"LOC111100985",2.77895875523108,-0.457364119167174,0.231399299824196,-0.896131143545882,NA,NA
"LOC111103238",0,NA,NA,NA,NA,NA
"LOC111103245",0.740652463423349,0.0674386446014238,0.124993297692214,0,1,NA
"LOC111112387",141.772573550842,0.0774509032796194,0.171687012242049,0,1,1
"LOC111114799",21.0704549838684,-0.248861676223118,0.297641773148166,0,1,1
"LOC111129421",17.360798939445,-0.200106951248187,0.309453426125007,0,1,1
"LOC111129446",111.589736001415,0.269391555207943,0.177742091290951,0.109099398274774,0.91312365214886,1
"LOC111100566",56.3880344402423,-0.0715188378677312,0.191927165164234,0,1,1
