"name","term","lev","seq","value"
"negative regulation of cell cycle","GO:0031570;GO:0000075;GO:0045786",5,"LOC111123010",0.63793820374769
"chromatin organization","GO:0006325",2,"LOC111115365",0.0458248865058654
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111101410",-0.417797251336053
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111104183",-0.326473768511891
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111106194",0
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111110780",-0.177501810428134
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111111546",-0.35938794084376
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111114430",0.950282410178841
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111125280",-0.787300262894897
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111130689",-0.0636295657033677
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111130869",0.325093255600693
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111132990",-0.237882365403737
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111133414",-0.256806360036302
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111134594",0.303831004950198
"negative regulation of biological process","GO:0048519;GO:0010629;GO:0010605;GO:0009892",3,"LOC111135353",0.987580165242748
"cellular macromolecule biosynthetic process","GO:0034645",2,"LOC111110369",-0.272959688530487
"cellular macromolecule biosynthetic process","GO:0034645",2,"LOC111137903",-0.18552196810277
"organelle assembly","GO:0000045;GO:0070925;GO:1905037;GO:0007033",2,"LOC111124607",-0.0636295657033678
"organelle assembly","GO:0000045;GO:0070925;GO:1905037;GO:0007033",2,"LOC111127879",0.401054344312253
"organelle assembly","GO:0000045;GO:0070925;GO:1905037;GO:0007033",2,"LOC111131691",0.247225141349865
"organelle assembly","GO:0000045;GO:0070925;GO:1905037;GO:0007033",2,"LOC111124399",0.947200984275765
"organelle assembly","GO:0000045;GO:0070925;GO:1905037;GO:0007033",2,"LOC111126629",-0.0586910741080637
"DNA metabolic process","GO:0006259",2,"LOC111102289",-0.0195858267049879
"DNA metabolic process","GO:0006259",2,"LOC111109182",0.539655239606155
"DNA metabolic process","GO:0006259",2,"LOC111116348",0.0446272846667307
"DNA metabolic process","GO:0006259",2,"LOC111119455",-0.237906416653948
"DNA metabolic process","GO:0006259",2,"LOC111122310",-0.424124386652974
"DNA metabolic process","GO:0006259",2,"LOC111122669",-0.205157630481416
"DNA metabolic process","GO:0006259",2,"LOC111124988",0.512067728011324
"DNA metabolic process","GO:0006259",2,"LOC111127309",-0.974166813086221
"DNA metabolic process","GO:0006259",2,"LOC111135581",-0.0336158858553378
"carbohydrate derivative metabolic process","GO:1901137;GO:1901135",4,"LOC111108608",0.113944347161667
"carbohydrate derivative metabolic process","GO:1901137;GO:1901135",4,"LOC111100351",0.226003799441534
