"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.030295457283444,0.0136082736262432,0.104915127202856,0,1,NA
"LOC111126949",0.0232913746762229,-0.00639825614052999,0.104915127202856,0,1,NA
"LOC111110729",0.242898912259141,0.0133850056541612,0.131789707564652,0,1,NA
"LOC111112434",1.0567349191298,-0.289765341010642,0.241399713086032,-0.164728203286929,0.869157917213638,NA
"LOC111120752",0.616752273287608,-0.344006986158943,0.243727390983959,-0.385705462892064,0.699714816531518,NA
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.0727682106591506,-0.00566055272208673,0.10498012754233,0,1,NA
"LOC111105691",0.0681903656050016,0.00317485710235249,0.104935629899639,0,1,NA
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.0545566207451362,0.0136082736262432,0.104915127202856,0,1,NA
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",1.26576526172825,-0.159262307177899,0.234807551896162,0,1,NA
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.126519238986471,0.004343300757627,0.105065281344676,0,1,NA
"LOC111109452",18.7750522023639,-0.0935359282089378,0.275286681199088,0,1,1
"LOC111124802",217.689884976906,-0.0238316077060236,0.0842839781302702,0,1,1
"LOC111101273",79.7059422987005,-0.16603746148965,0.103209192136016,0,1,1
"LOC111101250",127.136661115268,0.0432473904748329,0.132783300478727,0,1,1
"LOC111101262",278.6659824532,0.03035907638977,0.0882521585712074,0,1,1
"LOC111133260",47.3276055937884,0.577079634812316,0.184249228555838,1.77520219420182,0.0758645075742165,1
"LOC111113503",16.9103726230301,0.0561234471897255,0.234144086139285,0,1,1
"LOC111102393",24.9336373342945,-0.18224816025565,0.205337014127384,0,1,1
"LOC111119377",48.7182052061978,0.4215439164026,0.276831837290474,0.619668308680129,0.535476184314609,1
"LOC111101799",13.7817015569283,-0.701094619604243,0.255375770124994,-1.76639553307447,0.0773295139913224,1
"LOC111117743",1.20242370324402,-0.508169882657197,0.28451880720788,-0.907391272973276,NA,NA
