"","X1","X2","Phase1","Phase2","treatment","sizeFactor","trmt"
"BBB-WBO-B21",-7.13591282221886,-10.8874639594006,"hypoxic","control","hypoxic_control",2.35445060779125,"HC"
"BBB-WBV-B70",-2.62954455715706,-7.97923803405471,"hypoxic","control","hypoxic_control",2.0380737074107,"HC"
"BBO-BBO-B16",4.66357339584951,1.17933971763478,"hypoxic","hypoxic","hypoxic_hypoxic",1.67184876793889,"HH"
"BBO-BBY-B27",4.01754251715159,2.40948989321723,"hypoxic","hypoxic","hypoxic_hypoxic",1.11361077310875,"HH"
"BBO-WBO-B16",-2.35191680868279,-6.95412919899375,"hypoxic","control","hypoxic_control",2.42201377690547,"HC"
"BBO-WBV-B64",-5.43811723722968,-6.94967893707729,"hypoxic","control","hypoxic_control",2.14671743059643,"HC"
"BBR-BBB-B50",4.38557422495373,-0.0130685775938222,"hypoxic","hypoxic","hypoxic_hypoxic",0.916479050885086,"HH"
"BBR-BBG-B38",2.69489883912127,-1.86197545192156,"hypoxic","hypoxic","hypoxic_hypoxic",1.73678194336025,"HH"
"BBR-BBY-B26",4.91192718984754,1.80551974119856,"hypoxic","hypoxic","hypoxic_hypoxic",1.65041245399271,"HH"
"BBY-WBG-B42",-3.96396639957679,-11.1416680664855,"hypoxic","control","hypoxic_control",0.497907306449458,"HC"
"WBB-WBV-W69",-5.69712684908688,0.0473402650029315,"control","control","control_control",1.99905010780937,"CC"
"WBG-BBB-W56",6.02786751563731,4.76197530634406,"control","hypoxic","control_hypoxic",1.76950759722829,"CH"
"WBG-WBG-W44",4.09726895539962,5.68549567721689,"control","control","control_control",0.378691519033664,"CC"
"WBO-BBR-W03",-25.2613209679303,13.6848067623643,"control","hypoxic","control_hypoxic",0.135258666561665,"CH"
"WBO-WBV-W64",2.96411105153147,-2.69411330992434,"control","control","control_control",1.61517583042644,"CC"
"WBR-BBY-W25",0.373694896814184,1.53511947667113,"control","hypoxic","control_hypoxic",0.538341568617579,"CH"
"WBV-WBO-W23",3.67723314583118,-0.0549149456897044,"control","control","control_control",0.62489960363232,"CC"
"WBV-WBR-W12",2.05855786063267,5.7063005162749,"control","control","control_control",0.196810751548057,"CC"
"WBY-BBV-W65",6.29369388831758,5.98250867436912,"control","hypoxic","control_hypoxic",1.49023783757134,"CH"
"WBY-BBY-W30",6.31196216079475,5.73835445084739,"control","hypoxic","control_hypoxic",0.967499918982568,"CH"
