"","X1","X2","Phase1","Phase2","treatment","sizeFactor"
"BBB-WBO-B21",-3.82718142080302,-0.554150073022411,"hypoxic","control","hypoxic_control",2.35445060779125
"BBB-WBV-B70",-3.08516280503763,-0.346855841944754,"hypoxic","control","hypoxic_control",2.0380737074107
"BBO-BBO-B16",1.23877522431252,-0.989413493335922,"hypoxic","hypoxic","hypoxic_hypoxic",1.67184876793889
"BBO-BBY-B27",1.28082830766683,-1.02260167355936,"hypoxic","hypoxic","hypoxic_hypoxic",1.11361077310875
"BBO-WBO-B16",-3.1281175881958,-0.493621041087201,"hypoxic","control","hypoxic_control",2.42201377690547
"BBO-WBV-B64",-3.243235072498,-0.293688184642626,"hypoxic","control","hypoxic_control",2.14671743059643
"BBR-BBB-B50",1.19343350451369,-0.550077429492979,"hypoxic","hypoxic","hypoxic_hypoxic",0.916479050885086
"BBR-BBG-B38",0.566517234768981,-1.32981653605072,"hypoxic","hypoxic","hypoxic_hypoxic",1.73678194336025
"BBR-BBY-B26",1.26860810314086,-0.867251718133846,"hypoxic","hypoxic","hypoxic_hypoxic",1.65041245399271
"BBY-WBG-B42",-3.12969225838703,0.401480751136699,"hypoxic","control","hypoxic_control",0.497907306449458
"WBB-WBV-W69",-0.302644385739538,0.610156589182891,"control","control","control_control",1.99905010780937
"WBG-BBB-W56",2.9291925730381,-0.429399184333363,"control","hypoxic","control_hypoxic",1.76950759722829
"WBG-WBG-W44",1.57586454192023,0.24414207938548,"control","control","control_control",0.378691519033664
"WBO-BBR-W03",-0.0654434196273644,2.47670389621332,"control","hypoxic","control_hypoxic",0.135258666561665
"WBO-WBV-W64",-0.2656303551637,0.414512449812411,"control","control","control_control",1.61517583042644
"WBR-BBY-W25",1.02209731857737,0.646071306884482,"control","hypoxic","control_hypoxic",0.538341568617579
"WBV-WBO-W23",0.336814830307288,0.491881046389023,"control","control","control_control",0.62489960363232
"WBV-WBR-W12",-0.0964527402384292,1.19839752228024,"control","control","control_control",0.196810751548057
"WBY-BBV-W65",3.01600110201331,0.550046172511781,"control","hypoxic","control_hypoxic",1.49023783757134
"WBY-BBY-W30",2.71542730543132,-0.156516638193127,"control","hypoxic","control_hypoxic",0.967499918982568
