"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111116054",0.030295457283444,0,0.119117077055693,0,1,NA
"LOC111126949",0.0232913746762229,-0.0176899352367163,0.119117077055693,0,1,NA
"LOC111110729",0.242898912259141,-0.0635610319688447,0.12618201162029,0,1,NA
"LOC111112434",1.0567349191298,0.118262121858205,0.28457090977805,0,1,NA
"LOC111120752",0.616752273287608,0.203890410280633,0.280935212209944,0,1,NA
"LOC111128944",0,NA,NA,NA,NA,NA
"LOC111128953",0.0727682106591506,-0.00280456243284887,0.119264114279086,0,1,NA
"LOC111105691",0.0681903656050016,-0.0171010981191192,0.119157462762488,0,1,NA
"LOC111105685",0,NA,NA,NA,NA,NA
"LOC111105702",0,NA,NA,NA,NA,NA
"LOC111133554",0,NA,NA,NA,NA,NA
"LOC111125466",0.0545566207451362,0,0.119117077055693,0,1,NA
"LOC111128964",0,NA,NA,NA,NA,NA
"LOC111113860",1.26576526172825,-0.254965578101897,0.2827132552011,-0.0175640087988264,0.985986669063013,NA
"LOC111109550",0,NA,NA,NA,NA,NA
"LOC111109753",0.126519238986471,-0.0353656003905889,0.119431645161407,0,1,NA
"LOC111109452",18.7750522023639,0.208990220919071,0.358100334230246,0,1,1
"LOC111124802",217.689884976906,0.0530293298605089,0.122521750573157,0,1,1
"LOC111101273",79.7059422987005,0.125033069922409,0.149641385044764,0,1,1
"LOC111101250",127.136661115268,-0.234243595436113,0.182056048504401,0,1,1
"LOC111101262",278.6659824532,0.0170539049180664,0.118765212444649,0,1,1
"LOC111133260",47.3276055937884,-1.25290939631612,0.190995945667255,-5.25094599685034,1.51320042798641e-07,0.000120684758275419
"LOC111113503",16.9103726230301,-0.231620573763842,0.290842263644484,0,1,1
"LOC111102393",24.9336373342945,0.109216139663312,0.290340779534035,0,1,1
"LOC111119377",48.7182052061978,-0.281864079517346,0.359783571220425,-0.0885645762235881,0.929427961496463,1
"LOC111101799",13.7817015569283,0.951477756366514,0.338059473018705,2.07501286712265,0.0379853422639882,0.517856795213919
"LOC111117743",22.8664161583936,-0.287886730212575,0.240729361496138,-0.157383087701095,NA,NA
"LOC111117672",235.363674179166,0.161555875261559,0.136602829762028,0,1,1
"LOC111114053",30.9480585284751,-0.95130841331408,0.281100072494852,-2.49487097989605,0.0126002935956808,0.275285543202913
"LOC111109809",2.62945542241898,-1.1160773650774,0.356904047370566,-2.42663923667465,0.015239401363986,0.310163137864669
"LOC111102064",0.0890555027281524,0.0259959686687401,0.119435149797412,0,1,NA
"LOC111112773",0.100655074121898,-0.079691309096962,0.11926526340458,0,1,NA
"LOC111135169",0.202923808337187,-0.0305969280320106,0.121810219322424,0,1,NA
"LOC111135172",1.65964492531604,0.0027971958132367,0.203209129095758,0,1,NA
"LOC111135178",0,NA,NA,NA,NA,NA
"LOC111114201",543.274984902192,-0.171831134492364,0.121199334054872,0,1,1
"LOC111114212",189.123253416358,-0.497248577102676,0.119704983885396,-2.0654827316078,0.0388773477860403,0.522327581080751
