"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"cvn00270","cvn00270","Cysteine and methionine metabolism",43,0.52209627902219,1.71777561832681,0.00302613595441819,0.366162450484601,0.363136314530183,1555,"tags=30%, list=12%, signal=27%","111137596/111122141/111135192/111129934/111136621/111122163/111110831/111130865/111100699/111133693/111106176/111111318/111116065"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",11,-0.679461759786722,-1.74110937347982,0.00904613619843338,0.418153597331684,0.414697782477703,2277,"tags=73%, list=17%, signal=60%","111123661/111124908/111136066/111136438/111107112/111115744/111113990/111127642"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",69,-0.376941130332326,-1.50674417741057,0.0103674445619426,0.418153597331684,0.414697782477703,2797,"tags=41%, list=21%, signal=32%","111120915/111120504/111136148/111135329/111132974/111118535/111130322/111119035/111099792/111114842/111105716/111134187/111123066/111128754/111130152/111125973/111118359/111108477/111129852/111128560/111120856/111120594/111127973/111127274/111114783/111128559/111105834/111133731"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",18,-0.576153253292408,-1.69673665030233,0.0165922680700487,0.501916109118974,0.497768042101462,2054,"tags=50%, list=15%, signal=42%","111124908/111136066/111136438/111131209/111107112/111115744/111113990/111119293/111129730"
"cvn00100","cvn00100","Steroid biosynthesis",10,0.650608301948384,1.48097232899968,0.0537634408602151,0.568139700925267,0.563444331496133,1767,"tags=30%, list=13%, signal=26%","111134862/111134947/111112479"
"cvn00510","cvn00510","N-Glycan biosynthesis",33,-0.428336180705026,-1.47847897554141,0.0610398025787477,0.568139700925267,0.563444331496133,3156,"tags=45%, list=24%, signal=35%","111113415/111118581/111119558/111101820/111125632/111124588/111136555/111101197/111122131/111124498/111134828/111121994/111137033/111136571/111126213"
"cvn00860","cvn00860","Porphyrin metabolism",18,0.538562005765991,1.46417534919647,0.0570469798657718,0.568139700925267,0.563444331496133,324,"tags=22%, list=2%, signal=22%","111111231/111120634/111104407/111117758"
"cvn03460","cvn03460","Fanconi anemia pathway",41,0.44852372224412,1.45382574550658,0.0382262996941896,0.568139700925267,0.563444331496133,2809,"tags=34%, list=21%, signal=27%","111122179/111128124/111126926/111136867/111131048/111119232/111130580/111118905/111113980/111131835/111133998/111108639/111119126/111102631"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",29,0.471773534668598,1.43650089480482,0.0574162679425837,0.568139700925267,0.563444331496133,1855,"tags=34%, list=14%, signal=30%","111128050/111129166/111112794/111125659/111126140/111118200/111136634/111129961/111110946/111122340"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",117,0.366867416307241,1.4322897132915,0.0302780989753749,0.568139700925267,0.563444331496133,3046,"tags=34%, list=23%, signal=27%","111121155/111099688/111100396/111104196/111120860/111137343/111135325/111131129/111119134/111105597/111138340/111104637/111124955/111129295/111105462/111130310/111114538/111102530/111136470/111103790/111120632/111123155/111130966/111110185/111103787/111103271/111120128/111121135/111120086/111128926/111133998/111129467/111132898/111100417/111104077/111121443/111128564/111126002/111103982/111129365"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",35,0.450840587677322,1.41322265282963,0.0571428571428571,0.568139700925267,0.563444331496133,3334,"tags=43%, list=25%, signal=32%","111122141/111128625/111125218/111137062/111130119/111111318/111116065/111123773/111109454/111106392/111131063/111120495/111130726/111119746/111100724"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",57,0.405003641748468,1.40133907309928,0.0476190476190476,0.568139700925267,0.563444331496133,2295,"tags=32%, list=17%, signal=26%","111121480/111128153/111128132/111132055/111102803/111133163/111102690/111130755/111122907/111123620/111128265/111120056/111119695/111128176/111121217/111118815/111121773/111110086"
"cvn00190","cvn00190","Oxidative phosphorylation",53,-0.361281411026677,-1.36676851558604,0.058417858440476,0.568139700925267,0.563444331496133,3012,"tags=36%, list=22%, signal=28%","111114799/111137398/111138187/111129296/111123658/111112645/111132054/111135946/111122264/111130549/111132318/111126131/111126316/111136504/111108193/111121564/111109666/111134337/111101799"
"cvn00591","cvn00591","Linoleic acid metabolism",10,-0.575532396593844,-1.4199743137726,0.0923423423423423,0.620745745745746,0.615615615615616,434,"tags=40%, list=3%, signal=39%","111123661/111127589/111127642/111127588"
"cvn03060","cvn03060","Protein export",17,0.527304372748304,1.40820485711087,0.0847457627118644,0.620745745745746,0.615615615615616,248,"tags=24%, list=2%, signal=23%","111126975/111117985/111131315/111135297"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",12,0.581308031213488,1.38764996159149,0.0891608391608392,0.620745745745746,0.615615615615616,1822,"tags=42%, list=14%, signal=36%","111131432/111128111/111109442/111120655/111124535"
"cvn04068","cvn04068","FoxO signaling pathway",66,0.379702903114611,1.34855529389974,0.0764790764790765,0.620745745745746,0.615615615615616,1758,"tags=29%, list=13%, signal=25%","111119905/111104196/111103474/111130138/111100287/111112940/111125223/111121839/111134713/111119108/111105462/111118834/111120632/111134249/111102390/111128906/111120947/111121739/111121135"
"cvn03040","cvn03040","Spliceosome",92,0.344220965142111,1.2949470891282,0.0785714285714286,0.620745745745746,0.615615615615616,2093,"tags=22%, list=16%, signal=18%","111119918/111102762/111121753/111129301/111131404/111118318/111120158/111119442/111112733/111120267/111107428/111128793/111108517/111125967/111106083/111101880/111137384/111103914/111118013/111127289"
"cvn04980","cvn04980","Cobalamin transport and metabolism",13,-0.512930792274814,-1.38826181391713,0.107476635514019,0.676923076923077,0.671328671328671,1310,"tags=38%, list=10%, signal=35%","111115300/111122749/111126313/111111843/111130560"
"cvn00310","cvn00310","Lysine degradation",31,0.430184343726391,1.33228692760534,0.112324492979719,0.676923076923077,0.671328671328671,1329,"tags=26%, list=10%, signal=23%","111128625/111125659/111110608/111107127/111130627/111112920/111130119/111121380"
"cvn00511","cvn00511","Other glycan degradation",37,0.41151960694892,1.30863072809739,0.118012422360248,0.676923076923077,0.671328671328671,2519,"tags=32%, list=19%, signal=26%","111106920/111106930/111106926/111123898/111104792/111127257/111106927/111102612/111129123/111123884/111111095/111106928"
"cvn01212","cvn01212","Fatty acid metabolism",48,-0.348874979401286,-1.28179139707495,0.123076923076923,0.676923076923077,0.671328671328671,2354,"tags=29%, list=18%, signal=24%","111104702/111119570/111133858/111124908/111136066/111136438/111107112/111134458/111115744/111135553/111103990/111113990/111119293/111129730"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",16,-0.462574152050602,-1.32097843391835,0.131578947368421,0.681766959657426,0.676132521974307,2032,"tags=38%, list=15%, signal=32%","111135121/111134997/111121161/111126974/111134996/111110471"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",14,0.522149209656691,1.30259764952875,0.155172413793103,0.681766959657426,0.676132521974307,1392,"tags=36%, list=10%, signal=32%","111128050/111129166/111112794/111136634/111110946"
"cvn00051","cvn00051","Fructose and mannose metabolism",28,0.425772136629722,1.28872110988364,0.143987341772152,0.681766959657426,0.676132521974307,2481,"tags=32%, list=19%, signal=26%","111131432/111128111/111109442/111107727/111138520/111099690/111100475/111099882/111099454"
"cvn00450","cvn00450","Selenocompound metabolism",13,0.527989520760412,1.28679839496823,0.158536585365854,0.681766959657426,0.676132521974307,1783,"tags=38%, list=13%, signal=33%","111122141/111130865/111135137/111099623/111110368"
