"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","MatchesCount"
"1","cvn04814","Motor proteins",111,0.48194930770566,1.45022620007154,0.00577522106530411,0.209234378531277,0.187482740223763,1180,"tags=18%, list=9%, signal=17%","111136151/111134768/111107338/111102596/111112439/111103394/111115784/111129526/111107250/111127380/111134843/111137068/111131563/111119946/111134888/111120500/111129376/111130940/111125250/111131555",7
"2","cvn04144","Endocytosis",132,0.44538533412203,1.35674419865848,0.0183757373711477,0.222346422190888,0.199231678866128,3187,"tags=33%, list=24%, signal=25%","111120187/111125099/111112319/111119513/111112439/111119512/111136896/111104852/111102907/111107174/111136866/111125956/111134954/111112863/111116971/111112700/111135084/111133388/111134171/111121253/111115795/111127289/111129312/111134242/111121335/111121437/111129503/111135594/111106223/111123210/111125223/111105462/111104835/111104585/111104028/111133563/111105923/111119177/111101822/111104196/111137900/111112119/111123772",5
"3","cvn03040","Spliceosome",92,0.398738703393381,1.18287563878397,0.171954964176049,0.579441091577014,0.519203413940256,1558,"tags=16%, list=12%, signal=15%","111112733/111137770/111119513/111119512/111129112/111133954/111121854/111121021/111118318/111119442/111134531/111114893/111136440/111135640/111136164",4
"4","cvn00910","Nitrogen metabolism",10,0.775253329157143,1.61482700455221,0.00841406899675626,0.209234378531277,0.187482740223763,1396,"tags=50%, list=10%, signal=45%","111134700/111100398/111100399/111126492/111135592",3
"5","cvn00562","Inositol phosphate metabolism",47,0.470541309187061,1.30350087337329,0.100540540540541,0.467900207900208,0.419258124521282,2592,"tags=28%, list=19%, signal=22%","111101050/111127799/111125442/111125100/111127562/111126338/111100148/111135914/111134544/111120505/111135557/111138290/111130239",3
"6","cvn04070","Phosphatidylinositol signaling system",55,0.459649220346011,1.29738728576474,0.0986066452304394,0.467900207900208,0.419258124521282,2592,"tags=27%, list=19%, signal=22%","111101050/111127799/111125442/111100277/111125100/111126338/111100148/111135914/111134544/111120505/111135557/111122823/111128823/111138290/111130239",3
"7","cvn04140","Autophagy - animal",104,0.402816576496721,1.206208209389,0.138804457953394,0.573030907278165,0.51345962113659,2580,"tags=26%, list=19%, signal=21%","111125099/111113124/111115682/111111295/111110712/111111995/111130075/111133363/111125870/111107437/111103827/111103778/111121740/111135071/111122737/111102243/111133771/111135557/111120866/111127007/111108144/111131216/111107852/111128115/111129365/111101201/111107462",3
"8","cvn04148","Efferocytosis",98,0.399736776904381,1.19542990187311,0.160569105691057,0.573030907278165,0.51345962113659,1402,"tags=14%, list=10%, signal=13%","111135946/111113124/111121723/111134726/111117970/111110712/111134431/111128659/111117731/111134947/111130916/111127576/111130408/111112330",3
"9","cvn04141","Protein processing in endoplasmic reticulum",108,0.385154014116739,1.15838888189674,0.197368421052632,0.587127592708988,0.526090839921929,2009,"tags=20%, list=15%, signal=17%","111131566/111138095/111137525/111131501/111119513/111119512/111112828/111121846/111126835/111133727/111128114/111118121/111121035/111136571/111121740/111104099/111119846/111102146/111127289/111129841/111137033/111121335",3
"10","cvn03082","ATP-dependent chromatin remodeling",70,0.352665312738714,1.02686085898268,0.458592132505176,0.708922836559326,0.635224464250636,3668,"tags=37%, list=27%, signal=27%","111114820/111125651/111123963/111105716/111104330/111125271/111104315/111117803/111128560/111108477/111114783/111129852/111134187/111114721/111135329/111128559/111119597/111121076/111118354/111121077/111125973/111118359/111132974/111123662/111120856/111105834",3
"11","cvn03013","Nucleocytoplasmic transport",92,0.469136075743215,1.39171249379292,0.0303153916567128,0.260495156081808,0.233414537419976,3062,"tags=34%, list=23%, signal=26%","111101943/111124701/111101410/111124696/111121238/111130920/111129219/111101511/111121980/111118318/111124932/111103910/111129825/111126562/111119442/111138352/111108043/111136554/111135764/111104361/111129063/111125546/111120993/111111382/111125592/111104027/111113217/111135555/111134707/111111376/111108106",2
"12","cvn03460","Fanconi anemia pathway",41,0.519256012494001,1.4049414601647,0.0423913043478261,0.284963768115942,0.255339435545385,3200,"tags=37%, list=24%, signal=28%","111129379/111128124/111130645/111121059/111131048/111129910/111108030/111102874/111119126/111134136/111138268/111128959/111108150/111120979/111131667",2
"13","cvn01230","Biosynthesis of amino acids",67,0.452576080076392,1.30953321714692,0.0813347236704901,0.410062565172054,0.367433181493881,2308,"tags=24%, list=17%, signal=20%","111134810/111116065/111128747/111100398/111100399/111130098/111126492/111111213/111111035/111122808/111128990/111136221/111117164/111132780/111132779/111117165",2
"14","cvn04512","ECM-receptor interaction",23,0.511267227448735,1.25158705870794,0.177184466019417,0.579441091577014,0.519203413940256,1679,"tags=26%, list=12%, signal=23%","111114114/111111291/111113265/111134722/111109289/111119175",2
"15","cvn00250","Alanine, aspartate and glutamate metabolism",32,0.457789558637594,1.18932510289566,0.23868778280543,0.609514393992891,0.546150348684366,4265,"tags=44%, list=31%, signal=30%","111134810/111100398/111100399/111126492/111135360/111104084/111136594/111127491/111123929/111108835/111112622/111133052/111130741/111134252",2
"16","cvn04137","Mitophagy - animal",63,0.387885572007174,1.11912175825317,0.301355578727842,0.66197818864654,0.593160099439701,2485,"tags=25%, list=18%, signal=21%","111115682/111111295/111137396/111111995/111108202/111107437/111112700/111121740/111130067/111132041/111137573/111133771/111127007/111131216/111104494/111128115",2
"17","cvn04820","Cytoskeleton in muscle cells",60,0.382951601586274,1.09486747366255,0.339323467230444,0.664519778134579,0.595437469750862,3517,"tags=35%, list=26%, signal=26%","111114114/111112605/111113265/111134722/111130951/111131563/111126968/111103558/111124927/111126214/111130864/111123024/111128420/111118354/111130257/111125072/111132450/111128702/111125973/111132974/111114836",2
"18","cvn00052","Galactose metabolism",21,0.648460038365527,1.56470875859596,0.0115438309139407,0.209234378531277,0.187482740223763,2261,"tags=38%, list=17%, signal=32%","111101197/111118471/111101820/111113388/111109442/111099882/111120703/111118006",1
"19","cvn03250","Viral life cycle - HIV-1",28,0.60405006301517,1.53518967543695,0.0121044681794953,0.209234378531277,0.187482740223763,2630,"tags=46%, list=19%, signal=37%","111124701/111124696/111129825/111111579/111108190/111135084/111128997/111124977/111106750/111123417/111130886/111104027/111135329",1
"20","cvn00380","Tryptophan metabolism",31,0.583486016992858,1.50647206457204,0.0173148419427448,0.222346422190888,0.199231678866128,2378,"tags=42%, list=18%, signal=35%","111127901/111100724/111103451/111134248/111133558/111112920/111115614/111121380/111125148/111109254/111130627/111108303/111103498",1
