From	To	Species	Gene Name
LOC111104814	111104814	Crassostrea virginica	E3 UFM1-protein ligase 1 homolog(LOC111104814)
LOC111104811	111104811	Crassostrea virginica	uncharacterized LOC111104811(LOC111104811)
LOC111104817	111104817	Crassostrea virginica	glutamine-dependent NAD(+) synthetase-like(LOC111104817)
LOC111104816	111104816	Crassostrea virginica	tripartite motif-containing protein 45-like(LOC111104816)
LOC111104803	111104803	Crassostrea virginica	polyphosphoinositide phosphatase-like(LOC111104803)
LOC111104802	111104802	Crassostrea virginica	glutamate receptor ionotropic, kainate 2-like(LOC111104802)
LOC111104809	111104809	Crassostrea virginica	uncharacterized LOC111104809(LOC111104809)
LOC111104805	111104805	Crassostrea virginica	TFIIH basal transcription factor complex helicase XPB subunit-like(LOC111104805)
LOC111116810	111116810	Crassostrea virginica	uncharacterized LOC111116810(LOC111116810)
LOC111116819	111116819	Crassostrea virginica	uncharacterized LOC111116819(LOC111116819)
LOC111116816	111116816	Crassostrea virginica	putative nuclease HARBI1(LOC111116816)
LOC111104835	111104835	Crassostrea virginica	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like(LOC111104835)
LOC111104834	111104834	Crassostrea virginica	F-box/LRR-repeat protein 3-like(LOC111104834)
LOC111128804	111128804	Crassostrea virginica	uncharacterized LOC111128804(LOC111128804)
LOC111103500	111103500	Crassostrea virginica	probable beta-D-xylosidase 5(LOC111103500)
LOC111128801	111128801	Crassostrea virginica	uncharacterized LOC111128801(LOC111128801)
LOC111128800	111128800	Crassostrea virginica	FERM domain-containing protein 5-like(LOC111128800)
LOC111128807	111128807	Crassostrea virginica	putative amine oxidase [copper-containing](LOC111128807)
LOC111103509	111103509	Crassostrea virginica	MORC family CW-type zinc finger protein 3-like(LOC111103509)
LOC111104839	111104839	Crassostrea virginica	cytochrome b5 reductase 4-like(LOC111104839)
LOC111128809	111128809	Crassostrea virginica	F-box/WD repeat-containing protein 5-like(LOC111128809)
LOC111128808	111128808	Crassostrea virginica	SUMO-specific isopeptidase USPL1-like(LOC111128808)
LOC111116808	111116808	Crassostrea virginica	uncharacterized LOC111116808(LOC111116808)
LOC111104825	111104825	Crassostrea virginica	uncharacterized LOC111104825(LOC111104825)
LOC111104824	111104824	Crassostrea virginica	E3 ubiquitin-protein ligase TRIM33-like(LOC111104824)
LOC111128812	111128812	Crassostrea virginica	vesicular glutamate transporter 3-like(LOC111128812)
LOC111128811	111128811	Crassostrea virginica	vesicular glutamate transporter 3-like(LOC111128811)
LOC111115506	111115506	Crassostrea virginica	uncharacterized LOC111115506(LOC111115506)
LOC111115500	111115500	Crassostrea virginica	multidrug resistance-associated protein 1-like(LOC111115500)
LOC111116830	111116830	Crassostrea virginica	neurogenic locus notch homolog protein 2-like(LOC111116830)
LOC111115501	111115501	Crassostrea virginica	YEATS domain-containing protein 2-like(LOC111115501)
LOC111104850	111104850	Crassostrea virginica	molybdenum cofactor biosynthesis protein 1-like(LOC111104850)
LOC111115508	111115508	Crassostrea virginica	kinesin-II 95 kDa subunit-like(LOC111115508)
LOC111104852	111104852	Crassostrea virginica	charged multivesicular body protein 2a-like(LOC111104852)
LOC111116825	111116825	Crassostrea virginica	tudor and KH domain-containing protein-like(LOC111116825)
LOC111103515	111103515	Crassostrea virginica	uncharacterized LOC111103515(LOC111103515)
LOC111104847	111104847	Crassostrea virginica	uncharacterized LOC111104847(LOC111104847)
LOC111103516	111103516	Crassostrea virginica	neuron navigator 2-like(LOC111103516)
LOC111103513	111103513	Crassostrea virginica	cyclic AMP-responsive element-binding protein 3-like protein 1(LOC111103513)
LOC111103514	111103514	Crassostrea virginica	SAM and SH3 domain-containing protein 1-like(LOC111103514)
LOC111103512	111103512	Crassostrea virginica	uncharacterized LOC111103512(LOC111103512)
LOC111103510	111103510	Crassostrea virginica	SET domain-containing protein 4-like(LOC111103510)
LOC111103517	111103517	Crassostrea virginica	uncharacterized LOC111103517(LOC111103517)
LOC111115528	111115528	Crassostrea virginica	tripartite motif-containing protein 45-like(LOC111115528)
LOC111116857	111116857	Crassostrea virginica	uncharacterized LOC111116857(LOC111116857)
LOC111128841	111128841	Crassostrea virginica	uncharacterized LOC111128841(LOC111128841)
LOC111127510	111127510	Crassostrea virginica	uncharacterized protein KIAA1109-like(LOC111127510)
LOC111115529	111115529	Crassostrea virginica	uncharacterized LOC111115529(LOC111115529)
LOC111128847	111128847	Crassostrea virginica	uncharacterized LOC111128847(LOC111128847)
LOC111128846	111128846	Crassostrea virginica	uncharacterized LOC111128846(LOC111128846)
LOC111102218	111102218	Crassostrea virginica	uncharacterized metal-dependent hydrolase YcfH-like(LOC111102218)
LOC111104878	111104878	Crassostrea virginica	uncharacterized LOC111104878(LOC111104878)
LOC111127518	111127518	Crassostrea virginica	uncharacterized LOC111127518(LOC111127518)
LOC111128843	111128843	Crassostrea virginica	uncharacterized LOC111128843(LOC111128843)
LOC111127512	111127512	Crassostrea virginica	uncharacterized LOC111127512(LOC111127512)
LOC111127513	111127513	Crassostrea virginica	peroxiredoxin-6-like(LOC111127513)
LOC111102211	111102211	Crassostrea virginica	structural maintenance of chromosomes flexible hinge domain-containing protein 1-like(LOC111102211)
LOC111128844	111128844	Crassostrea virginica	neuropeptide F receptor-like(LOC111128844)
LOC111115520	111115520	Crassostrea virginica	uncharacterized LOC111115520(LOC111115520)
LOC111116845	111116845	Crassostrea virginica	toll-like receptor 2(LOC111116845)
LOC111116844	111116844	Crassostrea virginica	flocculation protein FLO11-like(LOC111116844)
LOC111127521	111127521	Crassostrea virginica	uncharacterized LOC111127521(LOC111127521)
LOC111128858	111128858	Crassostrea virginica	thioredoxin-related transmembrane protein 1-like(LOC111128858)
LOC111128857	111128857	Crassostrea virginica	F-box only protein 28-like(LOC111128857)
LOC111102207	111102207	Crassostrea virginica	uncharacterized LOC111102207(LOC111102207)
LOC111103535	111103535	Crassostrea virginica	uncharacterized LOC111103535(LOC111103535)
LOC111128859	111128859	Crassostrea virginica	C-myc promoter-binding protein-like(LOC111128859)
LOC111104866	111104866	Crassostrea virginica	PEST proteolytic signal-containing nuclear protein-like(LOC111104866)
LOC111127522	111127522	Crassostrea virginica	sodium/glucose cotransporter 4-like(LOC111127522)
LOC111102202	111102202	Crassostrea virginica	uncharacterized LOC111102202(LOC111102202)
LOC111103534	111103534	Crassostrea virginica	ferredoxin-fold anticodon-binding domain-containing protein 1-like(LOC111103534)
LOC111104864	111104864	Crassostrea virginica	uncharacterized LOC111104864(LOC111104864)
LOC111128856	111128856	Crassostrea virginica	pre-mRNA-splicing factor CWC22 homolog(LOC111128856)
LOC111127525	111127525	Crassostrea virginica	zinc finger protein 570-like(LOC111127525)
LOC111128855	111128855	Crassostrea virginica	uncharacterized LOC111128855(LOC111128855)
LOC111116840	111116840	Crassostrea virginica	uncharacterized LOC111116840(LOC111116840)
LOC111103539	111103539	Crassostrea virginica	synapse-associated protein 1-like(LOC111103539)
LOC111114212	111114212	Crassostrea virginica	coatomer subunit alpha-like(LOC111114212)
LOC111114214	111114214	Crassostrea virginica	protein ALP1-like(LOC111114214)
LOC111104894	111104894	Crassostrea virginica	uncharacterized LOC111104894(LOC111104894)
LOC111104893	111104893	Crassostrea virginica	uncharacterized LOC111104893(LOC111104893)
LOC111103560	111103560	Crassostrea virginica	dynein heavy chain 1, axonemal-like(LOC111103560)
LOC111102230	111102230	Crassostrea virginica	molybdenum cofactor sulfurase-like(LOC111102230)
LOC111128825	111128825	Crassostrea virginica	TPR and ankyrin repeat-containing protein 1-like(LOC111128825)
LOC111103568	111103568	Crassostrea virginica	putative ATP-dependent RNA helicase DHX33(LOC111103568)
LOC111102237	111102237	Crassostrea virginica	poly(rC)-binding protein 3-like(LOC111102237)
LOC111102238	111102238	Crassostrea virginica	probable signal peptidase complex subunit 2(LOC111102238)
LOC111128821	111128821	Crassostrea virginica	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B-like(LOC111128821)
LOC111102235	111102235	Crassostrea virginica	aquaporin-like(LOC111102235)
LOC111103567	111103567	Crassostrea virginica	uncharacterized LOC111103567(LOC111103567)
LOC111128823	111128823	Crassostrea virginica	calmodulin-alpha-like(LOC111128823)
LOC111103564	111103564	Crassostrea virginica	ataxin-7-like protein 3(LOC111103564)
LOC111102234	111102234	Crassostrea virginica	protein phosphatase 1L-like(LOC111102234)
LOC111116870	111116870	Crassostrea virginica	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial-like(LOC111116870)
LOC111116869	111116869	Crassostrea virginica	MYCBP-associated protein-like(LOC111116869)
LOC111114205	111114205	Crassostrea virginica	uncharacterized LOC111114205(LOC111114205)
LOC111116868	111116868	Crassostrea virginica	uncharacterized LOC111116868(LOC111116868)
LOC111114201	111114201	Crassostrea virginica	vacuolar protein sorting-associated protein 13B-like(LOC111114201)
LOC111115535	111115535	Crassostrea virginica	dipeptidyl peptidase 9-like(LOC111115535)
LOC111115534	111115534	Crassostrea virginica	PDF receptor-like(LOC111115534)
LOC111127504	111127504	Crassostrea virginica	uncharacterized LOC111127504(LOC111127504)
LOC111103559	111103559	Crassostrea virginica	uveal autoantigen with coiled-coil domains and ankyrin repeats-like(LOC111103559)
LOC111128838	111128838	Crassostrea virginica	tyrosine-protein kinase JAK2-like(LOC111128838)
LOC111103557	111103557	Crassostrea virginica	NADP-dependent malic enzyme-like(LOC111103557)
LOC111104889	111104889	Crassostrea virginica	uncharacterized LOC111104889(LOC111104889)
LOC111127507	111127507	Crassostrea virginica	heat shock 70 kDa protein 12B-like(LOC111127507)
LOC111128837	111128837	Crassostrea virginica	lysine-specific demethylase 5A-like(LOC111128837)
LOC111103558	111103558	Crassostrea virginica	dystrophin-like(LOC111103558)
LOC111104888	111104888	Crassostrea virginica	uncharacterized LOC111104888(LOC111104888)
LOC111103555	111103555	Crassostrea virginica	uncharacterized LOC111103555(LOC111103555)
LOC111128831	111128831	Crassostrea virginica	hypoxia-inducible factor 1-alpha-like(LOC111128831)
LOC111102225	111102225	Crassostrea virginica	uncharacterized LOC111102225(LOC111102225)
LOC111128834	111128834	Crassostrea virginica	ubiquitin carboxyl-terminal hydrolase 34-like(LOC111128834)
LOC111128833	111128833	Crassostrea virginica	B-cell lymphoma/leukemia 11A-like(LOC111128833)
LOC111114200	111114200	Crassostrea virginica	piggyBac transposable element-derived protein 4-like(LOC111114200)
LOC111116860	111116860	Crassostrea virginica	uncharacterized LOC111116860(LOC111116860)
LOC111138205	111138205	Crassostrea virginica	uncharacterized LOC111138205(LOC111138205)
LOC111114238	111114238	Crassostrea virginica	DNA mismatch repair protein Mlh1-like(LOC111114238)
LOC111115569	111115569	Crassostrea virginica	actin-related protein 2/3 complex subunit 2-like(LOC111115569)
LOC111138204	111138204	Crassostrea virginica	probable E3 ubiquitin-protein ligase HECTD2(LOC111138204)
LOC111114234	111114234	Crassostrea virginica	uncharacterized LOC111114234(LOC111114234)
LOC111115565	111115565	Crassostrea virginica	uncharacterized LOC111115565(LOC111115565)
LOC111115568	111115568	Crassostrea virginica	phytochrome-interacting ankyrin-repeat protein 1-like(LOC111115568)
LOC111128883	111128883	Crassostrea virginica	casein kinase I-like(LOC111128883)
LOC111103584	111103584	Crassostrea virginica	uncharacterized LOC111103584(LOC111103584)
LOC111127552	111127552	Crassostrea virginica	uncharacterized protein K02A2.6-like(LOC111127552)
LOC111126222	111126222	Crassostrea virginica	zinc transporter ZIP6-like(LOC111126222)
LOC111128885	111128885	Crassostrea virginica	unconventional myosin-Ia-like(LOC111128885)
LOC111102251	111102251	Crassostrea virginica	charged multivesicular body protein 3-like(LOC111102251)
LOC111103581	111103581	Crassostrea virginica	uncharacterized LOC111103581(LOC111103581)
LOC111127559	111127559	Crassostrea virginica	uncharacterized LOC111127559(LOC111127559)
LOC111126225	111126225	Crassostrea virginica	histone deacetylase complex subunit SAP30 homolog(LOC111126225)
LOC111103589	111103589	Crassostrea virginica	protein piccolo-like(LOC111103589)
LOC111102258	111102258	Crassostrea virginica	uncharacterized LOC111102258(LOC111102258)
LOC111126226	111126226	Crassostrea virginica	high mobility group-T protein-like(LOC111126226)
LOC111126227	111126227	Crassostrea virginica	transcription initiation factor TFIID subunit 5-like(LOC111126227)
LOC111103587	111103587	Crassostrea virginica	titin-like(LOC111103587)
LOC111114230	111114230	Crassostrea virginica	kinesin-II 95 kDa subunit-like(LOC111114230)
LOC111116890	111116890	Crassostrea virginica	multiple epidermal growth factor-like domains protein 6(LOC111116890)
LOC111138202	111138202	Crassostrea virginica	uncharacterized LOC111138202(LOC111138202)
LOC111138201	111138201	Crassostrea virginica	nucleoporin GLE1-like(LOC111138201)
LOC111138200	111138200	Crassostrea virginica	potassium voltage-gated channel protein egl-36-like(LOC111138200)
LOC111138217	111138217	Crassostrea virginica	nuclear apoptosis-inducing factor 1-like(LOC111138217)
LOC111138216	111138216	Crassostrea virginica	putative nuclease HARBI1(LOC111138216)
LOC111114229	111114229	Crassostrea virginica	serine hydroxymethyltransferase, mitochondrial-like(LOC111114229)
LOC111115555	111115555	Crassostrea virginica	DC-STAMP domain-containing protein 1-like(LOC111115555)
LOC111115554	111115554	Crassostrea virginica	microsomal glutathione S-transferase 1-like(LOC111115554)
LOC111116885	111116885	Crassostrea virginica	glutathione S-transferase A-like(LOC111116885)
LOC111138219	111138219	Crassostrea virginica	uncharacterized LOC111138219(LOC111138219)
LOC111115556	111115556	Crassostrea virginica	BRCA1-associated RING domain protein 1-like(LOC111115556)
LOC111126232	111126232	Crassostrea virginica	uncharacterized LOC111126232(LOC111126232)
LOC111127563	111127563	Crassostrea virginica	lathosterol oxidase-like(LOC111127563)
LOC111102243	111102243	Crassostrea virginica	ras-related GTP-binding protein A(LOC111102243)
LOC111127564	111127564	Crassostrea virginica	uncharacterized LOC111127564(LOC111127564)
LOC111128896	111128896	Crassostrea virginica	nucleolar protein 6-like(LOC111128896)
LOC111126234	111126234	Crassostrea virginica	pleiotropic regulator 1-like(LOC111126234)
LOC111127565	111127565	Crassostrea virginica	uncharacterized LOC111127565(LOC111127565)
LOC111102241	111102241	Crassostrea virginica	probable tRNA(His) guanylyltransferase(LOC111102241)
LOC111128890	111128890	Crassostrea virginica	uncharacterized LOC111128890(LOC111128890)
LOC111126230	111126230	Crassostrea virginica	uncharacterized LOC111126230(LOC111126230)
LOC111127561	111127561	Crassostrea virginica	pleckstrin homology domain-containing family A member 8-like(LOC111127561)
LOC111103579	111103579	Crassostrea virginica	M-phase phosphoprotein 8-like(LOC111103579)
LOC111102249	111102249	Crassostrea virginica	MYCBP-associated protein-like(LOC111102249)
LOC111128898	111128898	Crassostrea virginica	cytosolic Fe-S cluster assembly factor NBP35-like(LOC111128898)
LOC111126236	111126236	Crassostrea virginica	uncharacterized LOC111126236(LOC111126236)
LOC111128897	111128897	Crassostrea virginica	cyclic AMP-responsive element-binding protein 3-like protein 3(LOC111128897)
LOC111126237	111126237	Crassostrea virginica	Golgi reassembly-stacking protein 2-like(LOC111126237)
LOC111128899	111128899	Crassostrea virginica	iron-sulfur cluster co-chaperone protein HscB, mitochondrial-like(LOC111128899)
LOC111114220	111114220	Crassostrea virginica	uncharacterized LOC111114220(LOC111114220)
LOC111115551	111115551	Crassostrea virginica	ras-related protein Rab-27B-like(LOC111115551)
LOC111114222	111114222	Crassostrea virginica	P2X purinoceptor 7-like(LOC111114222)
LOC111138213	111138213	Crassostrea virginica	polyadenylate-binding protein 4-like(LOC111138213)
LOC111114259	111114259	Crassostrea virginica	uncharacterized LOC111114259(LOC111114259)
LOC111102275	111102275	Crassostrea virginica	uncharacterized LOC111102275(LOC111102275)
LOC111128860	111128860	Crassostrea virginica	uncharacterized LOC111128860(LOC111128860)
LOC111102276	111102276	Crassostrea virginica	DAZ-associated protein 2-like(LOC111102276)
LOC111127531	111127531	Crassostrea virginica	nephrocystin-3-like(LOC111127531)
LOC111126207	111126207	Crassostrea virginica	uncharacterized LOC111126207(LOC111126207)
LOC111128868	111128868	Crassostrea virginica	myc box-dependent-interacting protein 1-like(LOC111128868)
LOC111127539	111127539	Crassostrea virginica	N-acetylneuraminate 9-O-acetyltransferase-like(LOC111127539)
LOC111126203	111126203	Crassostrea virginica	calcium uptake protein 3, mitochondrial-like(LOC111126203)
LOC111128864	111128864	Crassostrea virginica	centromere protein F-like(LOC111128864)
LOC111126205	111126205	Crassostrea virginica	putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13(LOC111126205)
LOC111127536	111127536	Crassostrea virginica	tetratricopeptide repeat protein 29-like(LOC111127536)
LOC111114252	111114252	Crassostrea virginica	leucine-rich repeat extensin-like protein 2(LOC111114252)
LOC111115586	111115586	Crassostrea virginica	dipeptidyl peptidase 9-like(LOC111115586)
LOC111114254	111114254	Crassostrea virginica	uncharacterized LOC111114254(LOC111114254)
LOC111114249	111114249	Crassostrea virginica	uncharacterized LOC111114249(LOC111114249)
LOC111114248	111114248	Crassostrea virginica	E3 ubiquitin-protein ligase TRIM71-like(LOC111114248)
LOC111127540	111127540	Crassostrea virginica	uncharacterized LOC111127540(LOC111127540)
LOC111128871	111128871	Crassostrea virginica	uncharacterized LOC111128871(LOC111128871)
LOC111103596	111103596	Crassostrea virginica	protein piccolo-like(LOC111103596)
LOC111127542	111127542	Crassostrea virginica	protein maelstrom homolog(LOC111127542)
LOC111103593	111103593	Crassostrea virginica	frizzled-4-like(LOC111103593)
LOC111102262	111102262	Crassostrea virginica	uncharacterized LOC111102262(LOC111102262)
LOC111103594	111103594	Crassostrea virginica	cilia- and flagella-associated protein 47-like(LOC111103594)
LOC111103591	111103591	Crassostrea virginica	uncharacterized LOC111103591(LOC111103591)
LOC111128870	111128870	Crassostrea virginica	pecanex-like protein 1(LOC111128870)
LOC111103590	111103590	Crassostrea virginica	receptor-type tyrosine-protein phosphatase eta-like(LOC111103590)
LOC111127548	111127548	Crassostrea virginica	zinc finger protein 568-like(LOC111127548)
LOC111126218	111126218	Crassostrea virginica	ankyrin repeat domain-containing protein 49-like(LOC111126218)
LOC111128879	111128879	Crassostrea virginica	F-box/WD repeat-containing protein 7-like(LOC111128879)
LOC111126213	111126213	Crassostrea virginica	tumor suppressor candidate 3-like(LOC111126213)
LOC111126214	111126214	Crassostrea virginica	zeta-sarcoglycan-like(LOC111126214)
LOC111126215	111126215	Crassostrea virginica	uncharacterized LOC111126215(LOC111126215)
LOC111128878	111128878	Crassostrea virginica	extracellular tyrosine-protein kinase PKDCC-like(LOC111128878)
LOC111126216	111126216	Crassostrea virginica	uncharacterized LOC111126216(LOC111126216)
LOC111128877	111128877	Crassostrea virginica	tight junction-associated protein 1-like(LOC111128877)
LOC111114242	111114242	Crassostrea virginica	DNA mismatch repair protein Mlh1-like(LOC111114242)
LOC111114241	111114241	Crassostrea virginica	uncharacterized LOC111114241(LOC111114241)
LOC111114240	111114240	Crassostrea virginica	ankyrin repeat and SOCS box protein 12-like(LOC111114240)
LOC111138249	111138249	Crassostrea virginica	tetratricopeptide repeat protein 38-like(LOC111138249)
LOC111138247	111138247	Crassostrea virginica	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like(LOC111138247)
LOC111102297	111102297	Crassostrea virginica	arginine/serine-rich protein PNISR-like(LOC111102297)
LOC111127596	111127596	Crassostrea virginica	dnaJ homolog subfamily C member 22-like(LOC111127596)
LOC111127597	111127597	Crassostrea virginica	dnaJ homolog subfamily C member 22-like(LOC111127597)
LOC111127598	111127598	Crassostrea virginica	uncharacterized LOC111127598(LOC111127598)
LOC111127599	111127599	Crassostrea virginica	uncharacterized LOC111127599(LOC111127599)
LOC111114275	111114275	Crassostrea virginica	uncharacterized LOC111114275(LOC111114275)
LOC111138241	111138241	Crassostrea virginica	ubiquitin carboxyl-terminal hydrolase 5-like(LOC111138241)
LOC111138240	111138240	Crassostrea virginica	protein draper-like(LOC111138240)
LOC111114271	111114271	Crassostrea virginica	uncharacterized LOC111114271(LOC111114271)
LOC111138243	111138243	Crassostrea virginica	nucleolar protein 10-like(LOC111138243)
LOC111114272	111114272	Crassostrea virginica	uncharacterized LOC111114272(LOC111114272)
LOC111114268	111114268	Crassostrea virginica	E3 ubiquitin-protein ligase TRIM36-like(LOC111114268)
LOC111114269	111114269	Crassostrea virginica	uncharacterized LOC111114269(LOC111114269)
LOC111126276	111126276	Crassostrea virginica	uncharacterized LOC111126276(LOC111126276)
LOC111126277	111126277	Crassostrea virginica	neurobeachin-like(LOC111126277)
LOC111102282	111102282	Crassostrea virginica	uncharacterized LOC111102282(LOC111102282)
LOC111126272	111126272	Crassostrea virginica	fibrocystin-L-like(LOC111126272)
LOC111102283	111102283	Crassostrea virginica	uncharacterized LOC111102283(LOC111102283)
LOC111126279	111126279	Crassostrea virginica	uncharacterized LOC111126279(LOC111126279)
LOC111114264	111114264	Crassostrea virginica	uncharacterized LOC111114264(LOC111114264)
LOC111138252	111138252	Crassostrea virginica	uncharacterized protein C5orf49-like(LOC111138252)
LOC111114263	111114263	Crassostrea virginica	uncharacterized LOC111114263(LOC111114263)
LOC111138251	111138251	Crassostrea virginica	uncharacterized LOC111138251(LOC111138251)
LOC111115597	111115597	Crassostrea virginica	altered inheritance of mitochondria protein 21-like(LOC111115597)
LOC111114266	111114266	Crassostrea virginica	uncharacterized LOC111114266(LOC111114266)
LOC111114265	111114265	Crassostrea virginica	uncharacterized LOC111114265(LOC111114265)
LOC111114260	111114260	Crassostrea virginica	uncharacterized LOC111114260(LOC111114260)
LOC111114262	111114262	Crassostrea virginica	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1(LOC111114262)
LOC111138227	111138227	Crassostrea virginica	transmembrane protein 26-like(LOC111138227)
LOC111127575	111127575	Crassostrea virginica	ADAM 17-like protease(LOC111127575)
LOC111127576	111127576	Crassostrea virginica	ADAM 17-like protease(LOC111127576)
LOC111126240	111126240	Crassostrea virginica	fibrocystin-L-like(LOC111126240)
LOC111127571	111127571	Crassostrea virginica	serine/arginine repetitive matrix protein 1-like(LOC111127571)
LOC111126241	111126241	Crassostrea virginica	fibrocystin-L-like(LOC111126241)
