From	To
LOC111104814	111104814
LOC111104811	111104811
LOC111104817	111104817
LOC111104816	111104816
LOC111104803	111104803
LOC111104802	111104802
LOC111104809	111104809
LOC111104805	111104805
LOC111116810	111116810
LOC111116819	111116819
LOC111116816	111116816
LOC111104835	111104835
LOC111104834	111104834
LOC111128804	111128804
LOC111103500	111103500
LOC111128801	111128801
LOC111128800	111128800
LOC111128807	111128807
LOC111103509	111103509
LOC111104839	111104839
LOC111128809	111128809
LOC111128808	111128808
LOC111116808	111116808
LOC111104825	111104825
LOC111104824	111104824
LOC111128812	111128812
LOC111128811	111128811
LOC111115506	111115506
LOC111115500	111115500
LOC111116830	111116830
LOC111115501	111115501
LOC111104850	111104850
LOC111115508	111115508
LOC111104852	111104852
LOC111116825	111116825
LOC111103515	111103515
LOC111104847	111104847
LOC111103516	111103516
LOC111103513	111103513
LOC111103514	111103514
LOC111103512	111103512
LOC111103510	111103510
LOC111103517	111103517
LOC111115528	111115528
LOC111116857	111116857
LOC111128841	111128841
LOC111127510	111127510
LOC111115529	111115529
LOC111128847	111128847
LOC111128846	111128846
LOC111102218	111102218
LOC111104878	111104878
LOC111127518	111127518
LOC111128843	111128843
LOC111127512	111127512
LOC111127513	111127513
LOC111102211	111102211
LOC111128844	111128844
LOC111115520	111115520
LOC111116845	111116845
LOC111116844	111116844
LOC111127521	111127521
LOC111128858	111128858
LOC111128857	111128857
LOC111102207	111102207
LOC111103535	111103535
LOC111128859	111128859
LOC111104866	111104866
LOC111127522	111127522
LOC111102202	111102202
LOC111103534	111103534
LOC111104864	111104864
LOC111128856	111128856
LOC111127525	111127525
LOC111128855	111128855
LOC111116840	111116840
LOC111103539	111103539
LOC111114212	111114212
LOC111114214	111114214
LOC111104894	111104894
LOC111104893	111104893
LOC111103560	111103560
LOC111102230	111102230
LOC111128825	111128825
LOC111103568	111103568
LOC111102237	111102237
LOC111102238	111102238
LOC111128821	111128821
LOC111102235	111102235
LOC111103567	111103567
LOC111128823	111128823
LOC111103564	111103564
LOC111102234	111102234
LOC111116870	111116870
LOC111116869	111116869
LOC111114205	111114205
LOC111116868	111116868
LOC111114201	111114201
LOC111115535	111115535
LOC111115534	111115534
LOC111127504	111127504
LOC111103559	111103559
LOC111128838	111128838
LOC111103557	111103557
LOC111104889	111104889
LOC111127507	111127507
LOC111128837	111128837
LOC111103558	111103558
LOC111104888	111104888
LOC111103555	111103555
LOC111128831	111128831
LOC111102225	111102225
LOC111128834	111128834
LOC111128833	111128833
LOC111114200	111114200
LOC111116860	111116860
