"","baseMean","log2FoldChange","lfcSE","svalue"
"LOC111120752",0.917102612505116,-1.59862657713604e-06,0.00144269478994976,0.352170671481297
"LOC111109452",1.36923649003621,-1.49170255517435e-07,0.00144269461816456,0.388161189732336
"LOC111124802",160.733118708791,-8.54825569654319e-06,0.00144266556731788,0.420363232378002
"LOC111101273",55.0404755270725,2.98205363713541e-06,0.0014426718760177,0.449345070759102
"LOC111101250",77.7947775368251,4.61848500064945e-06,0.00144266259576226,0.475566734056288
"LOC111101262",188.903905054396,4.41847809774366e-07,0.00144265132236565,0.499404609781002
"LOC111133260",32.3644538380726,-2.04806141519976e-06,0.00144269160151128,0.521169626747045
"LOC111113503",13.8440463378042,-5.0673444862156e-06,0.00144269316468308,0.541120892299252
"LOC111102393",35.818069402315,-2.14380279676628e-07,0.00144269105888249,0.559476056607282
"LOC111119377",45.7515650150131,-1.16076188991565e-06,0.00144269137773202,0.576419285199309
"LOC111101799",8.25428712759712,2.61316316390009e-06,0.00144269315477293,0.592107459821557
"LOC111117743",7.63600480622484,5.25925693139736e-07,0.00144269473153267,0.606675050542216
"LOC111117672",218.12071096865,-5.92458025138994e-06,0.00144268341657308,0.620237979833864
"LOC111114053",22.988056281795,-4.12178627694773e-06,0.00144268874134421,0.632896713839401
"LOC111109809",2.67611146403421,4.69586398752112e-08,0.001442694058374,0.644738755328453
"LOC111135172",0.852058499864492,1.93820364246653e-07,0.00144269490066964,0.655840669224439
"LOC111114201",425.410351391807,1.98007686451867e-07,0.00144267924347945,0.666269739854001
"LOC111114212",127.689931607715,-3.37078104010513e-07,0.00144263681273543,0.676085335740648
"LOC111138315",78.3715046284179,-2.20774553990377e-06,0.00144266606139677,0.685340040433773
"LOC111138321",89.4008285983748,-1.75550616629425e-06,0.00144266210053446,0.694080594866168
"LOC111121058",76.5888839477095,-1.56856864061143e-07,0.00144268948037027,0.702348686896812
"LOC111138070",1.94985983191552,5.99774064032359e-07,0.00144269499352563,0.710181616189001
"LOC111108878",0.24444168792834,1.35892961931321e-07,0.00144269501667144,0.71761285679954
"LOC111108901",8.69144438417314,2.35841247536436e-06,0.00144269223288031,0.724672535379551
"LOC111130095",21.2209105297291,3.08054532102656e-06,0.00144268367462671,0.731387839394684
"LOC111103224",1.21279106379712,1.54514560401929e-08,0.00144269443590989,0.737783367028144
"LOC111131060",0.355538971256422,-3.98327608212571e-07,0.00144269502364796,0.743881428260048
"LOC111131074",0.852862970675209,-2.94001775440656e-07,0.00144269489455721,0.749702304890501
"LOC111131094",0.555186381809652,-2.41737878148374e-07,0.00144269503728935,0.755264475892934
"LOC111136780",148.687011111748,3.74109042896288e-06,0.00144267844807016,0.760584813373523
"LOC111133372",170.278435127995,0.439270416277121,0.210105189286656,0.258074478716243
"LOC111137104",74.1003831513994,-8.28251701814491e-06,0.00144267136150004,0.765678753514511
"LOC111099747",1.23548869367751,2.75983538920355e-07,0.00144269378888066,0.770560446149626
"LOC111129066",0.187531975120126,-3.57850167989294e-08,0.00144269503036528,0.775242886024123
"LOC111115406",5.27196226404488,-8.83056730060554e-07,0.00144269310939749,0.779738028303641
"LOC111114430",0.156315046237304,1.11038970932986e-07,0.00144269497684474,0.784056890493765
"LOC111129120",0.268145744316353,-2.20792960431918e-07,0.00144269503320012,0.788209642599655
"LOC111113958",0.182805327456901,9.56278491928363e-08,0.00144269501577518,0.792205687078906
"LOC111103230",1.42511329285639,-8.65511509754507e-07,0.00144269431148572,0.796053729910778
"LOC111101640",0.326901698668205,-4.92798631939498e-08,0.00144269470862811,0.799761843912401
"LOC111103163",0.948873280994373,-4.8760312317788e-07,0.00144269430965829,0.803337525271108
"LOC111103177",0.228005702541455,8.92269444627825e-08,0.00144269498056843,0.806787744126001
"LOC111102448",48.0203972226589,-2.42414671609417e-06,0.00144267045299623,0.810118989916932
"LOC111129274",0.504455417048282,3.27370643255295e-07,0.00144269433105751,0.813337312121729
"LOC111113346",40.5227269012363,-8.60504118471344e-06,0.00144268244201704,0.816448356919701
"LOC111100652",45.7283470760962,3.92478794578047e-07,0.00144268672217707,0.819457400248886
"LOC111134791",161.155421799816,-1.46551641018554e-06,0.00144267593253254,0.822369377664226
"LOC111128971",57.733361332852,1.65579354940683e-06,0.00144266972129185,0.825188911352096
"LOC111104153",9.20622174656171,5.65975991577848e-07,0.00144269057501591,0.827920334612219
"LOC111134573",0.636748454430139,-3.53514392444761e-07,0.00144269504174059,0.830567714079724
"LOC111129318",3.23750764724608,-3.99567015830288e-07,0.00144269444564667,0.833134869927001
"LOC111134552",0.634969035570454,-6.23850307745725e-07,0.00144269482592833,0.835625394256448
"LOC111134566",1.18636947617613,-4.09797882837669e-07,0.00144269475701957,0.838042667870324
"LOC111121733",45.0320459510951,-2.76791148666369e-06,0.00144268706522286,0.840389875582348
"LOC111109754",0.222088896435733,1.22162603054781e-07,0.00144269500286654,0.842670020216886
"LOC111109745",0.828998103914135,1.10813545538725e-07,0.00144269434744911,0.844885935425099
"LOC111099207",0.505727332650797,3.65686313626433e-07,0.00144269453147194,0.847040297433084
"LOC111103463",0.407357719962348,2.02389232914581e-08,0.00144269500332632,0.849135635824412
"LOC111131721",30.5216720851471,-6.35116310566088e-06,0.0014426859096064,0.851174343448406
"LOC111131752",8.10882746133699,-3.0283056760373e-07,0.00144269065501394,0.853158685535761
"LOC111131766",7.24323115991144,-3.44417264647111e-06,0.00144269284367863,0.855090808094501
"LOC111131682",161.789747916987,-2.43650999641135e-06,0.00144267772178764,0.856972745651715
"LOC111128103",213.591572846195,-4.06389037655312e-06,0.0014426855577675,0.85880642839977
"LOC111100789",0.465226738523473,-2.22870040914725e-07,0.00144269478604317,0.860593688799773
"LOC111100985",0.497831592390103,-1.47109185051312e-07,0.00144269486546046,0.862336267689776
"LOC111103245",0.331090043874262,7.92141630790378e-07,0.00144269512530984,0.864035819940519
"LOC111112387",104.085014474938,1.00027117144815e-06,0.00144268506420683,0.865693919697342
"LOC111114799",14.6201289667006,9.82050525173346e-07,0.00144268896993071,0.867312065243157
"LOC111129446",45.2390094493247,1.24701231047534e-06,0.00144267380477598,0.868891683514072
"LOC111100566",31.674310438054,-5.66993345785381e-07,0.00144267569985592,0.870434134296259
"LOC111136882",20.7147830521495,2.35973225278786e-06,0.00144269164188723,0.871940714130024
"LOC111136873",21.5126167833407,1.67654192902049e-06,0.00144269099901684,0.873412659944621
"LOC111129522",0.667426293996069,-2.07525342707341e-07,0.00144269476218788,0.874851152445251
"LOC111100662",7.39849044238796,-9.09529700645398e-07,0.00144269444369691,0.876257319271708
"LOC111100672",7.23566828102186,-9.10797209116081e-08,0.00144269446875171,0.877632237946467
"LOC111105302",3.04861530031557,-1.03434234985142e-06,0.00144269233970424,0.878976938628374
"LOC111137770",10.0914340550225,3.82575743088191e-07,0.00144269345024063,0.880292406686761
"LOC111119645",0.260959788434924,-2.69507007082447e-08,0.00144269503226242,0.881579585109484
"LOC111103288",19.3320669871314,2.60673004761874e-07,0.00144269129164941,0.882839376757256
"LOC111129738",1.56516434289869,9.04703820137842e-07,0.00144269383367977,0.8840726464756
"LOC111129748",0.316768500633178,-1.88390364348982e-07,0.00144269500717744,0.885280223074813
"LOC111134153",1.89425590074647,-5.99642678519754e-07,0.00144269398733198,0.886462901187444
"LOC111133651",100.56843312275,-3.25635291019116e-07,0.00144268513091924,0.887621443012062
"LOC111105807",89.5650236451195,8.3299122377256e-06,0.00144268524484122,0.888756579951334
"LOC111129837",10.5184087409871,7.36812613934176e-07,0.00144268515861693,0.889869014151821
"LOC111129861",0.383689040781238,1.84104069653005e-07,0.00144269470152878,0.890959419952297
"LOC111129878",0.738489648651927,-5.12206691405375e-07,0.00144269463357124,0.892028445246883
"LOC111104541",1.01891042315392,-3.8400361379489e-07,0.00144269501977822,0.893076712768758
"LOC111126076",0.395680889743017,-1.03928129755239e-07,0.00144269457202317,0.894104821299827
"LOC111126102",14.1224941105495,-3.07334292480437e-06,0.00144269068005866,0.895113346811258
"LOC111129935",8.67291802702255,-6.51874797821899e-07,0.00144269203288027,0.896102843539453
"LOC111116034",3.85621412166283,-1.77200230329325e-06,0.00144269369278153,0.897073845001701
