genomicFeature,treatment,propOverlap
TE,CC,['9212']
exons,CC,['40687']
introns,CC,['16813']
putativePromoter,CC,['1750']
UTRs,CC,['2788']
intergenic,CC,['9969']
TE,CH,['10603']
exons,CH,['41891']
introns,CH,['18275']
putativePromoter,CH,['2090']
UTRs,CH,['2909']
intergenic,CH,['11583']
TE,HC,['15655']
exons,HC,['53489']
introns,HC,['28412']
putativePromoter,HC,['3556']
UTRs,HC,['3799']
intergenic,HC,['19079']
TE,HH,['13383']
exons,HH,['49065']
introns,HH,['23204']
putativePromoter,HH,['2617']
UTRs,HH,['3421']
intergenic,HH,['14604']
TE,allCpG,['2828372']
exons,allCpG,['2323389']
introns,allCpG,['5497874']
putativePromoter,allCpG,['926518']
UTRs,allCpG,['600840']
intergenic,allCpG,['6644297']
