genomicFeature,treatment,propOverlap,propOverlap_sum,proportion_overlap
TE,CC,11289,97527,11.58
exons,CC,42577,97527,43.66
introns,CC,19342,97527,19.83
putativePromoter,CC,2081,97527,2.13
UTRs,CC,2964,97527,3.04
intergenic,CC,11929,97527,12.23
no_overlap,CC,7345,97527,7.53
TE,CH,13304,112541,11.82
exons,CH,46527,112541,41.34
introns,CH,22545,112541,20.03
putativePromoter,CH,2712,112541,2.41
UTRs,CH,3250,112541,2.89
intergenic,CH,15066,112541,13.39
no_overlap,CH,9137,112541,8.12
TE,HC,19594,159867,12.26
exons,HC,57498,159867,35.97
introns,HC,34622,159867,21.66
putativePromoter,HC,4177,159867,2.61
UTRs,HC,4207,159867,2.63
intergenic,HC,24496,159867,15.32
no_overlap,HC,15273,159867,9.55
TE,HH,18394,147496,12.47
exons,HH,56100,147496,38.03
introns,HH,31070,147496,21.06
putativePromoter,HH,3704,147496,2.51
UTRs,HH,3986,147496,2.7
intergenic,HH,21279,147496,14.43
no_overlap,HH,12963,147496,8.79
TE,allCpG,2828372,23397995,12.09
exons,allCpG,2323389,23397995,9.93
introns,allCpG,5497874,23397995,23.5
putativePromoter,allCpG,926518,23397995,3.96
UTRs,allCpG,600840,23397995,2.57
intergenic,allCpG,6644297,23397995,28.4
no_overlap,allCpG,4576705,23397995,19.56
