"methyl_count","replicate","treatment","methyl_level","phase1","phase2"
109691,1,"CC",0.76,"Control","Control"
36355,2,"CC",0.25,"Control","Control"
98942,3,"CC",0.68,"Control","Control"
53453,4,"CC",0.37,"Control","Control"
16516,5,"CC",0.11,"Control","Control"
103911,1,"CH",0.72,"Control","Hypoxic"
10540,2,"CH",0.07,"Control","Hypoxic"
48438,3,"CH",0.34,"Control","Hypoxic"
97299,4,"CH",0.67,"Control","Hypoxic"
73289,5,"CH",0.51,"Control","Hypoxic"
106502,1,"HC",0.74,"Hypoxic","Control"
103732,2,"HC",0.72,"Hypoxic","Control"
113732,3,"HC",0.79,"Hypoxic","Control"
103271,4,"HC",0.71,"Hypoxic","Control"
42650,5,"HC",0.29,"Hypoxic","Control"
97786,1,"HH",0.68,"Hypoxic","Hypoxic"
75985,2,"HH",0.53,"Hypoxic","Hypoxic"
71438,3,"HH",0.49,"Hypoxic","Hypoxic"
99144,4,"HH",0.69,"Hypoxic","Hypoxic"
95578,5,"HH",0.66,"Hypoxic","Hypoxic"
