"","combined","treatment","phase1","phase2","methyl_count","methyl_level","sample","phase1_rep","phase2_rep","tag","methylation.","X16s.","tag2","Oyster.Code","Phase.1.DO.Treatment","Phase.1.Temperature.Treatment","Phase.2.DO.Treatment","Phase.2.Temperature.Treatment","Phase.1.Replicate","Phase.2.Replicate","Initial.Submerged.Mass..g.","Initial.Dry.Mass..g.","Final.Submerged.Mass..g.","Final.Dry.Mass..g.","Initial.Shell.Mass..g.","Initial.Tissue.Mass..g.","Final.Shell.Mass..g.","Final.Tissue.Mass..g.","Shell.Growth..g.","Shell.Growth..mg.","Tissue.Growth..g.","Tissue.Growth..mg.","Tissue.Shell.Growth"
"1","BBBWBOB21","HC","Hypoxic","Control",138394,0.96,"2018--BBB-WBO-B21-CV","BBB","WBO","B21","yes","no","21B","21B","Hypoxic","Ambient","Normoxic","Ambient","BBB","WBO",0.1291,0.2766,0.1536,0.3187,0.20360665,0.07299335,0.2386784,0.0800216,0.03507175,35.07175,0.00702825,7.02825,0.20039633
"2","BBBWBVB70","HC","Hypoxic","Control",136261,0.94,"2018--BBB-WBV-B70-CV","BBB","WBV","B70","yes","no","70B","70B","Hypoxic","Ambient","Normoxic","Ambient","BBB","WBV",0.1315,0.322,0.1292,0.3176,0.20704225,0.11495775,0.2037498,0.1138502,-0.0032925,-3.29245,-0.0011076,-1.10755,0.33639083
"3","BBOBBOB16","HH","Hypoxic","Hypoxic",132674,0.918,"2018--BBO-BBO-B16-CV","BBO","BBO","B16","yes","no","16B","16B","Hypoxic","Ambient","Hypoxic","Ambient","BBO","BBO",0.0543,0.1173,0.064,0.1332,0.09653045,0.02076955,0.110416,0.022784,0.01388555,13.88555,0.00201445,2.01445,0.14507528
"4","BBOBBYB27","HH","Hypoxic","Hypoxic",105032,0.726,"2018--BBO-BBY-B27-CV","BBO","BBY","B27","yes","yes","27B","27B","Hypoxic","Ambient","Hypoxic","Ambient","BBO","BBY",0.2012,0.4666,0.2461,0.5593,0.3068178,0.1597822,0.37109215,0.18820785,0.06427435,64.27435,0.02842565,28.42565,0.44225496
"5","BBOWBOB16","HC","Hypoxic","Control",149013,1.03,"2018--BBO-WBO-B16-CV","BBO","WBO","B16","yes","no","16B","16B","Hypoxic","Ambient","Normoxic","Ambient","BBO","WBO",0.1376,0.2675,0.1631,0.3113,0.2157744,0.0517256,0.25227765,0.05902235,0.03650325,36.50325,0.00729675,7.29675,0.19989316
"6","BBOWBVB64","HC","Hypoxic","Control",136293,0.94,"2018--BBO-WBV-B64-CV","BBO","WBV","B64","yes","no","64B","64B","Hypoxic","Ambient","Normoxic","Ambient","BBO","WBV",0.111,0.2603,0.1444,0.3281,0.1776965,0.0826035,0.2255086,0.1025914,0.0478121,47.8121,0.0199879,19.9879,0.41805108
"7","BBRBBBB50","HH","Hypoxic","Hypoxic",104681,0.724,"2018--BBR-BBB-B50-CV","BBR","BBB","B50","yes","yes","50B","50B","Hypoxic","Ambient","Hypoxic","Ambient","BBR","BBB",0.064,0.138,0.0733,0.1548,0.110416,0.027584,0.12372895,0.03107105,0.01331295,13.31295,0.00348705,3.48705,0.26192917
"8","BBRBBGB38","HH","Hypoxic","Hypoxic",134384,0.929,"2018--BBR-BBG-B38-CV","BBR","BBG","B38","yes","yes","38B","38B","Hypoxic","Ambient","Hypoxic","Ambient","BBR","BBG",0.1301,0.2719,0.164,0.335,0.20503815,0.06686185,0.253566,0.081434,0.04852785,48.52785,0.01457215,14.57215,0.30028427
"9","BBRBBYB26","HH","Hypoxic","Hypoxic",129732,0.897,"2018--BBR-BBY-B26-CV","BBR","BBY","B26","yes","yes","26B","26B","Hypoxic","Ambient","Hypoxic","Ambient","BBR","BBY",0.0635,0.1349,0.071,0.1503,0.10970025,0.02519975,0.1204365,0.0298635,0.01073625,10.73625,0.00466375,4.66375,0.43439283
"10","BBYWBGB42","HC","Hypoxic","Control",67842,0.47,"2018--BBY-WBG-B42-CV","BBY","WBG","B42","yes","no","42B","42B","Hypoxic","Ambient","Normoxic","Ambient","BBY","WBG",0.0592,0.1316,0.0715,0.1503,0.1035448,0.0280552,0.12115225,0.02914775,0.01760745,17.60745,0.00109255,1.09255,0.06205044
