"","genomicFeature","treatment","propOverlap","propOverlap_sum","proportion_overlap","phase1","phase2"
"1","TE","CC",16875,132243,0.127605998049046,"Control","Control"
"2","exons","CC",57957,132243,0.438261382455026,"Control","Control"
"3","introns","CC",29638,132243,0.224117722677193,"Control","Control"
"4","putativePromoter","CC",3529,132243,0.0266857224957087,"Control","Control"
"5","UTRs","CC",4165,132243,0.0314950507777349,"Control","Control"
"6","intergenic","CC",20079,132243,0.151834123545292,"Control","Control"
"7","TE","CH",6346,54342,0.116778918700085,"Control","Hypoxic"
"8","exons","CH",26233,54342,0.482738949615399,"Control","Hypoxic"
"9","introns","CH",12045,54342,0.221651761068787,"Control","Hypoxic"
"10","putativePromoter","CH",1606,54342,0.0295535681425049,"Control","Hypoxic"
"11","UTRs","CH",1545,54342,0.0284310478083251,"Control","Hypoxic"
"12","intergenic","CH",6567,54342,0.1208457546649,"Control","Hypoxic"
"13","TE","HC",24506,179839,0.136266327103687,"Hypoxic","Control"
"14","exons","HC",68256,179839,0.379539476976629,"Hypoxic","Control"
"15","introns","HC",43310,179839,0.240826517051363,"Hypoxic","Control"
"16","putativePromoter","HC",5650,179839,0.0314169896407342,"Hypoxic","Control"
"17","UTRs","HC",5164,179839,0.0287145724787171,"Hypoxic","Control"
"18","intergenic","HC",32953,179839,0.18323611674887,"Hypoxic","Control"
"19","TE","HH",22736,163205,0.139309457430839,"Hypoxic","Hypoxic"
"20","exons","HH",64813,163205,0.397126313532061,"Hypoxic","Hypoxic"
"21","introns","HH",37891,163205,0.232168132103796,"Hypoxic","Hypoxic"
"22","putativePromoter","HH",4889,163205,0.0299561900677063,"Hypoxic","Hypoxic"
"23","UTRs","HH",4843,163205,0.0296743359578444,"Hypoxic","Hypoxic"
"24","intergenic","HH",28033,163205,0.171765570907754,"Hypoxic","Hypoxic"
"25","TE","allCpG",2828372,18821290,0.150275140545627,"","All CpGs"
"26","exons","allCpG",2323389,18821290,0.123444726689828,"","All CpGs"
"27","introns","allCpG",5497874,18821290,0.292109308129252,"","All CpGs"
"28","putativePromoter","allCpG",926518,18821290,0.0492271252395558,"","All CpGs"
"29","UTRs","allCpG",600840,18821290,0.0319234228897169,"","All CpGs"
"30","intergenic","allCpG",6644297,18821290,0.353020276506021,"","All CpGs"
