"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00270","cvn00270","Cysteine and methionine metabolism",0.522096279022005,"Metabolism","Amino acid metabolism"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",-0.679461759786837,"Metabolism","Lipid metabolism"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",-0.576153253292253,"Metabolism","Lipid metabolism"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",-0.376941130332227,"Genetic Information Processing","Chromosome"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",0.366867416307098,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00860","cvn00860","Porphyrin metabolism",0.538562005765594,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03460","cvn03460","Fanconi anemia pathway",0.448523722243911,"Genetic Information Processing","Replication and repair"
"cvn00510","cvn00510","N-Glycan biosynthesis",-0.428336180705135,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",0.471773534668579,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",0.450840587677182,"Metabolism","Amino acid metabolism"
"cvn03060","cvn03060","Protein export",0.527304372748506,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",0.40500364174819,"Genetic Information Processing","Translation"
"cvn00190","cvn00190","Oxidative phosphorylation",-0.361281411026751,"Metabolism","Energy metabolism"
"cvn00100","cvn00100","Steroid biosynthesis",0.650608301948216,"Metabolism","Lipid metabolism"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",0.58130803121334,"Metabolism","Carbohydrate metabolism"
"cvn04068","cvn04068","FoxO signaling pathway",0.379702903114674,"Environmental Information Processing","Signal transduction"
"cvn03040","cvn03040","Spliceosome",0.344220965142096,"Genetic Information Processing","Transcription"
"cvn00591","cvn00591","Linoleic acid metabolism",-0.575532396593788,"Metabolism","Lipid metabolism"
"cvn01212","cvn01212","Fatty acid metabolism",-0.348874979401215,"NA","NA"
"cvn00310","cvn00310","Lysine degradation",0.430184343726223,"Metabolism","Amino acid metabolism"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",0.5221492096568,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00511","cvn00511","Other glycan degradation",0.411519606948695,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04980","cvn04980","Cobalamin transport and metabolism",-0.512930792274965,"Organismal Systems","Digestive system"
"cvn00450","cvn00450","Selenocompound metabolism",0.527989520760633,"Metabolism","Metabolism of other amino acids"
"cvn00350","cvn00350","Tyrosine metabolism",0.511728160198672,"Metabolism","Amino acid metabolism"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",-0.462574152050574,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00051","cvn00051","Fructose and mannose metabolism",0.425772136629476,"Metabolism","Carbohydrate metabolism"
"cvn00330","cvn00330","Arginine and proline metabolism",0.372801571802033,"Metabolism","Amino acid metabolism"
"cvn04142","cvn04142","Lysosome",0.306258916451344,"Cellular Processes","Transport and catabolism"
"cvn04146","cvn04146","Peroxisome",-0.285775888311916,"Cellular Processes","Transport and catabolism"
"cvn04150","cvn04150","mTOR signaling pathway",0.320206271954321,"Environmental Information Processing","Signal transduction"
"cvn00360","cvn00360","Phenylalanine metabolism",0.549071733737186,"Metabolism","Amino acid metabolism"
"cvn03010","cvn03010","Ribosome",0.316004860345041,"Genetic Information Processing","Translation"
"cvn03022","cvn03022","Basal transcription factors",-0.357708069791434,"Genetic Information Processing","Transcription"
"cvn03013","cvn03013","Nucleocytoplasmic transport",0.306961700724633,"Genetic Information Processing","Translation"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",0.455056247730406,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",0.36593098493324,"Metabolism","Carbohydrate metabolism"
"cvn00620","cvn00620","Pyruvate metabolism",0.363031910692171,"Metabolism","Carbohydrate metabolism"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",0.438634135536494,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",0.339689477720505,"Genetic Information Processing","Translation"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",-0.365095397950763,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn00030","cvn00030","Pentose phosphate pathway",-0.366351470470181,"Metabolism","Carbohydrate metabolism"
"cvn03050","cvn03050","Proteasome",-0.346952813686655,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",-0.317892979959093,"Metabolism","Carbohydrate metabolism"
"cvn00062","cvn00062","Fatty acid elongation",-0.434805984079819,"Metabolism","Lipid metabolism"
"cvn03430","cvn03430","Mismatch repair",0.39000223178443,"Genetic Information Processing","Replication and repair"
"cvn03250","cvn03250","Viral life cycle",-0.335095316061768,"Genetic Information Processing","Information processing in viruses"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",-0.242998564185077,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",0.481511174054658,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00670","cvn00670","One carbon pool by folate",0.396336136314513,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",-0.402078673633722,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",0.423368745531861,"Metabolism","Metabolism of other amino acids"
"cvn00565","cvn00565","Ether lipid metabolism",-0.379657271898848,"Metabolism","Lipid metabolism"
"cvn00500","cvn00500","Starch and sucrose metabolism",0.370584368607226,"Metabolism","Carbohydrate metabolism"
"cvn00640","cvn00640","Propanoate metabolism",-0.320578810916084,"Metabolism","Carbohydrate metabolism"
"cvn00220","cvn00220","Arginine biosynthesis",0.415833059836899,"Metabolism","Amino acid metabolism"
"cvn04310","cvn04310","Wnt signaling pathway",0.290238669010803,"Environmental Information Processing","Signal transduction"
"cvn04137","cvn04137","Mitophagy",0.290829520080167,"Cellular Processes","Transport and catabolism"
"cvn04145","cvn04145","Phagosome",0.292394546774955,"Cellular Processes","Transport and catabolism"
"cvn00983","cvn00983","Drug metabolism",-0.283550165525576,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",0.322954768314292,"NA","NA"
"cvn04144","cvn04144","Endocytosis",0.253537256914489,"Cellular Processes","Transport and catabolism"
"cvn01230","cvn01230","Biosynthesis of amino acids",-0.251024833860128,"NA","NA"
"cvn00982","cvn00982","Drug metabolism",-0.335979157562256,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",-0.314268366576452,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00230","cvn00230","Purine metabolism",-0.241469694740633,"Metabolism","Nucleotide metabolism"
"cvn00650","cvn00650","Butanoate metabolism",0.346409549836428,"Metabolism","Carbohydrate metabolism"
"cvn01232","cvn01232","Nucleotide metabolism",-0.263528068034045,"NA","NA"
"cvn00790","cvn00790","Folate biosynthesis",0.391656186336421,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00052","cvn00052","Galactose metabolism",0.341793206378553,"Metabolism","Carbohydrate metabolism"
"cvn00480","cvn00480","Glutathione metabolism",-0.27736326769761,"Metabolism","Metabolism of other amino acids"
"cvn03030","cvn03030","DNA replication",0.306338198988181,"Genetic Information Processing","Replication and repair"
