"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",0.751338073105625,"Metabolism","Carbohydrate metabolism"
"cvn00910","cvn00910","Nitrogen metabolism",0.775184069219058,"Metabolism","Energy metabolism"
"cvn00511","cvn00511","Other glycan degradation",0.591749892928689,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00052","cvn00052","Galactose metabolism",0.648481226977762,"Metabolism","Carbohydrate metabolism"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",0.737766627865726,"Metabolism","Lipid metabolism"
"cvn03250","cvn03250","Viral life cycle",0.602353909808685,"Genetic Information Processing","Information processing in viruses"
"cvn00071","cvn00071","Fatty acid degradation",0.565727693837196,"Metabolism","Lipid metabolism"
"cvn00380","cvn00380","Tryptophan metabolism",0.583848035818172,"Metabolism","Amino acid metabolism"
"cvn03015","cvn03015","mRNA surveillance pathway",0.536130034859233,"Genetic Information Processing","Translation"
"cvn04814","cvn04814","Motor proteins",0.482536200608548,"Cellular Processes","Cell motility"
"cvn03013","cvn03013","Nucleocytoplasmic transport",0.474878776470006,"Genetic Information Processing","Translation"
"cvn04144","cvn04144","Endocytosis",0.445377661899761,"Cellular Processes","Transport and catabolism"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",0.516174832276599,"Metabolism","Amino acid metabolism"
"cvn04310","cvn04310","Wnt signaling pathway",0.484137100878683,"Environmental Information Processing","Signal transduction"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",0.635429130375947,"Metabolism","Lipid metabolism"
"cvn03460","cvn03460","Fanconi anemia pathway",0.519428601775681,"Genetic Information Processing","Replication and repair"
"cvn03060","cvn03060","Protein export",-0.512085101455192,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",0.55864730541634,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",0.47614747523162,"Environmental Information Processing","Signaling molecules and interaction"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",0.538220168083177,"NA","NA"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",0.684337779900265,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",-0.539119088587687,"Metabolism","Metabolism of other amino acids"
"cvn01212","cvn01212","Fatty acid metabolism",0.485786052903691,"NA","NA"
"cvn01230","cvn01230","Biosynthesis of amino acids",0.452640232367818,"NA","NA"
"cvn04330","cvn04330","Notch signaling pathway",0.529694318174974,"Environmental Information Processing","Signal transduction"
"cvn00562","cvn00562","Inositol phosphate metabolism",0.470536231044181,"Metabolism","Carbohydrate metabolism"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",0.459670762430765,"Environmental Information Processing","Signal transduction"
"cvn00360","cvn00360","Phenylalanine metabolism",0.625844488119836,"Metabolism","Amino acid metabolism"
"cvn00240","cvn00240","Pyrimidine metabolism",0.478299527743889,"Metabolism","Nucleotide metabolism"
"cvn00640","cvn00640","Propanoate metabolism",0.49876792593594,"Metabolism","Carbohydrate metabolism"
"cvn04146","cvn04146","Peroxisome",0.424817801357691,"Cellular Processes","Transport and catabolism"
