"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",12,0.751357483106948,1.66085932451122,0.0102458156361934,0.298076923076923,0.272275571318634,1456,"tags=50%, list=11%, signal=45%","111124535/111103451/111124599/111127562/111112920/111115614"
"cvn00910","cvn00910","Nitrogen metabolism",10,0.775253329157143,1.64638734843199,0.00686548895940317,0.298076923076923,0.272275571318634,1396,"tags=50%, list=10%, signal=45%","111134700/111100398/111100399/111126492/111135592"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",11,0.737686852443902,1.60316095966324,0.0175829215212019,0.298076923076923,0.272275571318634,1603,"tags=45%, list=12%, signal=40%","111113990/111115744/111107112/111115745/111124908"
"cvn00052","cvn00052","Galactose metabolism",21,0.648460038365527,1.58193433153457,0.0228586737849902,0.298076923076923,0.272275571318634,2261,"tags=38%, list=17%, signal=32%","111101197/111118471/111101820/111113388/111109442/111099882/111120703/111118006"
"cvn00511","cvn00511","Other glycan degradation",37,0.591543216960278,1.56656746452678,0.0143885541389305,0.298076923076923,0.272275571318634,2224,"tags=30%, list=16%, signal=25%","111106921/111106925/111106928/111119851/111119435/111120040/111113388/111119434/111106926/111119431/111106930"
"cvn03250","cvn03250","Viral life cycle - HIV-1",28,0.60405006301517,1.54332416073807,0.0222143667782554,0.298076923076923,0.272275571318634,2630,"tags=46%, list=19%, signal=37%","111124701/111124696/111129825/111111579/111108190/111135084/111128997/111124977/111106750/111123417/111130886/111104027/111135329"
"cvn03060","cvn03060","Protein export",17,-0.511542596986771,-1.53815888218354,0.0300202102693495,0.298076923076923,0.272275571318634,2382,"tags=41%, list=18%, signal=34%","111120831/111126975/111135297/111108442/111109509/111106955/111101167"
"cvn03015","cvn03015","mRNA surveillance pathway",61,0.536500318578535,1.51904864448964,0.00904050792842227,0.298076923076923,0.272275571318634,1963,"tags=36%, list=14%, signal=31%","111135039/111127981/111101410/111100273/111134286/111121238/111129219/111132883/111122880/111118318/111103910/111119442/111126090/111138352/111108043/111130886/111118849/111136672/111104361/111129063/111135694/111129838"
"cvn00380","cvn00380","Tryptophan metabolism",31,0.583486016992858,1.5154168718866,0.0252317491461457,0.298076923076923,0.272275571318634,2378,"tags=42%, list=18%, signal=35%","111127901/111100724/111103451/111134248/111133558/111112920/111115614/111121380/111125148/111109254/111130627/111108303/111103498"
"cvn00071","cvn00071","Fatty acid degradation",38,0.565636518458156,1.50423042652733,0.0196323729391378,0.298076923076923,0.272275571318634,3019,"tags=42%, list=22%, signal=33%","111127947/111113990/111128659/111115744/111107112/111115745/111103451/111112920/111115614/111135553/111121380/111117093/111103498/111129333/111107779/111134458"
"cvn04814","cvn04814","Motor proteins",111,0.48194930770566,1.4356997122751,0.00678414008824886,0.298076923076923,0.272275571318634,1180,"tags=18%, list=9%, signal=17%","111136151/111134768/111107338/111102596/111112439/111103394/111115784/111129526/111107250/111127380/111134843/111137068/111131563/111119946/111134888/111120500/111129376/111130940/111125250/111131555"
"cvn03013","cvn03013","Nucleocytoplasmic transport",92,0.469136075743215,1.37705162670351,0.0320247933884297,0.298076923076923,0.272275571318634,3062,"tags=34%, list=23%, signal=26%","111101943/111124701/111101410/111124696/111121238/111130920/111129219/111101511/111121980/111118318/111124932/111103910/111129825/111126562/111119442/111138352/111108043/111136554/111135764/111104361/111129063/111125546/111120993/111111382/111125592/111104027/111113217/111135555/111134707/111111376/111108106"
