"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",11,0.781258994783818,1.95155424744672,0.000372966511958222,0.0451289479469449,0.0443633851066096,1762,"tags=73%, list=13%, signal=63%","111113990/111115744/111127642/111136066/111123661/111107112/111115745/111136438"
"cvn00310","cvn00310","Lysine degradation",31,-0.489671395402306,-1.49048834835564,0.0125107746803533,0.508715080163663,0.500085289765062,1842,"tags=32%, list=14%, signal=28%","111115614/111109254/111130627/111121380/111130119/111107127/111125659/111110608/111112920/111128625"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",56,-0.422336853288594,-1.45842827494043,0.0179388324923494,0.508715080163663,0.500085289765062,2942,"tags=39%, list=22%, signal=31%","111104038/111122686/111123620/111128896/111134591/111103436/111102803/111105066/111119396/111123381/111112561/111110086/111119458/111125104/111128153/111132055/111119695/111121480/111128265/111128132/111120056/111133163"
"cvn04146","cvn04146","Peroxisome",77,0.345877741053317,1.4144070848246,0.0210212843042836,0.508715080163663,0.500085289765062,1908,"tags=31%, list=14%, signal=27%","111135891/111113990/111115744/111104085/111107393/111130560/111135288/111136066/111117608/111136587/111107606/111107112/111107850/111107491/111115745/111110283/111135201/111132335/111136438/111121658/111135419/111128430/111108763/111131209"
"cvn04148","cvn04148","Efferocytosis",98,-0.369893919272632,-1.40729952914665,0.0194253269242924,0.508715080163663,0.500085289765062,2846,"tags=32%, list=21%, signal=25%","111128693/111124840/111112952/111134431/111120235/111135946/111113319/111135761/111133023/111125427/111124014/111127575/111122108/111123664/111107163/111100224/111107779/111126115/111117732/111123084/111136548/111137094/111125144/111110874/111115463/111122163/111128744/111131845/111109809/111104335/111123492"
"cvn01040","cvn01040","Biosynthesis of unsaturated fatty acids",18,0.542454995377966,1.5528081170668,0.0269579230462972,0.543651448100327,0.534429000742383,1908,"tags=44%, list=14%, signal=38%","111113990/111115744/111129730/111136066/111107112/111115745/111136438/111131209"
"cvn04068","cvn04068","FoxO signaling pathway",65,-0.395891994090078,-1.4218021410777,0.039039039039039,0.624631268436578,0.614035087719298,2846,"tags=38%, list=21%, signal=30%","111128693/111121135/111125223/111121739/111131500/111118834/111112841/111103474/111126185/111134642/111119108/111107163/111105462/111130138/111120632/111121839/111113171/111121740/111119905/111112940/111134713/111120947/111102390/111128744/111104196"
"cvn04150","cvn04150","mTOR signaling pathway",81,-0.362493917973131,-1.3429984107512,0.0412979351032448,0.624631268436578,0.614035087719298,2010,"tags=25%, list=15%, signal=21%","111121983/111120676/111135719/111133687/111119108/111130138/111133565/111124875/111120632/111119689/111132309/111121839/111134634/111119487/111125836/111119905/111120947/111128744/111106364/111120776"
"cvn00591","cvn00591","Linoleic acid metabolism",11,0.571629243127509,1.42790737110032,0.0885780885780886,0.709908735332464,0.697865916420778,3429,"tags=55%, list=26%, signal=41%","111127642/111123661/111127589/111127588/111121119/111111230"
"cvn00514","cvn00514","Other types of O-glycan biosynthesis",28,-0.469837816228599,-1.40760009662781,0.0667779632721202,0.709908735332464,0.697865916420778,2568,"tags=43%, list=19%, signal=35%","111118946/111137017/111112942/111110946/111113386/111126140/111129166/111136634/111118200/111125659/111112794/111128050"
"cvn04980","cvn04980","Cobalamin transport and metabolism",13,0.537563262654017,1.3831617476491,0.101654846335697,0.709908735332464,0.697865916420778,1324,"tags=23%, list=10%, signal=21%","111126313/111130560/111122749"
"cvn00500","cvn00500","Starch and sucrose metabolism",22,-0.484043601209695,-1.37236376712802,0.103505843071786,0.709908735332464,0.697865916420778,1722,"tags=41%, list=13%, signal=36%","111102836/111135700/111101224/111135290/111129461/111137764/111099882/111100475/111118006"
"cvn03030","cvn03030","DNA replication",33,-0.442106147936871,-1.36602338741417,0.0858585858585859,0.709908735332464,0.697865916420778,3052,"tags=52%, list=23%, signal=40%","111112959/111131043/111120003/111125562/111122245/111121171/111135799/111103623/111126184/111136042/111134654/111120733/111108767/111122897/111135545/111131355/111132235"
"cvn00100","cvn00100","Steroid biosynthesis",10,-0.565141931872072,-1.32853588375391,0.145833333333333,0.709908735332464,0.697865916420778,28,"tags=40%, list=0%, signal=40%","111134947/111114616/111121211/111134862"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",69,0.333242478628535,1.32581987147067,0.064953302771945,0.709908735332464,0.697865916420778,2571,"tags=32%, list=19%, signal=26%","111105834/111133731/111128754/111120856/111134187/111135329/111127274/111129852/111123066/111127973/111118359/111119035/111117803/111125973/111128559/111114783/111118535/111109845/111130152/111114721/111120504/111123176"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis - globo and isoglobo series",12,-0.522897590626383,-1.29865719923774,0.169779286926995,0.709908735332464,0.697865916420778,1309,"tags=33%, list=10%, signal=30%","111131382/111125814/111119758/111131384"
"cvn00515","cvn00515","Mannose type O-glycan biosynthesis",10,-0.55185436385766,-1.29729946345062,0.170138888888889,0.709908735332464,0.697865916420778,1879,"tags=40%, list=14%, signal=34%","111117993/111126140/111121066/111122294"
"cvn03050","cvn03050","Proteasome",27,0.40857781323292,1.28719526329171,0.124378109452736,0.709908735332464,0.697865916420778,1865,"tags=30%, list=14%, signal=26%","111122651/111108182/111110923/111127912/111111088/111115377/111136644/111108200"
"cvn03040","cvn03040","Spliceosome",91,-0.339326154237842,-1.27915244052135,0.0858369098712446,0.709908735332464,0.697865916420778,2603,"tags=27%, list=20%, signal=22%","111121768/111120267/111135499/111135285/111103293/111137770/111106083/111106173/111120158/111101880/111106208/111121753/111103914/111138305/111119785/111131404/111128793/111119442/111126802/111102762/111125967/111119918/111108517/111129301/111118318"
"cvn04136","cvn04136","Autophagy - other",24,0.414161866626583,1.27880629805484,0.1575,0.709908735332464,0.697865916420778,624,"tags=17%, list=5%, signal=16%","111108144/111106048/111133363/111120188"
"cvn00270","cvn00270","Cysteine and methionine metabolism",42,-0.3912478541588,-1.27385708437403,0.145135566188198,0.709908735332464,0.697865916420778,2214,"tags=36%, list=17%, signal=30%","111123773/111121024/111114474/111111318/111135192/111122141/111133693/111106176/111135193/111136621/111122163/111129934/111121023/111110831/111137596"
"cvn00564","cvn00564","Glycerophospholipid metabolism",45,0.346760719234452,1.26581615920188,0.110236220472441,0.709908735332464,0.697865916420778,1932,"tags=31%, list=15%, signal=27%","111101119/111127642/111137103/111138290/111123661/111115675/111111015/111100090/111114331/111137368/111122410/111130644/111100381/111121919"
"cvn03015","cvn03015","mRNA surveillance pathway",61,0.318519385702061,1.25045956252261,0.106741573033708,0.709908735332464,0.697865916420778,2587,"tags=34%, list=19%, signal=28%","111116311/111130886/111127981/111128721/111136672/111122880/111132883/111126090/111130413/111135039/111111718/111129219/111138235/111129063/111135694/111135433/111130065/111130150/111108043/111121238/111135732"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",24,0.401081908405209,1.23841935203292,0.1825,0.709908735332464,0.697865916420778,2260,"tags=33%, list=17%, signal=28%","111121723/111119924/111105546/111109680/111135848/111122042/111104817/111136573"
"cvn03430","cvn03430","Mismatch repair",21,-0.44098489490211,-1.23795993587251,0.194304857621441,0.709908735332464,0.697865916420778,3052,"tags=38%, list=23%, signal=29%","111112959/111121171/111135799/111134654/111110235/111108767/111122897/111131355"
"cvn00910","cvn00910","Nitrogen metabolism",10,-0.525084015742162,-1.23436771819114,0.217013888888889,0.709908735332464,0.697865916420778,1003,"tags=30%, list=8%, signal=28%","111135592/111119107/111130106"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",14,-0.481552688959929,-1.22368915783889,0.224168126094571,0.709908735332464,0.697865916420778,1785,"tags=50%, list=13%, signal=43%","111112942/111110946/111113386/111129166/111136634/111112794/111128050"
"cvn00330","cvn00330","Arginine and proline metabolism",49,-0.358476728566947,-1.20958460664446,0.173633440514469,0.709908735332464,0.697865916420778,2094,"tags=22%, list=16%, signal=19%","111125850/111115614/111128747/111134508/111137751/111109392/111128753/111132779/111132935/111112920/111137596"
"cvn00220","cvn00220","Arginine biosynthesis",13,-0.477902459217181,-1.198509381761,0.252158894645941,0.709908735332464,0.697865916420778,1743,"tags=38%, list=13%, signal=33%","111138184/111134508/111135773/111119107/111137596"
"cvn00051","cvn00051","Fructose and mannose metabolism",28,-0.398534207934978,-1.19397964621439,0.210350584307179,0.709908735332464,0.697865916420778,1482,"tags=32%, list=11%, signal=29%","111135106/111107727/111133304/111138520/111099882/111131432/111104054/111100475/111128111"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",14,-0.46884128633177,-1.19138780030604,0.25569176882662,0.709908735332464,0.697865916420778,1893,"tags=43%, list=14%, signal=37%","111132159/111118293/111136074/111123131/111126772/111135825"
"cvn03060","cvn03060","Protein export",17,-0.446519365197582,-1.18939799896487,0.237847222222222,0.709908735332464,0.697865916420778,1211,"tags=41%, list=9%, signal=37%","111108442/111117985/111102238/111125296/111131315/111135297/111126975"
"cvn00430","cvn00430","Taurine and hypotaurine metabolism",13,-0.471471000752737,-1.18238022578079,0.274611398963731,0.709908735332464,0.697865916420778,1492,"tags=23%, list=11%, signal=21%","111131381/111126728/111124674"
"cvn03420","cvn03420","Nucleotide excision repair",47,-0.351704464782022,-1.17190315538275,0.224719101123595,0.709908735332464,0.697865916420778,3052,"tags=43%, list=23%, signal=33%","111112959/111131043/111134971/111125562/111121171/111135799/111121059/111103789/111136013/111126184/111109822/111131097/111134654/111114853/111108767/111122897/111114574/111111048/111131355/111120860"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",16,0.42400496577785,1.17145242573279,0.263285024154589,0.709908735332464,0.697865916420778,1579,"tags=25%, list=12%, signal=22%","111121161/111134996/111134997/111110471"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",11,-0.489176564692047,-1.17004754826366,0.282722513089005,0.709908735332464,0.697865916420778,2707,"tags=45%, list=20%, signal=36%","111137757/111132159/111118293/111121591/111111504"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",117,-0.298525337553733,-1.16977250523195,0.162983425414365,0.709908735332464,0.697865916420778,3287,"tags=38%, list=25%, signal=29%","111133998/111125231/111104637/111103787/111106331/111121155/111103982/111121135/111102838/111105503/111128229/111135190/111129467/111129998/111126002/111110089/111138326/111130966/111121443/111114538/111108514/111110185/111099688/111099731/111103271/111129295/111132149/111131129/111132898/111105462/111122738/111119134/111130310/111120086/111120632/111120128/111128926/111123155/111120860/111138340/111100396/111137343/111124955/111104196"
"cvn03010","cvn03010","Ribosome",82,-0.312070359537548,-1.15743338852724,0.201767304860088,0.709908735332464,0.697865916420778,308,"tags=13%, list=2%, signal=13%","111137581/111102380/111104169/111132903/111130094/111137089/111133074/111130039/111111438/111127769/111124824"
"cvn00350","cvn00350","Tyrosine metabolism",13,-0.459961545244106,-1.15351619685603,0.302245250431779,0.709908735332464,0.697865916420778,671,"tags=15%, list=5%, signal=15%","111115927/111137596"
"cvn03460","cvn03460","Fanconi anemia pathway",41,-0.353663956449396,-1.14437018765423,0.250403877221325,0.709908735332464,0.697865916420778,2859,"tags=37%, list=21%, signal=29%","111138268/111122179/111120595/111102631/111128387/111121059/111107067/111128268/111130645/111134654/111131835/111130580/111100339/111126926/111128124"
"cvn04310","cvn04310","Wnt signaling pathway",66,0.289548668188068,1.14296036840552,0.205970149253731,0.709908735332464,0.697865916420778,1990,"tags=26%, list=15%, signal=22%","111105834/111100874/111121723/111119924/111106534/111129877/111108759/111135231/111105510/111134629/111119203/111118497/111117044/111117024/111105328/111108661/111135208"
"cvn00380","cvn00380","Tryptophan metabolism",30,-0.375988835260856,-1.13839952486291,0.266331658291457,0.709908735332464,0.697865916420778,1926,"tags=47%, list=14%, signal=40%","111108359/111134249/111119804/111106780/111119088/111104702/111133558/111102934/111115614/111109254/111130627/111130649/111121380/111112920"
"cvn00790","cvn00790","Folate biosynthesis",12,0.453519074153688,1.1341909575996,0.305084745762712,0.709908735332464,0.697865916420778,2813,"tags=33%, list=21%, signal=26%","111102230/111132821/111104850/111100388"
"cvn00565","cvn00565","Ether lipid metabolism",16,0.408683791567486,1.12912266985156,0.304347826086957,0.709908735332464,0.697865916420778,1932,"tags=38%, list=15%, signal=32%","111127642/111137103/111123661/111137368/111100381/111121919"
"cvn01230","cvn01230","Biosynthesis of amino acids",67,0.284821058692615,1.1287408238256,0.226586102719033,0.709908735332464,0.697865916420778,894,"tags=18%, list=7%, signal=17%","111122808/111117164/111105573/111110280/111111035/111138044/111129350/111134810/111125610/111121721/111123350/111114229"
"cvn01250","cvn01250","Biosynthesis of nucleotide sugars",31,-0.3703955663847,-1.12743011162702,0.283783783783784,0.709908735332464,0.697865916420778,1275,"tags=19%, list=10%, signal=18%","111133304/111138520/111099882/111100603/111100475/111118006"
"cvn00650","cvn00650","Butanoate metabolism",21,0.374658495517674,1.12413428966937,0.303703703703704,0.709908735332464,0.697865916420778,1861,"tags=33%, list=14%, signal=29%","111119686/111106209/111119623/111129515/111128397/111122171/111129864"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",37,-0.352604587372807,-1.11982063497194,0.283849918433931,0.709908735332464,0.697865916420778,3713,"tags=46%, list=28%, signal=33%","111111213/111102687/111106392/111104702/111100562/111102575/111119746/111108492/111130103/111102934/111109254/111134559/111102576/111132935/111136621/111129934/111102686"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",32,0.335916334121355,1.11765273514482,0.272506082725061,0.709908735332464,0.697865916420778,851,"tags=22%, list=6%, signal=21%","111099657/111117164/111110280/111134810/111125610/111121721/111123350"
"cvn04137","cvn04137","Mitophagy - animal",62,-0.314380422063937,-1.11490317275586,0.28902627511592,0.709908735332464,0.697865916420778,1856,"tags=27%, list=14%, signal=24%","111133050/111134642/111107924/111135701/111135148/111132898/111130358/111107437/111107760/111120710/111125144/111107401/111133712/111121740/111133262/111107048/111118255"
"cvn04140","cvn04140","Autophagy - animal",103,0.259524032004404,1.10496917873855,0.19047619047619,0.709908735332464,0.697865916420778,391,"tags=12%, list=3%, signal=11%","111108144/111101201/111127007/111107340/111106048/111133363/111130633/111111295/111111995/111135154/111138350/111116630"
"cvn01200","cvn01200","Carbon metabolism",108,0.252060822032104,1.08235989110139,0.231316725978648,0.709908735332464,0.697865916420778,1318,"tags=19%, list=10%, signal=18%","111122808/111131656/111099657/111119284/111117164/111105925/111105573/111110280/111136066/111111035/111138044/111129350/111134810/111125610/111121721/111123350/111114229/111107112/111132318/111102676/111137005"
"cvn00450","cvn00450","Selenocompound metabolism",13,0.435556301431271,1.12069565935907,0.319148936170213,0.71437802907916,0.702259393527143,1748,"tags=31%, list=13%, signal=27%","111119949/111136976/111107520/111133774"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",45,-0.331652254787901,-1.09271066139149,0.317230273752013,0.71437802907916,0.702259393527143,3375,"tags=36%, list=25%, signal=27%","111130118/111130025/111125113/111130240/111108055/111126003/111115204/111136015/111118963/111128976/111099623/111125541/111130116/111104253/111125665/111130233"
"cvn02010","cvn02010","ABC transporters",39,-0.340319524535699,-1.09143163524847,0.324717285945073,0.71437802907916,0.702259393527143,3454,"tags=36%, list=26%, signal=27%","111125896/111110863/111119220/111125149/111102020/111113033/111124859/111099748/111136652/111123982/111134952/111108652/111130326/111113492"
"cvn00052","cvn00052","Galactose metabolism",21,-0.392738196411691,-1.10251883469257,0.33500837520938,0.720490367775832,0.708268043137616,720,"tags=43%, list=5%, signal=41%","111102836/111135700/111101224/111113388/111128700/111124867/111099882/111100475/111118006"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",12,-0.443589521737977,-1.10168938667583,0.34634974533107,0.720490367775832,0.708268043137616,661,"tags=33%, list=5%, signal=32%","111124535/111131432/111104054/111128111"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",55,-0.307239145114888,-1.05932697162854,0.366614664586583,0.720490367775832,0.708268043137616,3149,"tags=29%, list=24%, signal=22%","111120505/111132579/111129055/111118818/111135914/111128349/111126338/111120676/111101050/111125100/111126336/111136180/111135587/111124467/111100314/111131147"
"cvn00600","cvn00600","Sphingolipid metabolism",44,-0.320158407165178,-1.05867697197502,0.36984126984127,0.720490367775832,0.708268043137616,1309,"tags=23%, list=10%, signal=21%","111131382/111124357/111112101/111121876/111125476/111111442/111127974/111131692/111131384/111125840"
"cvn03022","cvn03022","Basal transcription factors",27,-0.355814237777006,-1.05791977232018,0.378333333333333,0.720490367775832,0.708268043137616,1609,"tags=22%, list=12%, signal=20%","111131097/111114853/111125214/111128688/111111048/111128991"
"cvn04512","cvn04512","ECM-receptor interaction",23,-0.365560339645773,-1.05435328027674,0.392976588628763,0.720490367775832,0.708268043137616,2977,"tags=39%, list=22%, signal=30%","111107238/111112952/111122827/111114114/111118932/111107566/111135369/111107154/111102004"
