"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111133260",30.0786584097004,1.72346223729746,0.253352778837644,4.82908552616069,1.37161491481879e-06,0.000687612213876264
"LOC111109809",3.50436284638018,1.98656364453985,0.392929975486304,3.78327879592293,0.000154775880703898,0.0335054605387416
"LOC111128784",7.39009259563902,1.96881268579393,0.392381700816004,3.7433261610808,0.000181600255226338,0.0369635668540266
"LOC111128838",49.2849722698336,1.70254594284594,0.2660653939892,4.51973826740786,6.19161293276428e-06,0.00210625404230642
"LOC111131329",82.2631126445099,1.25519911466688,0.169056399085467,4.46714302890771,7.92711330300188e-06,0.0025168584737031
"LOC111126993",31.9921115620496,1.70119822666011,0.235357335120593,5.10372122476928,3.33038773488764e-07,0.000244014947498499
"LOC111101291",22.8765069303872,1.79729103343149,0.267154100601539,4.85596526690189,1.19801701387264e-06,0.000633950669840939
"LOC111132043",56.8246569100045,-1.309674718772,0.198590311255115,-4.07711088045917,4.55987512093645e-05,0.011738597439708
"LOC111108235",26.272513695085,2.95338859074956,0.291330451495972,8.42132560517273,3.72248122686033e-17,3.54566336858447e-13
"LOC111115224",7.28611430668944,-2.1132624220134,0.377934089273674,-4.26863431428962,1.96673388686153e-05,0.00585410633511127
"LOC111132409",17.583225198904,1.85556998276597,0.299353422126146,4.5283263279173,5.94527166571983e-06,0.00209735972651783
"LOC111121672",17.4274599874569,-1.58940290922329,0.282073610899757,-3.86212274784698,0.000112406061076431,0.0254920888512619
"LOC111121187",13.013742613537,1.77170032466675,0.334070253106303,3.80668530897926,0.000140841771087329,0.031198089990856
"LOC111122360",15.2579705147806,-1.65589279050827,0.315954881338518,-3.65841092757111,0.00025378391083865,0.043165924120324
"LOC111118137",42.2489285297305,1.22377184639094,0.200984537849515,3.60113197828611,0.000316834680056092,0.0481522919356633
"LOC111119327",16.9412971600363,2.24397795619419,0.310257607634637,5.62106428103422,1.8978463502339e-08,2.58242664085399e-05
"LOC111119639",7.06080911630579,1.91614474488055,0.389042570555355,3.64007656760804,0.000272556980156378,0.043268420599825
"LOC111121129",33.675706696809,1.52592679743544,0.280154643164897,3.6620017639029,0.000250252136193664,0.043165924120324
"LOC111118255",21.0245472024907,2.09156518981927,0.299605035170966,5.31221108787798,1.08303046426372e-07,0.000103158651721119
"LOC111124824",15.1525684511748,2.39420224437026,0.375752516369726,5.04108997770871,4.62887746034421e-07,0.000314928984355562
"LOC111123110",57.9931161108214,1.20482795289334,0.196533456418078,3.58630009230585,0.000335402964433956,0.0499173943161474
"LOC111123492",54.2026236711033,1.628090123878,0.196580601099813,5.73856279595572,9.54833596514122e-09,1.8189580013594e-05
"LOC111123483",18.1159949852139,1.7445626652201,0.282471341590345,4.40597852586771,1.05307396243427e-05,0.00323565467489884
"LOC111124781",27.683247173922,1.61565048848785,0.245015587815658,4.55338575979592,5.27893438981845e-06,0.00198154081446942
"LOC111124669",42.0844636353346,1.53388504308698,0.252019634745774,4.10239878384839,4.08888743703912e-05,0.010818514677166
"LOC111126975",45.5675385940505,1.56455328656148,0.231592865188994,4.59665838881843,4.29320641364088e-06,0.00185876323136043
"LOC111127288",26.7010323372676,1.44879327657549,0.241013435810142,3.93668209154487,8.26159367559673e-05,0.0196729199400147
"LOC111127067",13.39300636527,1.83630252545546,0.325652812854343,4.10345764786365,4.07020990082951e-05,0.010818514677166
"LOC111124674",22.7110617544326,1.59599792604432,0.293315647642801,3.73658185252709,0.000186538744777487,0.0370162821667825
"LOC111125319",72.7038119533019,1.29061074939055,0.213723179745411,3.6992278999982,0.000216256350420623,0.0403890536814987
"LOC111124465",11.6014574796774,2.07241525549012,0.351100238158591,4.47853656761082,7.51564973201552e-06,0.00246850219646372
"LOC111128435",20.2021829209051,1.72595870376715,0.290810255165832,4.21566530749769,2.49042885229661e-05,0.00718828327821976
"LOC111131029",9.41182710623516,1.82706694208869,0.368652324886387,3.59977912114801,0.000318487600204387,0.0481522919356633
"LOC111130727",8.6490873851959,1.89879437460177,0.360185309903418,3.8835408778244,0.000102946214992718,0.0239161633611132
"LOC111129146",34.0285765076672,-1.60070939026985,0.23937893586559,-4.59818816676456,4.26181000967981e-06,0.00185876323136043
"LOC111131404",68.8861210320687,1.26844867114498,0.168854029156389,4.55096437428369,5.3400590265638e-06,0.00198154081446942
"LOC111131546",9.78454616401546,2.09392463042625,0.348937797168237,4.5679334350178,4.92556391395759e-06,0.00198154081446942
"LOC111130099",18.7891463317249,2.23698929048501,0.302098156229016,5.74975137937693,8.93747769833793e-09,1.8189580013594e-05
"LOC111137010",57.2146211047629,1.38250881251406,0.240905252028629,3.6633025020525,0.000248984205256385,0.043165924120324
"LOC111137596",28.362700021146,1.80381227952283,0.267697991251434,4.87045970508697,1.11338906014688e-06,0.000623825341052884
"LOC111133240",12.3378666881686,2.30403802619158,0.379209270733254,4.75736793750642,1.9613348625783e-06,0.000934085728302914
"LOC111135380",29.7939468118452,1.36404352298699,0.230889835535494,3.74223283144122,0.0001823924033742,0.0369635668540266
"LOC111138233",59.9179671617029,1.13177063621798,0.173439777980314,3.64259366320041,0.000269904720053647,0.043268420599825
"LOC111136209",35.4150422586739,1.71828992662747,0.214436772311201,5.68134799594648,1.33637253130935e-08,2.12149139345359e-05
"LOC111135050",21.4218704924101,1.71972359643917,0.304608072473877,4.00423923940419,6.22173764739907e-05,0.0151953977157631
"LOC111134393",12.1831273084864,1.79922565715356,0.354798386339948,3.66187025413558,0.000250380665557847,0.043165924120324
"LOC111136099",25.5733254631921,1.5025316833076,0.275967831388243,3.63278458313207,0.000280379080238853,0.0437805039225422
"LOC111134499",46.6702735729307,1.88659170340563,0.268637393332673,5.16157369681039,2.4488244840288e-07,0.00021204593827613
"LOC111136185",63.633394696573,1.31095246473615,0.216102483507768,3.75262908400125,0.000174989674614893,0.0369635668540266
"LOC111099096",14.670865049313,1.91623033988753,0.388613780758393,3.64431322307642,0.000268106751736898,0.043268420599825
"LOC111101873",20.8376324390213,1.75514979476658,0.303253772708363,4.13894206016572,3.489110450243e-05,0.00977464030546015
"LOC111100608",31.4407979271998,1.76113318409415,0.23570445389134,5.35048516595079,8.7718743251324e-08,9.28356699409845e-05
