"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.478402774384181,-0.237902090005814,0.2750149733798,0,1,NA
"LOC111109452",3.3386871858605,0.311805696355898,0.295613685661103,0,1,1
"LOC111124802",316.608142060698,-0.0783941740790547,0.103372877051506,0,1,1
"LOC111101273",107.996235488817,-0.0565099643016591,0.12421499323175,0,1,1
"LOC111101250",171.639752149534,-0.0490606529318722,0.158518558992858,0,1,1
"LOC111101262",399.065246113726,-0.0704963153986385,0.131192091513567,0,1,1
"LOC111133260",30.0786584097004,1.72346223729746,0.253352778837644,4.82908552616069,1.37161491481879e-06,0.000687612213876264
"LOC111113503",23.3078284890041,-0.467738967994167,0.302470024833504,0,1,1
"LOC111102393",35.2556865729389,-0.163490696271231,0.252618655462339,0,1,1
"LOC111119377",75.1451368923165,0.376906998853096,0.382046477441879,0,1,1
"LOC111101799",23.4497823610575,-1.03286383535187,0.300629450740413,-1.77249379273886,0.076312624783126,1
"LOC111117743",2.36725330217411,-0.434328923332451,0.386815053171244,0,1,NA
"LOC111117672",341.028775958535,-0.277024933963751,0.105016313652797,0,1,1
"LOC111114053",34.7522909152452,0.272573152010561,0.249073099702068,0,1,1
"LOC111109809",3.50436284638018,1.98656364453985,0.392929975486304,3.78327879592293,0.000154775880703898,0.0335054605387416
"LOC111135172",0.157448414227249,0.0154234526106601,0.184421126713348,0,1,NA
"LOC111114201",714.723055855352,-0.106862766418302,0.11683597931578,0,1,1
"LOC111114212",258.551282684708,0.452305401166767,0.123683051560346,0,1,1
"LOC111138315",181.344221925647,-0.0668555480057682,0.133476574339283,0,1,1
"LOC111138321",197.013069672196,-0.290158165599964,0.138576457152515,0,1,1
"LOC111121058",89.6845231884319,-0.025562514838079,0.247174284834776,0,1,1
"LOC111138070",0.0881594584978383,0.0490939896711332,0.184421126713348,0,1,NA
"LOC111108878",0.431512732871209,0.0160760572026567,0.188035385646136,0,1,NA
"LOC111108901",18.8382397812619,-0.243878849721547,0.354141272849682,0,1,1
"LOC111130095",54.4148013386421,-0.455829733001544,0.224276822038404,0,1,1
"LOC111103224",4.10997835883012,-0.865468793152738,0.393385216617848,-0.929035402740543,0.352870739425437,1
"LOC111131060",0.168659127445136,0.0827645267316063,0.184421126713348,0,1,NA
"LOC111131074",0,NA,NA,NA,NA,NA
"LOC111131094",0.0881594584978383,0.0490939896711332,0.184421126713348,0,1,NA
"LOC111136780",327.610495341182,-0.320991050850186,0.185330986994732,0,1,1
"LOC111133372",373.906240494055,-0.279218547181897,0.114751109942584,0,1,1
"LOC111137104",159.483878951224,0.0781848959695405,0.131572918791412,0,1,1
"LOC111099747",2.69185938621378,-0.656237038367544,0.387567643988832,-0.40312198603464,0.686858487225465,1
"LOC111129066",0.826986139688104,-0.229149011639148,0.207901059869702,0,1,NA
"LOC111115406",11.2345816574989,-0.328526995412419,0.360505319302007,0,1,1
"LOC111114430",0.860327369858576,-0.295708398410192,0.344169244291252,0,1,NA
"LOC111129120",0,NA,NA,NA,NA,NA
"LOC111113958",0.130687270398811,0.0490939896711332,0.184421126713348,0,1,NA
"LOC111103230",3.25093932076544,-0.0859381413028805,0.383923478089057,0,1,1
"LOC111101640",0.491457561028001,-0.145514783517256,0.296241942130452,0,1,NA
"LOC111103163",0.943849695987303,0.247452370130921,0.269913030907296,0,1,NA
"LOC111103177",0.489189848910252,-0.118443989072926,0.190374771193436,0,1,NA
"LOC111102448",115.250327286877,0.0916513576167387,0.196137009888267,0,1,1
"LOC111129274",1.1961992219191,0.227021337785271,0.364612456236931,0,1,NA
"LOC111113346",85.5389611302531,0.233148082491785,0.213933891188847,0,1,1
"LOC111100652",101.57341992636,-0.738289399817069,0.226651476982955,-1.0513472181564,0.293099148042046,1
"LOC111134791",315.782118624117,-0.0445230454544366,0.158554116126127,0,1,1
"LOC111128971",128.699352351757,-0.101736834645319,0.15690544592386,0,1,1
"LOC111104153",25.9958030816345,1.44195429418005,0.2866266624962,3.28634568039371,0.00101496370209354,0.119352213116555
"LOC111134573",0.539919384107369,-0.0166192926370789,0.227348094163633,0,1,NA
"LOC111129318",10.0587756038607,-0.25566198397136,0.282084032200823,0,NA,NA
"LOC111134552",1.10138254249523,0.528489678836414,0.312749006583654,0.0910943863503317,0.927417593142027,NA
"LOC111134566",1.57140496842102,0.0613429961996705,0.199681639312367,0,1,NA
"LOC111121733",76.9827455742358,0.502743507094406,0.185534695460447,0.0147870299277315,0.988202087070008,1
"LOC111109754",0.420796195366007,0.0951644938070907,0.188612969718521,0,1,NA
"LOC111109745",1.40630065643311,-0.0518138541888188,0.372304606982902,0,1,NA
"LOC111099207",1.15735648039707,-0.102025733961931,0.358496394994792,0,1,NA
"LOC111103463",0.122719972435453,-0.0519176215102861,0.184421126713348,0,1,NA
"LOC111131721",72.8492144146314,-0.438896155537141,0.173695596341669,0,1,1
"LOC111131752",13.7919896842822,0.924776981542219,0.332563286210756,1.27728164579485,0.201502831114507,1
"LOC111131766",11.8046745509385,1.23335704524513,0.359931917054482,2.0374882317928,0.0416011400613624,1
"LOC111131682",311.83324444312,-0.30585557139475,0.110401890857267,0,1,1
"LOC111128103",310.49849299387,-0.0338179857352437,0.133690927376023,0,1,1
"LOC111100789",1.57351773891682,-0.0234202207191989,0.338239266591648,0,1,NA
"LOC111100985",7.02653250117522,-0.519479945759565,0.316019153517546,-0.0616416617244157,NA,NA
"LOC111103245",0.963309604798104,0.220154832104193,0.210412841601166,0,1,NA
"LOC111112387",193.732400655513,0.18523855184052,0.119168660254938,0,1,1
"LOC111114799",28.4786934495647,-0.272771138680025,0.301808151222821,0,1,1
"LOC111129446",88.9867287942815,0.360604584718967,0.170337282115607,0,1,1
"LOC111100566",75.6484209594997,-0.0574763021494123,0.216054193537548,0,1,1
"LOC111136882",32.3738872337463,1.16487552813012,0.28371992935188,2.34342201356436,0.0191077564271378,0.808895022082166
"LOC111136873",44.1825713560801,0.152244376173525,0.382104849404349,0,1,1
"LOC111129522",0.236250760618512,0.0497040306118948,0.184531365194215,0,1,NA
"LOC111100662",1.79097086947388,0.057583219696418,0.322763821270087,0,1,NA
"LOC111100672",0.702570103042472,-0.284399386933999,0.310584693645301,0,1,NA
"LOC111105302",6.37316189918188,-0.685398443287811,0.378073092347249,-0.490377249903645,0.623866972147542,1
"LOC111137770",5.19018491381763,-0.640809992533457,0.385466666465908,-0.365297455742286,0.714889377403266,1
"LOC111119645",1.71070985270125,-0.389222536092272,0.303781840393639,0,1,NA
"LOC111103288",21.8535588807295,0.146904476274592,0.306489595281863,0,1,1
"LOC111129738",5.04253759431702,0.614607801651854,0.392610054705691,0.291912548540731,0.770353488812577,1
"LOC111129748",1.65617810241834,0.345397160599779,0.256995498043368,0,1,NA
"LOC111134153",3.84183754363835,-0.0512588699919442,0.365215633821246,0,1,1
"LOC111133651",166.967829239945,-0.341017623257677,0.100454760511373,0,1,1
"LOC111105807",226.7403384406,-0.319266071430367,0.100320434236647,0,1,1
"LOC111129837",28.939236085528,-0.0767637594991351,0.226365223281608,0,1,1
"LOC111129861",0.979860302031945,-0.506858787017963,0.344992193419976,-0.0198809919435303,0.984138308380782,NA
"LOC111129878",2.3557300464527,-0.353260567785141,0.335686723029631,0,1,NA
"LOC111104541",0,NA,NA,NA,NA,NA
"LOC111126076",0.667594576347633,-0.146620206631038,0.300879900626703,0,1,NA
"LOC111126102",26.1588741522504,0.133237312877007,0.30064066448673,0,1,1
"LOC111129935",15.2068203206405,-0.0195846687535361,0.393192230654055,0,1,1
"LOC111116034",7.30880273519847,-0.543557024576248,0.393312927916051,-0.110743943269377,0.911819398584097,1
"LOC111111995",14.4728614316432,-0.732091421956521,0.29078593192015,-0.798152167898732,0.424782190965862,1
"LOC111130149",1.09168725015733,0.425799497287982,0.339476625613945,0,1,NA
"LOC111134929",17.2408980755542,-0.318902651248105,0.278707499598597,0,1,1
"LOC111118727",3.37127606772599,0.10726877710499,0.393377288258388,0,1,1
"LOC111103139",27.4446811485271,-0.0994179762714301,0.311697284993068,0,1,1
"LOC111119020",13.9741267564957,-0.104223697144257,0.393283480991336,0,1,1
"LOC111125333",125.747180755677,0.125807381145536,0.144927072480246,0,1,1
"LOC111136966",62.7461831015086,-0.307343298277522,0.166783738694275,0,1,1
"LOC111115980",2.36647980704242,-0.136254304322492,0.298077378054908,0,1,NA
"LOC111112068",62.0533980243509,0.0677040013378691,0.166940691612229,0,1,1
"LOC111106561",3.19984124489204,1.10379868152449,0.388226667205692,1.55527358764509,0.119880924985025,1
"LOC111124863",43.1970695147246,-0.370538246760519,0.36368784943248,0,1,1
"LOC111124850",21.9013322396693,-0.342174056478922,0.299502145415167,0,1,1
"LOC111119716",0.784123622392868,0.167036319780234,0.189904437587365,0,1,NA
"LOC111132898",8.59121864925105,0.355832726984878,0.361411768799202,0,1,1
"LOC111101169",8.03235483433762,-0.404384947412862,0.381699204629546,0,1,1
"LOC111101176",1.09304464799304,0.376150946448752,0.27773114283346,0,1,NA
"LOC111101185",1.8271782227007,-0.104003178718933,0.243346818106167,0,1,NA
"LOC111101139",25.1751802636649,0.285306609168024,0.347269053482235,0,1,1
"LOC111101156",52.8501239090523,0.294952715062603,0.356081864449784,0,1,1
"LOC111104454",0.801279572980059,-0.37091107659734,0.256580541203613,0,1,NA
"LOC111102578",1.4027263058139,0.424863896302436,0.361991750538547,0,1,NA
"LOC111108648",60.4718376055534,0.1344557303348,0.1631569672113,0,1,1
"LOC111127270",2.68475071512694,-0.176915501742652,0.353843674286001,0,1,1
"LOC111117581",67.2225166749275,-0.282355271732242,0.160547015463588,0,1,1
"LOC111114641",1.33822019843418,0.251932890339991,0.217980764574878,0,1,NA
"LOC111127966",131.090727994775,-0.0533417899397293,0.266273962712978,0,1,1
"LOC111118476",4.98551704581962,-0.16296417449685,0.393154147198817,0,1,1
"LOC111135129",30.3490830737683,-0.117872539309596,0.24441751965697,0,1,1
