"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.917102612505116,0.989789705617395,1.36927615715647,0,1,NA
"LOC111109452",1.36923649003621,2.08623360163704,1.62427810335692,0.66874853474421,0.503655901445489,NA
"LOC111124802",160.733118708791,0.467791369606773,0.191408246391604,0,1,1
"LOC111101273",55.0404755270725,0.420072173091455,0.231751228774074,0,1,1
"LOC111101250",77.7947775368251,-0.615532438674746,0.207941777641947,0,1,1
"LOC111101262",188.903905054396,0.170690799735105,0.182515222345359,0,1,1
"LOC111133260",32.3644538380726,1.39575672890279,0.620954026871638,0.637336601063055,0.523905614923027,1
"LOC111113503",13.8440463378042,-0.443423329260283,0.551159452992091,0,1,1
"LOC111102393",35.818069402315,2.69687385398971,0.587405447505452,2.88876084005667,NA,NA
"LOC111119377",45.7515650150131,1.66674271948516,0.635917224161919,1.04847406887566,0.294420243442629,1
"LOC111101799",8.25428712759712,0.239090279772113,0.581461116052809,0,1,NA
"LOC111117743",7.63600480622484,-0.12361512793477,1.60829194219149,0,NA,NA
"LOC111117672",218.12071096865,1.37622968983858,0.2976311149511,1.26408050415158,0.206201133397612,1
"LOC111114053",22.988056281795,-1.26218921998948,0.47065313613353,-0.557075263841636,0.577476007348799,1
"LOC111109809",2.67611146403421,1.23978917988778,1.19090356972694,0.201350626518619,0.840424418832634,NA
"LOC111135172",0.852058499864492,-1.78854664207727,2.55270870553877,-0.308905845922141,0.75739314974998,NA
"LOC111114201",425.410351391807,1.08888328398191,0.305275874915873,0.291157249181282,0.770931056994997,1
"LOC111114212",127.689931607715,-0.18867891906042,0.161250683099171,0,1,1
"LOC111138315",78.3715046284179,-0.218041581937437,0.230013501410171,0,1,1
"LOC111138321",89.4008285983748,0.462449207190942,0.205446649187621,0,1,1
"LOC111121058",76.5888839477095,2.32693117452594,0.504179060050806,2.63186490607567,NA,NA
"LOC111138070",1.94985983191552,-0.164554367125438,1.87595876997485,0,1,NA
"LOC111108878",0.24444168792834,-0.780757767831027,4.27978223423295,0,1,NA
"LOC111108901",8.69144438417314,-0.208356679748621,0.56833986435349,0,1,NA
"LOC111130095",21.2209105297291,-0.586035544539149,0.335308012782248,0,1,1
"LOC111103224",1.21279106379712,0.395964536881561,1.3894677626412,0,1,NA
"LOC111131060",0.355538971256422,1.46391020241233,3.81507083300774,0.121599368063789,0.903216313987981,NA
"LOC111131074",0.852862970675209,0.244024151445702,3.04449667184314,0,NA,NA
"LOC111131094",0.555186381809652,2.29535392236394,4.2892444304038,0.302000490618343,0.762651688944219,NA
"LOC111136780",148.687011111748,0.335295205999559,0.270636392046877,0,1,1
"LOC111133372",170.278435127995,0.0202901832444063,0.165610037553451,0,1,1
"LOC111137104",74.1003831513994,0.146492264036143,0.204656993025653,0,1,1
"LOC111099747",1.23548869367751,-1.59257214447932,1.11804511273908,-0.530007365291,0.596106824182424,NA
"LOC111129066",0.187531975120126,2.36397361056084,4.44006386524078,0.307196844900985,0.758693546906926,NA
"LOC111115406",5.27196226404488,-2.0958662242194,0.988067644315189,-1.10910040473891,0.267386870324427,NA
"LOC111114430",0.156315046237304,0.616409660870284,2.64918965798569,0,1,NA
"LOC111129120",0.268145744316353,0,4.46531370084778,0,1,NA
"LOC111113958",0.182805327456901,0.0889432508319911,4.43842787218072,0,1,NA
"LOC111103230",1.42511329285639,0.398163661082988,1.13661122626265,0,1,NA
"LOC111101640",0.326901698668205,0.357333671679903,1.61190643293904,0,1,NA
"LOC111103163",0.948873280994373,-0.77481182942541,1.4437963196759,0,1,NA
"LOC111103177",0.228005702541455,0.856539924764824,2.99275105332151,0,1,NA
"LOC111102448",48.0203972226589,0.147660499438434,0.239278164603542,0,1,1
"LOC111129274",0.504455417048282,-0.100881502851904,1.22057401840563,0,1,NA
"LOC111113346",40.5227269012363,-0.256933636189356,0.259579054334189,0,1,1
"LOC111100652",45.7283470760962,0.669930770817253,0.412238648407424,0,1,1
"LOC111134791",161.155421799816,0.678324326472857,0.278280429468472,0,1,1
"LOC111128971",57.733361332852,-0.336070787205428,0.243712640180182,0,1,1
"LOC111104153",9.20622174656171,-1.1992924202198,0.6370714330086,-0.312825862052282,0.754412965736812,NA
"LOC111134573",0.636748454430139,0,3.62465905569119,0,1,NA
"LOC111129318",3.23750764724608,1.47629331052889,1.57374106202182,0.302650367346319,0.762156325861318,NA
"LOC111134552",0.634969035570454,2.80388574340089,2.09721828414527,0.860132565617067,0.389715971663165,NA
"LOC111134566",1.18636947617613,3.09945749260756,2.19240608963686,0.957604297183513,0.33826233146941,NA
"LOC111121733",45.0320459510951,0.631339597228196,0.407491366057704,0,1,1
