"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","phase1","more_me_in"
"LOC111120752",0.25022859176777,-0.0183145039874906,0.132456364620417,0,1,1,"control","not significant"
"LOC111109452",0.627634631408236,-0.064318181280042,0.175823643199395,0,1,1,"control","not significant"
"LOC111124802",143.499375215889,0.0142528652466632,0.142547211409301,0,1,1,"control","not significant"
"LOC111101273",54.3974632601495,-0.259150862114096,0.197199832159895,-0.0464040055910223,0.962988243954103,1,"control","not significant"
"LOC111101250",88.6108831288633,0.0666122344576587,0.188983212264696,0,1,1,"control","not significant"
"LOC111101262",182.266905392385,0.159813759181079,0.118191624797953,0,1,1,"control","not significant"
"LOC111133260",26.0824347758421,0.538799462652507,0.265994227789478,1.0857358261213,0.277595885551336,1,"control","not significant"
"LOC111113503",12.0162515806611,0.542334898633695,0.276638428126484,1.05674002203351,0.290630254096962,1,"control","not significant"
"LOC111102393",17.4947912483527,-0.197657243268041,0.282759718331495,0,1,1,"control","not significant"
"LOC111119377",31.3122957904548,0.265989220610763,0.291772301921151,0.0548003374737205,0.956297531543093,1,"control","not significant"
"LOC111101799",7.22778073192989,-0.184975616613642,0.301492257788141,0,1,1,"control","not significant"
"LOC111117743",29.0870829696471,-0.0310245448078424,0.129015732486558,0,NA,NA,"control",NA
"LOC111117672",162.135090865176,-0.0181855452485744,0.159089632415668,0,1,1,"control","not significant"
"LOC111114053",25.6199360678491,0.305355750989303,0.279464077539315,0.198078234157001,0.842983854056797,1,"control","not significant"
"LOC111109809",1.9530853437021,-0.113797482794531,0.271491601299586,0,1,1,"control","not significant"
"LOC111135172",2.07741331611419,-0.108663754116733,0.117960944375893,0,1,1,"control","not significant"
"LOC111114201",363.757254423495,0.277355963010513,0.129042001892543,0.211992704772922,0.832112725730787,1,"control","not significant"
"LOC111114212",136.039612480759,0.141704238336278,0.121313546476844,0,1,1,"control","not significant"
"LOC111138315",77.8661238580059,0.292501179516482,0.196556093761839,0.216229264140644,0.828809043589227,1,"control","not significant"
"LOC111138321",78.1053126482366,0.00902711756575106,0.174592803361929,0,1,1,"control","not significant"
"LOC111121058",46.5569835813273,-0.147552179013007,0.247069171346122,0,1,1,"control","not significant"
"LOC111138070",3.60893301213937,-0.0356379738304555,0.125412379421298,0,1,1,"control","not significant"
"LOC111108878",0.527800197212864,0.0978056765066347,0.122158237850607,0,1,1,"control","not significant"
"LOC111108901",9.15909975180906,-0.0614764854990402,0.295986689424796,0,1,1,"control","not significant"
"LOC111130095",21.0694834583299,0.174269932641661,0.253861324029956,0,1,1,"control","not significant"
"LOC111103224",0.963305977623131,-0.0661323094596741,0.166997841309925,0,1,1,"control","not significant"
"LOC111131060",0.0421149735834579,-0.0237370922042418,0.112071395155144,0,1,1,"control","not significant"
"LOC111131074",0.570430521712039,0.0834399664472502,0.135350449979899,0,1,1,"control","not significant"
"LOC111131094",0,NA,NA,NA,NA,NA,"control",NA
"LOC111136780",143.906329080159,-0.110515925818387,0.136820248444868,0,1,1,"control","not significant"
"LOC111133372",186.479435759529,-0.00158362554252387,0.175690499342427,0,1,1,"control","not significant"
"LOC111137104",67.9436813499654,-0.296432655213292,0.176621554191491,-0.262893481069418,0.792632680991552,1,"control","not significant"
"LOC111099747",1.73881206466818,0.171007151709333,0.257051266809721,0,1,1,"control","not significant"
"LOC111129066",0,NA,NA,NA,NA,NA,"control",NA
"LOC111115406",5.21560839339963,0.13822554495998,0.273258418121055,0,1,1,"control","not significant"
"LOC111114430",0.0756243389664934,0.0259649198909246,0.112536924034336,0,1,1,"control","not significant"
"LOC111129120",0,NA,NA,NA,NA,NA,"control",NA
"LOC111113958",0.40642986442372,-0.0526093559282726,0.114601576252509,0,1,1,"control","not significant"
"LOC111103230",1.29735228165821,-0.111208253365302,0.231752353057311,0,1,1,"control","not significant"
"LOC111101640",0.328256516792282,0.00268419087235716,0.140873047969847,0,1,1,"control","not significant"
"LOC111103163",1.2366214680179,-0.374600076062523,0.216247470706946,-0.576192062062906,0.564485370028997,1,"control","not significant"
"LOC111103177",0.304566913532894,-0.065322600321817,0.113862743211947,0,1,1,"control","not significant"
"LOC111102448",42.9741901443789,0.157025231724707,0.214476200119952,0,1,1,"control","not significant"
"LOC111129274",0.642381236666298,-0.147712791714927,0.188454925162922,0,1,1,"control","not significant"
"LOC111113346",38.19709915829,-0.11701013017601,0.2279721968624,0,1,1,"control","not significant"
"LOC111100652",40.1380175283944,-0.321219022509582,0.243045189240891,-0.293027904530932,0.769500822660546,1,"control","not significant"
"LOC111134791",143.219924824478,-0.171715287309879,0.131721061637181,0,1,1,"control","not significant"
"LOC111128971",62.721723961174,0.0910510147245123,0.188026913090983,0,1,1,"control","not significant"
"LOC111104153",9.18764900188936,0.463934327258944,0.297406094665232,0.71933403886613,0.471935127796871,1,"control","not significant"
"LOC111134573",0,NA,NA,NA,NA,NA,"control",NA
"LOC111129318",1.46379740250706,-0.199229727833711,0.177660375430866,0,1,1,"control","not significant"
"LOC111134552",0.22447897561218,-0.0408666469717236,0.112758485106286,0,1,1,"control","not significant"
"LOC111134566",0.407871573113449,-0.0246234072460151,0.144568473574097,0,1,1,"control","not significant"
"LOC111121733",40.6706279732552,0.218985288759981,0.225553132591934,0,1,1,"control","not significant"
"LOC111109754",0.392938869946012,-0.0704834823079552,0.114123749083438,0,1,1,"control","not significant"
"LOC111109745",0.904839393685543,0.0808685511956976,0.187425964572859,0,1,1,"control","not significant"
"LOC111099207",0.831722442884475,0.057441694081935,0.184165316150232,0,1,1,"control","not significant"
"LOC111103463",0.0695100757560568,0.0160173623760913,0.11210291119442,0,1,1,"control","not significant"
"LOC111131721",26.989581523458,-0.183439086751429,0.265719123440198,0,1,1,"control","not significant"
"LOC111131752",7.73821103185064,0.413765765034876,0.301884590338022,0.542478053787066,0.587489221978526,1,"control","not significant"
"LOC111131766",5.92760234901441,0.000609967565011527,0.297284051915589,0,1,1,"control","not significant"
"LOC111131682",124.832727887805,0.205495111892764,0.11815900526212,0,1,1,"control","not significant"
"LOC111128103",142.346360739857,0.0787471508066167,0.167792705325783,0,1,1,"control","not significant"
"LOC111100789",0.213275683254049,-0.0154669321771256,0.11333483488892,0,1,1,"control","not significant"
"LOC111100985",0.547114014750722,0.000180245578114627,0.118385974233842,0,1,1,"control","not significant"
"LOC111103245",0.556080606048455,0.0869727016100117,0.115218060848519,0,1,1,"control","not significant"
"LOC111112387",87.3507974692776,0.536201187027765,0.193338476077611,1.48031159050243,0.138790111491738,1,"control","not significant"
"LOC111114799",15.4104046952339,0.153893743456972,0.284663097592223,0,1,1,"control","not significant"
"LOC111129446",44.7972583842387,0.306499212526624,0.182290112501417,0.309941179756446,0.756605686777332,1,"control","not significant"
"LOC111100566",32.1845452304146,0.177262350846118,0.220480876537854,0,1,1,"control","not significant"
"LOC111136882",26.2582975328193,0.0691386166189569,0.279300958244983,0,1,1,"control","not significant"
"LOC111136873",24.2379806846895,-0.0801571471444224,0.291843716867369,0,1,1,"control","not significant"
"LOC111129522",0.761783563064466,-0.109973099687114,0.132756912625949,0,1,1,"control","not significant"
"LOC111100662",7.47272660007691,-0.064344685219477,0.134732830643174,0,NA,NA,"control",NA
"LOC111100672",12.0156436296403,-0.0286219423442196,0.120745977403332,0,NA,NA,"control",NA
"LOC111105302",2.71659711917992,-0.195312831176457,0.290309014590018,0,1,1,"control","not significant"
"LOC111137770",4.32554043633137,-0.334351284927223,0.29855599797873,-0.282530866900327,0.777536481852932,1,"control","not significant"
"LOC111119645",0,NA,NA,NA,NA,NA,"control",NA
"LOC111103288",16.6300119952146,0.503429957860777,0.288945374685972,0.877086051770882,0.380439900167901,1,"control","not significant"
"LOC111129738",1.69299773594042,-0.0287825504257091,0.256793990211695,0,1,1,"control","not significant"
"LOC111129748",0,NA,NA,NA,NA,NA,"control",NA
"LOC111134153",1.41260147380719,0.116557870665637,0.247748712177736,0,1,1,"control","not significant"
"LOC111133651",84.7151103173461,0.0815030764952145,0.173843326598228,0,1,1,"control","not significant"
"LOC111105807",96.5223940486161,0.0793982068401935,0.167078433809229,0,1,1,"control","not significant"
"LOC111129837",10.3546548234685,0.133445115379956,0.283788999060351,0,1,1,"control","not significant"
"LOC111129861",0.369693152552921,-0.0111821743061429,0.143258239692677,0,1,1,"control","not significant"
"LOC111129878",0.2937417767874,-0.0471489336591426,0.13733322463441,0,1,1,"control","not significant"
"LOC111104541",0.117827071481919,-0.0457647615217826,0.112943127795066,0,1,1,"control","not significant"
"LOC111126076",0.506544712898773,-0.0244279430008801,0.175024085522399,0,1,1,"control","not significant"
"LOC111126102",11.164918948436,0.0847883179934695,0.297506609645408,0,1,1,"control","not significant"
"LOC111129935",9.28929774843139,0.223237839208142,0.301622477140815,0,1,1,"control","not significant"
"LOC111116034",2.95433121282749,-0.375506092996699,0.276155115229408,-0.454476799723366,0.649485686661797,1,"control","not significant"
"LOC111111995",6.07384605692037,0.285873682302462,0.296851154433289,0.120847373394749,0.903811926498931,1,"control","not significant"
"LOC111130149",0.486123825951531,0.0549593616250194,0.135622940532711,0,1,1,"control","not significant"
"LOC111134929",7.5425725378746,0.407083778084776,0.296413631681814,0.529947888001985,0.596148062383912,1,"control","not significant"
"LOC111118727",0.87531688487547,-0.0736121009328733,0.222470865557195,0,1,1,"control","not significant"
"LOC111103139",16.6531045245536,-0.389363879721426,0.253972502068905,-0.548736097751306,0.583186569744074,1,"control","not significant"
"LOC111119020",6.92194888338753,0.317844672987047,0.30095128916025,0.225434066676888,0.821641612247554,1,"control","not significant"
"LOC111125333",65.0676951484634,0.0778908320581606,0.148143380279113,0,1,1,"control","not significant"
"LOC111136966",27.0188169630098,0.14337081807273,0.246410592714113,0,1,1,"control","not significant"
"LOC111115980",0.356580675188286,0.0601836892099338,0.126143258365541,0,1,1,"control","not significant"
"LOC111112068",28.7539874618831,0.0614275322418072,0.230976599031251,0,1,1,"control","not significant"
"LOC111106561",1.65256990375684,-0.149962631278693,0.252405709805079,0,1,1,"control","not significant"
"LOC111124863",20.058885212979,-0.273522987546863,0.300986049578556,-0.0781530824428564,0.937706282595496,1,"control","not significant"
"LOC111124850",7.59251406715277,0.219331277883037,0.294530361719667,0,1,1,"control","not significant"
"LOC111119716",0.68743518218521,0.095161780076237,0.115724522703941,0,1,1,"control","not significant"
"LOC111132898",4.98372352950369,-0.0639914672934563,0.302302997737335,0,1,1,"control","not significant"
"LOC111101169",3.54457976351284,0.0516947708978692,0.295696261566178,0,1,1,"control","not significant"
"LOC111101176",0.320803085019765,0.0689520932609143,0.114240389288777,0,1,1,"control","not significant"
"LOC111101185",0.348276815715086,-0.0251799770828225,0.112110050486931,0,1,1,"control","not significant"
"LOC111101139",10.1856637039432,0.555095288368849,0.286987741161493,1.06309519401097,0.287738783721451,1,"control","not significant"
"LOC111101156",26.4177105884033,-0.114451180794416,0.287143364758575,0,1,1,"control","not significant"
"LOC111104454",0.204681285067048,0.015227306410181,0.113643488269615,0,1,1,"control","not significant"
"LOC111102578",0.978360938024532,0.0804266284180958,0.207168377855596,0,1,1,"control","not significant"
"LOC111108648",28.9810802821556,0.139139866057949,0.213223367447615,0,1,1,"control","not significant"
"LOC111127270",0.192950403842391,-0.0134362929072711,0.123201504569737,0,1,1,"control","not significant"
"LOC111117581",39.9090669213873,-0.141959601464299,0.250286542825663,0,1,1,"control","not significant"
"LOC111114641",1.28242221833939,-0.157505212899864,0.181747760930036,0,1,1,"control","not significant"
"LOC111127966",73.3382553285984,0.030209689773846,0.170883261291497,0,1,1,"control","not significant"
"LOC111118476",1.18418429838947,-0.0876677254626061,0.211034232985149,0,1,1,"control","not significant"
"LOC111135129",16.4022056497469,-0.101193190269528,0.274831503146814,0,1,1,"control","not significant"
"LOC111124109",0.0458290121456807,0.0159317911517476,0.112098983352106,0,1,1,"control","not significant"
