"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","plot","more_me_in"
"LOC111120752",0.917102612505116,-0.472118497185029,0.700947288431886,-0.316883310415449,0.751332146282406,1,"hypoxic_vs_control","not significant"
"LOC111109452",1.36923649003621,0.45155836526364,0.724106595011887,0.278354549802618,0.780740205274106,1,"hypoxic_vs_control","not significant"
"LOC111124802",160.733118708791,0.0101587144224643,0.145625371588802,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101273",55.0404755270725,-0.127783281375292,0.170956247374191,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101250",77.7947775368251,-0.206452164363349,0.144156511426448,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101262",188.903905054396,0.0128418810675091,0.137782422278446,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133260",32.3644538380726,-0.81303680741686,0.448983337566778,-1.25402606356883,0.209832532176168,1,"hypoxic_vs_control","not significant"
"LOC111113503",13.8440463378042,-0.203717654920881,0.364951554896828,0,1,1,"hypoxic_vs_control","not significant"
"LOC111102393",35.818069402315,-0.106389351985341,0.433721855364513,0,NA,NA,"hypoxic_vs_control",NA
"LOC111119377",45.7515650150131,0.125181036902217,0.457340701092302,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101799",8.25428712759712,0.595407930585795,0.385420730800462,0.896184099564219,0.370154446433586,1,"hypoxic_vs_control","not significant"
"LOC111117743",7.63600480622484,-2.38357415389815,0.723778276195734,-2.94782839450844,NA,NA,"hypoxic_vs_control",NA
"LOC111117672",218.12071096865,-0.0393899881986637,0.233918148121395,0,1,1,"hypoxic_vs_control","not significant"
"LOC111114053",22.988056281795,-0.734449556757887,0.309654096166677,-1.56448618879927,0.117703433933102,1,"hypoxic_vs_control","not significant"
"LOC111109809",2.67611146403421,-0.208702157966608,0.664635167471053,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135172",0.852058499864492,-1.2223959293973,0.690044027964467,-1.40917954505849,0.158782084543127,1,"hypoxic_vs_control","not significant"
"LOC111114201",425.410351391807,-0.146464592160085,0.240591149934593,0,1,1,"hypoxic_vs_control","not significant"
"LOC111114212",127.689931607715,-0.196328568331012,0.115771537027745,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138315",78.3715046284179,0.0494313614822471,0.165182819942098,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138321",89.4008285983748,0.209044638015417,0.152373113099599,0,1,1,"hypoxic_vs_control","not significant"
"LOC111121058",76.5888839477095,-0.157067570700972,0.380918632925208,0,NA,NA,"hypoxic_vs_control",NA
"LOC111138070",1.94985983191552,-1.99364909268173,0.728464031478011,-2.39359668746303,0.016684083303706,1,"hypoxic_vs_control","not significant"
"LOC111108878",0.24444168792834,-0.294469493590816,0.521223328782827,-0.0853175426638369,0.932008945353429,1,"hypoxic_vs_control","not significant"
"LOC111108901",8.69144438417314,-0.0498403654491491,0.374233102340668,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130095",21.2209105297291,0.176685426457773,0.215960483807881,0,1,1,"hypoxic_vs_control","not significant"
"LOC111103224",1.21279106379712,0.962765910409209,0.685582722252007,1.03964975673236,0.298502651222034,1,"hypoxic_vs_control","not significant"
"LOC111131060",0.355538971256422,-0.0940323545269023,0.564239632203196,0,1,1,"hypoxic_vs_control","not significant"
"LOC111131074",0.852862970675209,-0.468307911388472,0.640686851565787,-0.34074042701976,NA,NA,"hypoxic_vs_control",NA
"LOC111131094",0.555186381809652,-0.0663122087068753,0.520585090868357,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136780",148.687011111748,0.0570618050572263,0.207724609884346,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133372",170.278435127995,-0.0990499920649078,0.123204906738668,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137104",74.1003831513994,0.139344641550567,0.14701960967972,0,1,1,"hypoxic_vs_control","not significant"
"LOC111099747",1.23548869367751,-0.28516145310509,0.569269176847545,-0.0617659527954848,0.950749217429892,1,"hypoxic_vs_control","not significant"
"LOC111129066",0.187531975120126,0.114614191583394,0.506651735494875,0,1,1,"hypoxic_vs_control","not significant"
"LOC111115406",5.27196226404488,-0.0625018705806354,0.533999031869427,0,1,1,"hypoxic_vs_control","not significant"
"LOC111114430",0.156315046237304,0.20198282118379,0.681984683393607,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129120",0.268145744316353,0,0.50640916573442,0,1,1,"hypoxic_vs_control","not significant"
"LOC111113958",0.182805327456901,-0.286843347815347,0.506538037211516,-0.0727355995181895,0.942016519244985,1,"hypoxic_vs_control","not significant"
"LOC111103230",1.42511329285639,0.0886319290457349,0.635819305049045,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101640",0.326901698668205,-0.53666262785424,0.723955009512898,-0.395967462186796,0.692129031970389,1,"hypoxic_vs_control","not significant"
"LOC111103163",0.948873280994373,-0.973191815328649,0.701390522347379,-1.03108295918842,0.302501918246676,1,"hypoxic_vs_control","not significant"
"LOC111103177",0.228005702541455,-0.282513696620991,0.642770904249678,-0.050583647153328,0.959657293823526,1,"hypoxic_vs_control","not significant"
"LOC111102448",48.0203972226589,0.246957994524861,0.169867395568982,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129274",0.504455417048282,-0.497840574496821,0.658325265587336,-0.37647130902033,0.706566541350961,1,"hypoxic_vs_control","not significant"
"LOC111113346",40.5227269012363,-0.0304804105943224,0.178557319228881,0,1,1,"hypoxic_vs_control","not significant"
"LOC111100652",45.7283470760962,0.238996953273642,0.306685512811088,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134791",161.155421799816,0.0165104853854928,0.215710735575948,0,1,1,"hypoxic_vs_control","not significant"
"LOC111128971",57.733361332852,-0.125286841226476,0.172058859938349,0,1,1,"hypoxic_vs_control","not significant"
"LOC111104153",9.20622174656171,0.227364407458919,0.38542265782532,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134573",0.636748454430139,0.0440380930682719,0.586012665295985,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129318",3.23750764724608,0.964793601348817,0.719070720955176,0.994051879068755,0.320197611033636,1,"hypoxic_vs_control","not significant"
"LOC111134552",0.634969035570454,0.20838769365717,0.722100818602192,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134566",1.18636947617613,0.107516472496654,0.716449340936078,0,1,1,"hypoxic_vs_control","not significant"
"LOC111121733",45.0320459510951,-0.214902352260275,0.304401822098788,0,1,1,"hypoxic_vs_control","not significant"
"LOC111109754",0.222088896435733,-0.200670223850706,0.577144336304541,0,1,1,"hypoxic_vs_control","not significant"
"LOC111109745",0.828998103914135,-0.389374756685901,0.645749943383911,-0.215833943330352,0.82911718888999,1,"hypoxic_vs_control","not significant"
"LOC111099207",0.505727332650797,-0.0865827181170937,0.6688688106134,0,1,1,"hypoxic_vs_control","not significant"
"LOC111103463",0.407357719962348,-0.122764956494423,0.569100953964609,0,1,1,"hypoxic_vs_control","not significant"
"LOC111131721",30.5216720851471,0.322132344510723,0.218415186485211,0.330253338476567,0.74120854722648,1,"hypoxic_vs_control","not significant"
"LOC111131752",8.10882746133699,-0.392606442716837,0.381201300119817,-0.374097472049581,0.708331799394064,1,"hypoxic_vs_control","not significant"
"LOC111131766",7.24323115991144,-0.054032078097915,0.422546394023629,0,1,1,"hypoxic_vs_control","not significant"
"LOC111131682",161.789747916987,0.181265300895175,0.222500910155178,0,1,1,"hypoxic_vs_control","not significant"
"LOC111128103",213.591572846195,0.00238202041974157,0.27958473842674,0,1,1,"hypoxic_vs_control","not significant"
"LOC111100789",0.465226738523473,0.57533238997698,0.723144696335449,0.449885606055896,0.652792926901111,1,"hypoxic_vs_control","not significant"
"LOC111100985",0.497831592390103,1.30950255924425,0.716848491984611,1.47800068088445,NA,NA,"hypoxic_vs_control",NA
"LOC111103245",0.331090043874262,-0.100834631857564,0.508115081696329,0,1,1,"hypoxic_vs_control","not significant"
"LOC111112387",104.085014474938,0.0254925510551306,0.285860305584155,0,1,1,"hypoxic_vs_control","not significant"
"LOC111114799",14.6201289667006,-0.108386591581917,0.320259344297263,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129446",45.2390094493247,-0.132417090241703,0.185976347292959,0,1,1,"hypoxic_vs_control","not significant"
"LOC111100566",31.674310438054,0.120512319360043,0.195774914297763,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136882",20.7147830521495,-0.780733243841341,0.387436688253666,-1.3698579921111,0.170731235052329,1,"hypoxic_vs_control","not significant"
"LOC111136873",21.5126167833407,-0.269881199047072,0.38752075485279,-0.051303572255439,0.959083621606986,1,"hypoxic_vs_control","not significant"
"LOC111129522",0.667426293996069,-0.712799184425365,0.69220905690163,-0.66858296610114,0.503761541496933,1,"hypoxic_vs_control","not significant"
"LOC111100662",7.39849044238796,-1.61908849481498,0.717837648044634,-1.9072397477958,0.0564895485362243,1,"hypoxic_vs_control","not significant"
"LOC111100672",7.23566828102186,-2.09919625182346,0.728183355473268,-2.53946514696372,0.0111022106571343,1,"hypoxic_vs_control","not significant"
"LOC111105302",3.04861530031557,-0.0838284100804124,0.428997764437407,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137770",10.0914340550225,-0.602551645835826,0.537796327868255,-0.655548629782001,0.512114587321363,1,"hypoxic_vs_control","not significant"
"LOC111119645",0.260959788434924,0.389092606126024,0.588465548979906,0.236364909325854,0.813149523098326,1,"hypoxic_vs_control","not significant"
"LOC111103288",19.3320669871314,-0.611280780029451,0.428539252450537,-0.843051781052778,NA,NA,"hypoxic_vs_control",NA
"LOC111129738",1.56516434289869,0.133507634748104,0.550096108285686,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129748",0.316768500633178,0.273638017545692,0.530801981551602,0.0445326475168669,0.964479828826674,1,"hypoxic_vs_control","not significant"
"LOC111134153",1.89425590074647,-0.0605969582379136,0.607760503177019,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133651",100.56843312275,-0.129038177586581,0.29362423925427,0,1,1,"hypoxic_vs_control","not significant"
"LOC111105807",89.5650236451195,0.103269146983355,0.183876943004176,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129837",10.5184087409871,0.362160124065522,0.236907376162366,0.473434495296813,0.635903224378745,1,"hypoxic_vs_control","not significant"
"LOC111129861",0.383689040781238,-0.0775241849002226,0.720464072391893,0,1,1,"hypoxic_vs_control","not significant"
"LOC111129878",0.738489648651927,0.574967434449681,0.727307100963612,0.446809104461005,0.655012897078945,1,"hypoxic_vs_control","not significant"
"LOC111104541",1.01891042315392,-0.284881798347068,0.606781639325999,-0.0574865752131422,0.954157599851812,1,"hypoxic_vs_control","not significant"
"LOC111126076",0.395680889743017,-0.647799280896596,0.724016857041022,-0.549433727996829,0.582707833053082,1,"hypoxic_vs_control","not significant"
"LOC111126102",14.1224941105495,0.278142163770253,0.342172514989202,0.0822455414665348,0.934451459235665,1,"hypoxic_vs_control","not significant"
"LOC111129935",8.67291802702255,-0.484002631900512,0.473050975098871,-0.49466684188021,0.620835311002874,1,"hypoxic_vs_control","not significant"
"LOC111116034",3.85621412166283,0.136044697547869,0.550611797404351,0,1,1,"hypoxic_vs_control","not significant"
"LOC111111995",10.0474370718244,0.219038031394841,0.472545860764976,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130149",0.369983122830012,-0.220027218049311,0.729694754522315,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134929",8.73705199337213,0.0471391626081097,0.298018612491742,0,1,1,"hypoxic_vs_control","not significant"
"LOC111118727",1.53655460631975,0.298886815573204,0.578678925456895,0.0844800344761229,0.932674776267957,1,"hypoxic_vs_control","not significant"
"LOC111103139",24.1694905299463,-0.359551393013198,0.414193115692978,-0.264493514890778,0.791399661311664,1,"hypoxic_vs_control","not significant"
"LOC111119020",6.9394087445123,-0.167290975508098,0.456158055197731,0,1,1,"hypoxic_vs_control","not significant"
"LOC111125333",89.4064914086259,-0.173938179583882,0.296918517064098,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136966",31.2387179640059,0.0911175269161413,0.268016916968597,0,1,1,"hypoxic_vs_control","not significant"
"LOC111115980",1.15678795584721,0.498614169019137,0.728832353442504,0.341112970417483,0.733018537218565,1,"hypoxic_vs_control","not significant"
"LOC111112068",26.3836559208414,-0.000642713340388154,0.165184982903843,0,1,1,"hypoxic_vs_control","not significant"
"LOC111106561",1.23235430484419,-0.164235700821382,0.618421583365419,0,1,1,"hypoxic_vs_control","not significant"
"LOC111124863",18.0904423015058,-0.0304414919918473,0.412812403167872,0,1,1,"hypoxic_vs_control","not significant"
"LOC111124850",8.40265995322779,0.447306195535826,0.297493854720964,0.663227802540291,0.507184667737219,1,"hypoxic_vs_control","not significant"
"LOC111119716",0.349593185701423,-0.181584884171051,0.50819831479482,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132898",5.1030100583594,-0.378175560430806,0.345819241806372,-0.370643228992367,0.710903279698901,1,"hypoxic_vs_control","not significant"
"LOC111101169",4.04072847528382,-0.0169040339989186,0.415264203497322,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101176",0.274194828413767,-0.00278984372002449,0.571987913617781,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101185",0.608221594856325,0.47122334173322,0.692470387114091,0.319469750403596,0.749370326205878,1,"hypoxic_vs_control","not significant"
"LOC111101139",11.0351446239799,0.147314806365118,0.319309568465434,0,1,1,"hypoxic_vs_control","not significant"
"LOC111101156",26.784994471756,-0.104582113695076,0.346939292603872,0,1,1,"hypoxic_vs_control","not significant"
"LOC111104454",0.233295514103412,-0.00486772334412795,0.630842838262961,0,1,1,"hypoxic_vs_control","not significant"
"LOC111102578",1.03225561630635,-0.653965339024808,0.633175988473253,-0.637998512860335,0.523474648151785,1,"hypoxic_vs_control","not significant"
"LOC111108648",27.5377816413651,-0.0948861746310131,0.146677818936269,0,1,1,"hypoxic_vs_control","not significant"
"LOC111127270",1.82733001549825,1.01297339530918,0.663560731436791,1.14981697855619,0.250219260713854,1,"hypoxic_vs_control","not significant"
"LOC111117581",37.4664627075452,-0.306831353828829,0.270374457621782,-0.210194980430914,0.833515497092692,1,"hypoxic_vs_control","not significant"
"LOC111114641",0.797085801265416,-0.322662950039237,0.700969374926572,-0.103660662845432,0.917438644920497,1,"hypoxic_vs_control","not significant"
"LOC111127966",92.0728715097905,-0.273424867259686,0.299510694548105,-0.0782104535366553,0.93766064677082,1,"hypoxic_vs_control","not significant"
"LOC111118476",1.97486114002248,0.938329898711531,0.566352249908794,1.2153741753871,0.22422341293742,1,"hypoxic_vs_control","not significant"
"LOC111135129",24.5051145404061,-0.231694140898875,0.383221718387612,0,1,1,"hypoxic_vs_control","not significant"
"LOC111124109",0.342942935871185,0.195407709266833,0.530417053898683,0,1,1,"hypoxic_vs_control","not significant"
"LOC111118316",15.555306537875,-0.018091673597563,0.294005649262424,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134171",9.43270011833667,0.419498547439392,0.301659825768873,0.561886379823275,0.574193434041145,1,"hypoxic_vs_control","not significant"
"LOC111111295",18.6412266788495,0.416127746069743,0.429325857917871,0.386950245381033,0.698793042532658,1,"hypoxic_vs_control","not significant"
"LOC111104675",3.03873275279673,-0.463114821623801,0.534916044172022,-0.398407981861291,0.690329475205144,1,"hypoxic_vs_control","not significant"
"LOC111104690",0.166606955507639,-0.0103141646617926,0.627561379529269,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130258",8.31966555680042,-0.043322730210653,0.29468797726326,0,1,1,"hypoxic_vs_control","not significant"
"LOC111124761",21.6007705349845,0.220392664412991,0.390287932071424,0,1,1,"hypoxic_vs_control","not significant"
"LOC111124729",1.33873806065842,-0.977353374564027,0.632433945418153,-1.15008591779987,0.250108485840268,1,"hypoxic_vs_control","not significant"
"LOC111121476",0.174345829935312,0.00338464585989236,0.705197515714007,0,1,1,"hypoxic_vs_control","not significant"
"LOC111121537",3.40136671417177,0.740882332065392,0.660307656619712,0.743414569169692,0.45723072635834,1,"hypoxic_vs_control","not significant"
"LOC111121602",1.33746755590029,0.947051218178769,0.591845569973056,1.1777586139751,0.238892852115759,1,"hypoxic_vs_control","not significant"
"LOC111121643",0.674447445782112,0.346818389092624,0.644311578900674,0.150266411877644,0.88055443150321,1,"hypoxic_vs_control","not significant"
"LOC111121500",45.4368058635554,0.00896279784659286,0.175108943140321,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130637",43.5847301692738,-0.222883393550144,0.209111569053996,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130647",42.3291622354415,-0.0934659788362292,0.198389376620476,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130653",43.1322403890032,-0.19566144082433,0.212712782891468,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130687",69.1865672256916,-0.155033988138622,0.161501013168751,0,1,1,"hypoxic_vs_control","not significant"
"LOC111130696",22.1937240414412,-0.239230160600816,0.205540986215067,0,1,1,"hypoxic_vs_control","not significant"
"LOC111121491",58.4564335997524,0.000791187100708305,0.125051357087902,0,1,1,"hypoxic_vs_control","not significant"
"LOC111111234",4.18387737018236,-0.259266612200841,0.532195055926104,-0.0174120599161066,0.986107888192728,1,"hypoxic_vs_control","not significant"
"LOC111104573",0.719588624179164,-0.59118973899585,0.712717567652404,-0.47871661157404,0.632140246588263,1,"hypoxic_vs_control","not significant"
"LOC111103358",1.21937593428631,1.15453950742055,0.718080147130253,1.25966371725422,0.207790699364813,1,"hypoxic_vs_control","not significant"
"LOC111103323",19.1254640146375,-0.0013790745499151,0.618444625979245,0,1,1,"hypoxic_vs_control","not significant"
"LOC111103371",1.38091177739352,-1.4628096958475,0.726828136067876,-1.66863338891746,0.0951900575878812,1,"hypoxic_vs_control","not significant"
"LOC111103401",0.425972972052521,-0.0516328939599355,0.53304823983547,0,1,1,"hypoxic_vs_control","not significant"
"LOC111103364",1.17459396807328,0.268152188873127,0.570013069256441,0.0318452152277946,0.974595488367811,1,"hypoxic_vs_control","not significant"
"LOC111099041",1.04454248308807,1.07531530732049,0.575368490869168,1.43441172121494,0.151454804725219,1,"hypoxic_vs_control","not significant"
"LOC111127424",3.37854365163159,0.5267994680816,0.683020029789136,0.405258200359152,0.6852877282478,1,"hypoxic_vs_control","not significant"
"LOC111127416",0.27594771770959,-0.738316233786523,0.71821777937101,-0.679899952092768,0.496567811977701,1,"hypoxic_vs_control","not significant"
"LOC111137796",18.0464905661287,0.00316595114958507,0.343555785462562,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137514",0.257653103811602,0.000925548348317808,0.725785039252695,0,1,1,"hypoxic_vs_control","not significant"
"LOC111105370",0.716283105995995,0.53564521827426,0.70503685288196,0.405149343763572,0.685367737715797,1,"hypoxic_vs_control","not significant"
"LOC111105035",11.3846846670387,0.539538133679801,0.272446762667007,1.06273288346496,0.287903103964811,1,"hypoxic_vs_control","not significant"
"LOC111131375",4.49443605418506,0.498253828621483,0.541534852928465,0.458426317861163,0.646646187454677,1,"hypoxic_vs_control","not significant"
"LOC111134598",0.200769438488058,-0.421608375072336,0.704632934295701,-0.243542938060174,0.807584826424399,1,"hypoxic_vs_control","not significant"
"LOC111135077",0.215474835366652,-0.659495353023261,0.726291095847386,-0.56381711873459,0.572878600226885,1,"hypoxic_vs_control","not significant"
"LOC111125571",20.9017473778255,-0.217023705168236,0.37683094298798,0,1,1,"hypoxic_vs_control","not significant"
"LOC111125589",14.9318530266526,0.50393260138149,0.271685886206666,0.934655108246323,0.349966068964094,1,"hypoxic_vs_control","not significant"
"LOC111099659",3.87494373155259,-0.710018302741191,0.455771364001652,-1.00931813421153,0.31282208593016,1,"hypoxic_vs_control","not significant"
