"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC111120752",0.917102612505116,0.511734507992883,0.721948308624037,0.362539124846381,0.716949191759182,NA
"LOC111109452",1.36923649003621,1.00725479556936,0.720574794977849,1.0509038074148,0.293302771551901,NA
"LOC111124802",160.733118708791,0.459165988982339,0.187996876457332,1.11260353322844,0.265878742331543,1
"LOC111101273",55.0404755270725,0.405567005239708,0.225826277807008,0.688879109864512,0.490899346541196,1
"LOC111101250",77.7947775368251,-0.602775270540662,0.203194499682438,-1.73614576719348,0.082538063689753,0.603687752541002
"LOC111101262",188.903905054396,0.167463468066321,0.179518816998546,0,1,1
"LOC111133260",32.3644538380726,1.15239212038611,0.523532270085472,1.72366093161513,0.0847690717831474,0.612451603710642
"LOC111113503",13.8440463378042,-0.357964384019218,0.474441459449561,-0.227561023323039,0.819987523828366,1
"LOC111102393",35.818069402315,2.26290521396807,0.50444522878875,3.99033452809408,NA,NA
"LOC111119377",45.7515650150131,1.38660980294434,0.531697772634465,2.13769901143772,0.0325411798019051,0.308391390478433
"LOC111101799",8.25428712759712,0.19131720084737,0.498497347761371,0,1,1
"LOC111117743",7.63600480622484,-1.01107224909931,0.72070830697386,-1.05600593434941,NA,NA
"LOC111117672",218.12071096865,1.31426644560906,0.2853027727464,3.73030530115129,0.000191247885145983,0.0058114982353919
"LOC111114053",22.988056281795,-1.11954807307812,0.418289974550279,-2.07881643353515,0.0376342258446265,0.34257645522884
"LOC111109809",2.67611146403421,0.569521966071942,0.710021509320785,0.450017304937142,0.652697962831577,NA
"LOC111135172",0.852058499864492,-0.666613112314408,0.632422417238221,-0.658757660953499,0.51005139933821,NA
"LOC111114201",425.410351391807,1.03414571739647,0.291920664117165,2.68616036404241,0.00722783892591402,0.100647284316152
"LOC111114212",127.689931607715,-0.186443046872611,0.159105022082412,0,1,1
"LOC111138315",78.3715046284179,-0.211248610364579,0.22384867241136,0,1,1
"LOC111138321",89.4008285983748,0.452433647961934,0.201245378871026,1.00590457826944,0.314461473728395,1
"LOC111121058",76.5888839477095,2.05429920127201,0.449013359581696,4.01836418175376,NA,NA
"LOC111138070",1.94985983191552,-0.396985888910146,0.701088036499262,-0.209653968200755,0.833937755040661,NA
"LOC111108878",0.24444168792834,-0.144962194492168,0.453802001929693,0,1,NA
"LOC111108901",8.69144438417314,-0.199340655210802,0.488641555704418,0,1,1
"LOC111130095",21.2209105297291,-0.550589484301575,0.315547767324941,-0.952595820435762,0.340794895704035,1
"LOC111103224",1.21279106379712,0.292484223862962,0.720731856255388,0.0589459498622582,0.952995158957314,NA
"LOC111131060",0.355538971256422,0.181996502497022,0.495373134525408,0,1,NA
"LOC111131074",0.852862970675209,0.041348642496332,0.574627135221167,0,NA,NA
"LOC111131094",0.555186381809652,0.182775107393743,0.453174938177673,0,1,NA
"LOC111136780",148.687011111748,0.320821379160555,0.261179312264756,0.271159987927235,0.786267985452741,1
