"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",12,0.751357483106948,1.66048235129548,0.00902713491417396,0.201409422611903,0.176966956796887,1456,"tags=50%, list=11%, signal=45%","111124535/111103451/111124599/111127562/111112920/111115614"
"cvn00910","cvn00910","Nitrogen metabolism",10,0.775253329157143,1.65230277241862,0.006203041664638,0.201409422611903,0.176966956796887,1396,"tags=50%, list=10%, signal=45%","111134700/111100398/111100399/111126492/111135592"
"cvn00052","cvn00052","Galactose metabolism",21,0.648460038365527,1.62635792217449,0.013316325461944,0.201409422611903,0.176966956796887,2261,"tags=38%, list=17%, signal=32%","111101197/111118471/111101820/111113388/111109442/111099882/111120703/111118006"
"cvn00592","cvn00592","alpha-Linolenic acid metabolism",11,0.737686852443902,1.60592883243228,0.0126872497154572,0.201409422611903,0.176966956796887,1603,"tags=45%, list=12%, signal=40%","111113990/111115744/111107112/111115745/111124908"
"cvn00511","cvn00511","Other glycan degradation",37,0.591543216960278,1.58960731654794,0.00613253135948207,0.201409422611903,0.176966956796887,2224,"tags=30%, list=16%, signal=25%","111106921/111106925/111106928/111119851/111119435/111120040/111113388/111119434/111106926/111119431/111106930"
"cvn00380","cvn00380","Tryptophan metabolism",31,0.583486016992858,1.53486853929973,0.0123378876163328,0.201409422611903,0.176966956796887,2378,"tags=42%, list=18%, signal=35%","111127901/111100724/111103451/111134248/111133558/111112920/111115614/111121380/111125148/111109254/111130627/111108303/111103498"
"cvn03015","cvn03015","mRNA surveillance pathway",61,0.536500318578535,1.52010386377705,0.00474542491941748,0.201409422611903,0.176966956796887,1963,"tags=36%, list=14%, signal=31%","111135039/111127981/111101410/111100273/111134286/111121238/111129219/111132883/111122880/111118318/111103910/111119442/111126090/111138352/111108043/111130886/111118849/111136672/111104361/111129063/111135694/111129838"
"cvn04814","cvn04814","Motor proteins",111,0.48194930770566,1.43358682328621,0.0123912625974981,0.201409422611903,0.176966956796887,1180,"tags=18%, list=9%, signal=17%","111136151/111134768/111107338/111102596/111112439/111103394/111115784/111129526/111107250/111127380/111134843/111137068/111131563/111119946/111134888/111120500/111129376/111130940/111125250/111131555"
"cvn00071","cvn00071","Fatty acid degradation",38,0.565636518458156,1.52700164946097,0.0150956563504923,0.202952713156619,0.178322958058447,3019,"tags=42%, list=22%, signal=33%","111127947/111113990/111128659/111115744/111107112/111115745/111103451/111112920/111115614/111135553/111121380/111117093/111103498/111129333/111107779/111134458"
"cvn03250","cvn03250","Viral life cycle - HIV-1",28,0.60405006301517,1.56516477824323,0.0178229065537409,0.215657169300264,0.189485638097666,2630,"tags=46%, list=19%, signal=37%","111124701/111124696/111129825/111111579/111108190/111135084/111128997/111124977/111106750/111123417/111130886/111104027/111135329"
"cvn03013","cvn03013","Nucleocytoplasmic transport",92,0.469136075743215,1.37280869099282,0.0198716485678668,0.218588134246535,0.192060909603306,3062,"tags=34%, list=23%, signal=26%","111101943/111124701/111101410/111124696/111121238/111130920/111129219/111101511/111121980/111118318/111124932/111103910/111129825/111126562/111119442/111138352/111108043/111136554/111135764/111104361/111129063/111125546/111120993/111111382/111125592/111104027/111113217/111135555/111134707/111111376/111108106"
