"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111120752",0.345611761382406,-0.170498988505744,0.216508039134039,0,1,NA,NA,"phase2"
"LOC111109452",1.5973301650215,0.176594623621921,0.220768094221422,0,1,1,"not significant","phase2"
"LOC111124802",213.001305426664,-0.0246124142245909,0.0806288048230352,0,1,1,"not significant","phase2"
"LOC111101273",76.7130207987342,-0.147622826583204,0.113452361677996,0,1,1,"not significant","phase2"
"LOC111101250",123.474814925949,0.0200547362767611,0.130868613743753,0,1,1,"not significant","phase2"
"LOC111101262",269.444399302106,0.034104973642308,0.0878924126553203,0,1,1,"not significant","phase2"
"LOC111133260",29.4470879831386,0.857967023116941,0.248941803661199,2.4422054238201,0.0145978375259175,0.71301520478973,"not significant","phase2"
"LOC111113503",16.7528215547708,0.0609487693251406,0.228523014207027,0,1,1,"not significant","phase2"
"LOC111102393",24.8434717066399,-0.18214131548894,0.199115351071626,0,1,1,"not significant","phase2"
"LOC111119377",48.5414494330275,0.390669741203211,0.280920411989194,0.500745888157896,0.616549972708029,1,"not significant","phase2"
"LOC111101799",13.248074295177,-0.71808995433555,0.252198240208665,-1.8560397326653,0.0634478949225248,1,"not significant","phase2"
"LOC111117743",1.20017744509841,-0.548170407328763,0.285048591935291,-1.04603360888185,NA,NA,NA,"phase2"
"LOC111117672",235.02313851231,-0.170586787166367,0.0911662341165689,0,1,1,"not significant","phase2"
"LOC111114053",30.6913553957081,0.314991694738319,0.234220837665144,0.277480412871013,0.781411243826505,1,"not significant","phase2"
"LOC111109809",2.62732745230971,0.540674183192001,0.277415511335884,1.04779354907831,0.294733735279962,1,"not significant","phase2"
"LOC111135172",1.5935453832351,-0.237702986281706,0.164806931046749,0,1,1,"not significant","phase2"
"LOC111114201",510.164024735551,0.0885976866723787,0.0962169098002715,0,1,1,"not significant","phase2"
"LOC111114212",187.839356573486,0.308495523458236,0.094695984542499,0.617719153994159,0.53676048372952,1,"not significant","phase2"
