"Status","2018--BBB-WBO-B21-CV_sorted.bam","2018--BBB-WBV-B70-CV_sorted.bam","2018--BBO-BBO-B16-CV_sorted.bam","2018--BBO-BBY-B27-CV_sorted.bam","2018--BBO-WBO-B16-CV_sorted.bam","2018--BBO-WBV-B64-CV_sorted.bam","2018--BBR-BBB-B50-CV_sorted.bam","2018--BBR-BBG-B38-CV_sorted.bam","2018--BBR-BBY-B26-CV_sorted.bam","2018--BBY-WBG-B42-CV_sorted.bam","2018--BPO-BPO-O16-CV_sorted.bam","2018--BPR-BPG-O38-CV_sorted.bam","2018--BPR-BPR-O02-CV_sorted.bam","2018--BPY-BPG-O42-CV_sorted.bam","2018--BPY-BPY-O29-CV_sorted.bam","2018--WBB-WBV-W69-CV_sorted.bam","2018--WBG-BBB-W56-CV_sorted.bam","2018--WBG-WBG-W44-CV_sorted.bam","2018--WBO-BBR-W03-CV_sorted.bam","2018--WBO-WBV-W64-CV_sorted.bam","2018--WBR-BBY-W25-CV_sorted.bam","2018--WBV-WBO-W23-CV_sorted.bam","2018--WBV-WBR-W12-CV_sorted.bam","2018--WBY-BBV-W65-CV_sorted.bam","2018--WBY-BBY-W30-CV_sorted.bam","2018--WPB-BPG-G45-CV_sorted.bam","2018--WPO-BPO-G16-CV_sorted.bam","2018--WPO-BPY-G28-CV_sorted.bam","2018--WPR-BPY-G25-CV_sorted.bam","2018--WPV-BPR-G11-CV_sorted.bam"
"Assigned",1215661,1059670,853106,569055,1232808,1120224,467930,891936,835124,258020,103051,555968,120817,66946,193790,1028507,914556,195738,71816,817148,285559,316764,98778,769758,496576,445490,296404,175541,523560,81564
"Unassigned_Unmapped",192979,182271,136711,93418,209302,185652,76830,147019,137024,39950,16957,89776,19688,11158,31482,183620,152386,32931,12545,143898,47760,51012,16491,133800,82138,86873,48840,33002,81858,13584
"Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NoFeatures",219043,197678,167516,108495,230694,212700,97020,176285,158899,50405,22298,105841,25946,13973,39097,210922,179453,39716,15676,160901,57059,65599,19326,163273,96395,93047,59905,50050,93480,20068
"Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Ambiguity",56552,46467,36063,27001,53396,52055,21275,47782,38246,12917,4486,26435,5363,3217,8958,46492,41340,9031,3427,37701,14007,15218,4487,36372,22529,19238,14007,8469,24374,4071
