"","symbol","baseMean","log2FC","lfcSE","stat","pvalue","padj","name","pair"
"3","LOC111099585",36.3254839190662,0.985439080512241,0.209105638980704,3.51706957352836,0.000436339395616243,0.0332446433191667,"lys-63-specific deubiquitinase BRCC36-like","CH"
"5","LOC111099978",37.239138121344,1.15309048028857,0.261213189168936,3.45729280807682,0.000545631637742263,0.0390971050901271,"oncoprotein-induced transcript 3 protein-like, transcript variant X1","CH"
"7","LOC111100625",38.3951784806512,-1.20607878097117,0.262180915623969,-3.64663758495075,0.000265694243976648,0.0235178478602271,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like, transcript variant X2","CH"
"8","LOC111100898",38.3419107000128,-1.30466355997188,0.243806362664861,-4.32582459474872,1.51962312783466e-05,0.00320123832360837,"uncharacterized LOC111100898, transcript variant X3","CH"
"9","LOC111100915",20.557562314267,1.65290723790405,0.30158826362424,4.65173021338782,3.29161533724332e-06,0.00103781953491875,"uncharacterized LOC111100915, transcript variant X2","CH"
"11","LOC111101375",40.3203276762053,-1.22804072361991,0.236701708455203,-4.13195464453104,3.59691405485795e-05,0.00577328685231733,"mu-type opioid receptor-like","CH"
"12","LOC111101401",8.70730551007251,-1.73631995988355,0.35151647612422,-4.22830809033916,2.35455228943464e-05,0.00429456067579003,"von Willebrand factor D and EGF domain-containing protein-like, transcript variant X2","CH"
"13","LOC111101764",18.8293192466402,-1.32415609811564,0.302717355988226,-3.54837962497737,0.000387609124761777,0.0302989522330018,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like","CH"
"14","LOC111101925",20.7480630960557,-1.70732111942145,0.308175125364831,-4.72887329143198,2.25769220750493e-06,0.000776517108398411,"protein DJ-1-like","CH"
"16","LOC111102125",63.38067778526,-1.16306101471712,0.234429383593881,-3.89482325431901,9.82703593097267e-05,0.0121956555192834,"uncharacterized LOC111102125","CH"
"17","LOC111103019",35.769434881616,-1.81774603244727,0.297309508133719,-5.27311098218276,1.34130394557863e-07,0.000120684758275419,"uncharacterized LOC111103019, transcript variant X4","CH"
"19","LOC111103273",21.544217597233,1.28123884730142,0.294645724423852,3.49992808929401,0.000465383684324386,0.0345820295796108,"T-complex protein 11-like protein 1, transcript variant X1","CH"
"20","LOC111103294",38.3542926270511,-1.15967821690343,0.222205051319621,-4.09386830542815,4.2423533034712e-05,0.00671966435094556,"wiskott-Aldrich syndrome protein family member 2-like, transcript variant X1","CH"
"22","LOC111103345",437.900866542345,-1.01542517164918,0.226698097051967,-3.37640757290395,0.000734390418170744,0.0470244247549969,"uncharacterized LOC111103345, transcript variant X5","CH"
"23","LOC111103625",57.8790079052229,1.25712456268223,0.17056670004827,5.90457904384161,3.5354833028679e-09,1.41867159999746e-05,"transmembrane protein 39A-like, transcript variant X3","CH"
"24","LOC111103813",4.85975841177019,1.46223529886361,0.359002421128855,3.37667722421435,0.00073367090534317,0.0470244247549969,"coiled-coil domain-containing protein 58-like, transcript variant X1","CH"
"25","LOC111103979",5.12722589451171,-1.70739724161356,0.360948188149558,-4.03769097466612,5.39798964219256e-05,0.00782903606177278,"uncharacterized LOC111103979, transcript variant X1","CH"
"26","LOC111104327",95.7716516807714,-1.09009267979046,0.220611026689673,-3.80802669928278,0.000140080151682587,0.0154705033573851,"MAM and LDL-receptor class A domain-containing protein 2-like","CH"
"27","LOC111104711",15.729931934792,-1.3482557302337,0.311445745479559,-3.52631476324271,0.000421385825801197,0.0323098252929606,"uncharacterized LOC111104711, transcript variant X5","CH"
"28","LOC111104792",36.9660800942448,-1.26442859178776,0.242614858331652,-4.18123027898419,2.89936040883704e-05,0.00513272067670298,"alpha-mannosidase 2C1-like, transcript variant X2","CH"
"29","LOC111105071",56.9704201449485,1.22788051731685,0.26437395774417,3.69885341832015,0.000216575626435598,0.0216498543816712,"uncharacterized LOC111105071","CH"
"30","LOC111105293",15.9273447042432,1.28404038101551,0.282917634341993,3.65491668068154,0.000257265514472849,0.0232854305505576,"26S proteasome non-ATPase regulatory subunit 13-like","CH"
"33","LOC111106504",5.69950680318778,1.42991121550797,0.35013760540653,3.3698500169327,0.000752091071593326,0.0476509069465287,"RNA polymerase II-associated protein 3-like, transcript variant X2","CH"
"34","LOC111106900",10.3890923786502,1.3663513011485,0.313922211763839,3.55613989489958,0.00037634373135547,0.0298054331451128,"uncharacterized LOC111106900, transcript variant X1","CH"
"35","LOC111107078",91.9956511174667,-1.13898196121832,0.20056914473598,-4.43229671437518,9.32345923032445e-06,0.00229206116999207,"uncharacterized LOC111107078","CH"
"36","LOC111107250",399.963835888943,-0.758132816053982,0.14367516233105,-3.53667821083206,0.000405193028987468,0.0314691205351687,"dynein heavy chain 3, axonemal-like, transcript variant X1","CH"
